seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12851,717917,0,43997812,4',Ryan Teague (Melbourne Victory) Yellow Card at 4',2024-10-29 05:21:26
12851,717917,1,43997814,33',Jason Geria (Melbourne Victory) Yellow Card at 33',2024-10-29 05:21:26
12851,717917,2,43997815,45'+4',Bruno Fornaroli (Melbourne Victory) Shot Off Target at 49',2024-10-29 05:21:26
12851,717917,3,43997816,53',Alfie McCalmont (Central Coast Mariners) Yellow Card at 53',2024-10-29 05:21:26
12851,717917,4,43997817,60',Roderick Miranda (Melbourne Victory) Red Card at 60',2024-10-29 05:21:26
12851,717917,5,43997818,61',Joshua Rawlins (Melbourne Victory) Substitution at 61',2024-10-29 05:21:26
12851,717917,6,43997819,67',Sabit Ngor (Central Coast Mariners) Substitution at 67',2024-10-29 05:21:26
12851,717917,7,43997820,67',Nikolaos Vergos (Melbourne Victory) Substitution at 67',2024-10-29 05:21:26
12851,717917,8,43997821,67',Jing Lual (Melbourne Victory) Substitution at 67',2024-10-29 05:21:26
12851,717917,9,43997824,74',Bailey Brandtman (Central Coast Mariners) Substitution at 74',2024-10-29 05:21:26
12851,717917,10,43997827,86',Haine Eames (Central Coast Mariners) Substitution at 86',2024-10-29 05:21:26
12851,717917,11,43997828,86',Nicholas Duarte (Central Coast Mariners) Substitution at 86',2024-10-29 05:21:26
12851,717917,12,43997829,89',Clarismario Rodrigues (Melbourne Victory) Substitution at 89',2024-10-29 05:21:26
12851,717917,13,43997832,90'+6',Jack Duncan (Melbourne Victory) Yellow Card at 96',2024-10-29 05:21:26
12851,717918,0,44002726,8',Harry Van Der Saag (Brisbane Roar) Own Goal at 8',2024-10-29 05:21:26
12851,717918,1,44002966,56',Harry Van Der Saag (Brisbane Roar) Yellow Card at 56',2024-10-29 05:21:26
12851,717918,2,44002969,59',Louis Verstraete (Auckland FC) Yellow Card at 59',2024-10-29 05:21:26
12851,717918,3,44002978,67',Jack Hingert (Brisbane Roar) Substitution at 67',2024-10-29 05:21:26
12851,717918,4,44002979,68',Rafael Struick (Brisbane Roar) Substitution at 68',2024-10-29 05:21:26
12851,717918,5,44002980,68',Samuel Klein (Brisbane Roar) Substitution at 68',2024-10-29 05:21:26
12851,717918,6,44002981,70',Cameron Howieson (Auckland FC) Substitution at 70',2024-10-29 05:21:26
12851,717918,7,44002983,74',Logan Rogerson (Auckland FC) Goal at 74',2024-10-29 05:21:26
12851,717918,8,44002986,79',Jesse Randall (Auckland FC) Substitution at 79',2024-10-29 05:21:26
12851,717918,9,44002987,81',Hosine Bility (Brisbane Roar) Substitution at 81',2024-10-29 05:21:26
12851,717918,10,44002989,82',Max Mata (Auckland FC) Substitution at 82',2024-10-29 05:21:26
12851,717918,11,44002990,83',Tommy Smith (Auckland FC) Substitution at 83',2024-10-29 05:21:26
12851,717918,12,44002991,86',Ivan Ozzi (Brisbane Roar) Substitution at 86',2024-10-29 05:21:26
12851,717919,0,44002994,2',Marco Tilio (Melbourne City FC) Goal at 2',2024-10-29 05:21:26
12851,717919,1,44002996,4',Callum Talbot (Melbourne City FC) Yellow Card at 4',2024-10-29 05:21:26
12851,717919,2,44003026,33',Yonatan Cohen (Melbourne City FC) Yellow Card at 33',2024-10-29 05:21:26
12851,717919,3,44003043,40',Eli Adams (Newcastle Jets) Yellow Card at 40',2024-10-29 05:21:26
12851,717919,4,44003055,45',Ben Gibson (Newcastle Jets) Substitution at 45',2024-10-29 05:21:26
12851,717919,5,44003059,51',Steven Ugarkovic (Melbourne City FC) Yellow Card at 51',2024-10-29 05:21:26
12851,717919,6,44003063,62',Clayton Taylor (Newcastle Jets) Substitution at 62',2024-10-29 05:21:26
12851,717919,7,44003065,65',Harry Politidis (Melbourne City FC) Substitution at 65',2024-10-29 05:21:26
12851,717919,8,44003066,65',Kosta Grozos (Newcastle Jets) Yellow Card at 65',2024-10-29 05:21:26
12851,717919,9,44003067,70',James Jeggo (Melbourne City FC) Red Card at 70',2024-10-29 05:21:26
12851,717919,10,44003070,71',Zane Schreiber (Melbourne City FC) Substitution at 71',2024-10-29 05:21:26
12851,717919,11,44003083,88',Will Dobson (Newcastle Jets) Substitution at 88',2024-10-29 05:21:26
12851,717919,12,44003084,89',Zane Schreiber (Melbourne City FC) Yellow Card at 89',2024-10-29 05:21:26
12851,717919,13,44003086,90',Harry Politidis (Melbourne City FC) Yellow Card at 90',2024-10-29 05:21:26
12851,717919,14,44003087,90',Thomas Aquilina (Newcastle Jets) Yellow Card at 90',2024-10-29 05:21:26
12851,717919,15,44003088,90'+1',Arion Sulemani (Melbourne City FC) Substitution at 91',2024-10-29 05:21:26
