seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13358,735734,0,45288333,8',Lawrence Agyekum (Cercle Brugge KSV) Goal at 8',2025-05-23 04:57:09
13358,735734,1,45288667,25',Paris Brunner (Cercle Brugge KSV) Goal at 25',2025-05-23 04:57:09
13358,735734,2,45288939,45'+5',Ibrahim Diakité (Cercle Brugge KSV) Substitution at 50',2025-05-23 04:57:09
13358,735734,3,45289321,45',Bruno Gonçalves (Cercle Brugge KSV) Substitution at 45',2025-05-23 04:57:09
13358,735734,4,45289410,51',Paris Brunner (Cercle Brugge KSV) Goal at 51',2025-05-23 04:57:09
13358,735734,5,45289533,57',Tom Pietermaat (Patro Eisden Maasmechelen) Yellow Card at 57',2025-05-23 04:57:09
13358,735734,6,45289539,58',Felipe (Cercle Brugge KSV) Goal at 58',2025-05-23 04:57:09
13358,735734,7,45289690,65',Reno Wilmots (Patro Eisden Maasmechelen) Substitution at 65',2025-05-23 04:57:09
13358,735734,8,45289721,65',Jellert Van Landschoot (Patro Eisden Maasmechelen) Substitution at 65',2025-05-23 04:57:09
13358,735734,9,45289924,73',Alan Minda (Cercle Brugge KSV) Substitution at 73',2025-05-23 04:57:09
13358,735734,10,45289975,73',Malamine Efekele (Cercle Brugge KSV) Substitution at 73',2025-05-23 04:57:09
13358,735734,11,45289976,73',Hannes Van Der Bruggen (Cercle Brugge KSV) Substitution at 73',2025-05-23 04:57:09
13358,735734,12,45290163,78',Jordan Renson (Patro Eisden Maasmechelen) Yellow Card at 78',2025-05-23 04:57:09
13358,735734,13,45290164,78',Simon Bammens (Patro Eisden Maasmechelen) Yellow Card at 78',2025-05-23 04:57:09
13358,735734,14,45290217,79',Vancy Mabanza (Patro Eisden Maasmechelen) Substitution at 79',2025-05-23 04:57:09
13358,735734,15,45290328,84',Thibo Somers (Cercle Brugge KSV) Goal at 84',2025-05-23 04:57:09
13358,735734,16,45290641,90'+3',Vancy Mabanza (Patro Eisden Maasmechelen) Goal at 93',2025-05-23 04:57:09
13358,735735,0,45306593,5',Názinho (Cercle Brugge KSV) Goal at 5',2025-05-24 04:58:13
13358,735735,1,45306688,24',Felipe (Cercle Brugge KSV) Penalty - Scored at 24',2025-05-24 04:58:13
13358,735735,2,45306723,29',Vancy Mabanza (Patro Eisden Maasmechelen) Yellow Card at 29',2025-05-24 04:58:13
13358,735735,3,45306765,36',Tom Pietermaat (Patro Eisden Maasmechelen) Substitution at 36',2025-05-24 04:58:13
13358,735735,4,45306896,52',Kevin Kis (Patro Eisden Maasmechelen) Yellow Card at 52',2025-05-24 04:58:13
13358,735735,5,45306903,54',Henk Dijkhuizen (Patro Eisden Maasmechelen) Substitution at 54',2025-05-24 04:58:13
13358,735735,6,45306922,60',Steve Ngoura (Cercle Brugge KSV) Substitution at 60',2025-05-24 04:58:13
13358,735735,7,45306923,61',Abu Francis (Cercle Brugge KSV) Substitution at 61',2025-05-24 04:58:13
13358,735735,8,45306936,65',Reno Wilmots (Patro Eisden Maasmechelen) Yellow Card at 65',2025-05-24 04:58:13
13358,735735,9,45306942,67',Jellert Van Landschoot (Patro Eisden Maasmechelen) Goal at 67',2025-05-24 04:58:13
13358,735735,10,45306960,69',William Simba (Patro Eisden Maasmechelen) Substitution at 69',2025-05-24 04:58:13
13358,735735,11,45306968,70',Papa Demba Ndior (Patro Eisden Maasmechelen) Substitution at 70',2025-05-24 04:58:13
13358,735735,12,45306999,75',Malamine Efekele (Cercle Brugge KSV) Substitution at 75',2025-05-24 04:58:13
13358,735735,13,45307000,75',Erick (Cercle Brugge KSV) Substitution at 75',2025-05-24 04:58:13
13358,735735,14,45307018,78',Erick (Cercle Brugge KSV) Goal at 78',2025-05-24 04:58:13
13358,735735,15,45307046,82',Nils De Wilde (Cercle Brugge KSV) Substitution at 82',2025-05-24 04:58:13
13358,735735,16,45307061,84',Edgaras Utkus (Cercle Brugge KSV) Yellow Card at 84',2025-05-24 04:58:13
