seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13524,747983,0,45520253,12',Ghizlane Chebbak (Morocco) Goal at 12',2025-07-27 04:38:49
13524,747983,1,45520324,24',Mssoudy Sanaa (Morocco) Goal at 24',2025-07-27 04:38:49
13524,747983,2,45520598,58',Rinsola Babajide (Nigeria) Substitution at 58',2025-07-27 04:38:49
13524,747983,3,45520603,59',Jennifer Echegini (Nigeria) Substitution at 59',2025-07-27 04:38:49
13524,747983,4,45520622,64',Esther Okoronkwo (Nigeria) Penalty - Scored at 64',2025-07-27 04:38:49
13524,747983,5,45520648,71',Folashade Ijamilusi (Nigeria) Goal at 71',2025-07-27 04:38:49
13524,747983,6,45520671,74',Imane Saoud (Morocco) Substitution at 74',2025-07-27 04:38:49
13524,747983,7,45520672,74',Sarah Kassi (Morocco) Substitution at 74',2025-07-27 04:38:49
13524,747983,8,45520804,78',Asisat Oshoala (Nigeria) Substitution at 78',2025-07-27 04:38:49
13524,747983,9,45520886,88',Jennifer Echegini (Nigeria) Goal at 88',2025-07-27 04:38:49
13524,747983,10,45520956,90'+1',Kenza Chapelle (Morocco) Substitution at 91',2025-07-27 04:38:49
13524,747983,11,45520969,90'+3',Shukurat Oladipo (Nigeria) Substitution at 93',2025-07-27 04:38:49
13524,747983,12,45520970,90'+3',Sikiratu Isah (Nigeria) Substitution at 93',2025-07-27 04:38:49
13523,747982,0,45514826,45',Nonhlanhla Mthandi (South Africa) Goal at 45',2025-07-26 04:40:46
13523,747982,1,45514917,45',Kgaelebane Mohlakoana (South Africa) Substitution at 45',2025-07-26 04:40:46
13523,747982,2,45514920,45',Refiloe Jane (South Africa) Substitution at 45',2025-07-26 04:40:46
13523,747982,3,45514921,45',Evelyn Badu (Ghana) Substitution at 45',2025-07-26 04:40:46
13523,747982,4,45514922,45',Princella Adobea (Ghana) Substitution at 45',2025-07-26 04:40:46
13523,747982,5,45514936,60',Chantelle Boye-Hlorkah (Ghana) Yellow Card at 60',2025-07-26 04:40:46
13523,747982,6,45514937,60',Anasthesia Achiaa (Ghana) Substitution at 60',2025-07-26 04:40:46
13523,747982,7,45514941,63',Kgaelebane Mohlakoana (South Africa) Yellow Card at 63',2025-07-26 04:40:46
13523,747982,8,45514947,68',Andile Dlamini (South Africa) Own Goal at 68',2025-07-26 04:40:46
13523,747982,9,45514951,70',Susan Duah (Ghana) Yellow Card at 70',2025-07-26 04:40:46
13523,747982,10,45514954,81',Portia Boakye (Ghana) Yellow Card at 81',2025-07-26 04:40:46
13523,747982,11,45514956,84',Ronnel Donnelly (South Africa) Substitution at 84',2025-07-26 04:40:46
13523,747982,12,45514957,84',Louisa Aniwaa (Ghana) Substitution at 84',2025-07-26 04:40:46
13523,747982,13,45514961,90'+6',Nancy Amoh (Ghana) Substitution at 96',2025-07-26 04:40:46
13522,747980,0,45500287,26',Hildah Magaia (South Africa) Substitution at 26',2025-07-23 04:39:20
13522,747980,1,45500339,45',Rasheedat Ajibade (Nigeria) Penalty - Scored at 45',2025-07-23 04:39:20
13522,747980,2,45500436,60',Linda Motlhalo (South Africa) Penalty - Scored at 60',2025-07-23 04:39:20
13522,747980,3,45500447,61',Noxolo Cesane (South Africa) Substitution at 61',2025-07-23 04:39:20
13522,747980,4,45500463,64',Christy Ucheibe (Nigeria) Substitution at 64',2025-07-23 04:39:20
13522,747980,5,45500532,75',Halimatu Ayinde (Nigeria) Yellow Card at 75',2025-07-23 04:39:20
13522,747980,6,45500569,81',Deborah Abiodun (Nigeria) Substitution at 81',2025-07-23 04:39:20
13522,747980,7,45500617,89',Sibulele Holweni (South Africa) Substitution at 89',2025-07-23 04:39:20
13522,747980,8,45500637,90'+4',Michelle Alozie (Nigeria) Goal at 94',2025-07-23 04:39:20
13522,747980,9,45500653,90'+7',Chinwendu Ihezuo (Nigeria) Yellow Card at 97',2025-07-23 04:39:20
13522,747980,10,45500654,90'+9',Sikiratu Isah (Nigeria) Substitution at 99',2025-07-23 04:39:20
13522,747981,0,45501186,26',Stella Nyamekye (Ghana) Goal at 26',2025-07-23 04:39:20
13522,747981,1,45501239,36',Najat Badri (Morocco) Substitution at 36',2025-07-23 04:39:20
13522,747981,2,45501260,43',Mssoudy Sanaa (Morocco) Yellow Card at 43',2025-07-23 04:39:20
13522,747981,3,45501473,55',Sakina Ouzraoui (Morocco) Goal at 55',2025-07-23 04:39:20
13522,747981,4,45501519,58',Alice Kusi (Ghana) Substitution at 58',2025-07-23 04:39:20
13522,747981,5,45501556,62',Ghizlane Chebbak (Morocco) Yellow Card at 62',2025-07-23 04:39:20
13522,747981,6,45501607,71',Princella Adobea (Ghana) Substitution at 71',2025-07-23 04:39:20
13522,747981,7,45501699,82',Chantelle Boye-Hlorkah (Ghana) Yellow Card at 82',2025-07-23 04:39:20
13522,747981,8,45501739,89',Evelyn Badu (Ghana) Substitution at 89',2025-07-23 04:39:20
13522,747981,9,45501772,90',Imane Saoud (Morocco) Substitution at 90',2025-07-23 04:39:20
13522,747981,10,45501773,90',Fatima Tagnaout (Morocco) Substitution at 90',2025-07-23 04:39:20
13522,747981,11,45501801,102',Sherifatu Sumaila (Ghana) Substitution at 102',2025-07-23 04:39:20
13522,747981,12,45501817,105',Sarah Kassi (Morocco) Substitution at 105',2025-07-23 04:39:20
13522,747981,13,45501818,105',Anissa Lahmari (Morocco) Substitution at 105',2025-07-23 04:39:20
13522,747981,14,45501866,114',Hanane Aït El Haj (Morocco) Yellow Card at 114',2025-07-23 04:39:20
13522,747981,15,45501867,116',Kenza Chapelle (Morocco) Substitution at 116',2025-07-23 04:39:20
13521,747976,0,45482146,2',Osinachi Ohale (Nigeria) Goal at 2',2025-07-19 04:39:42
13521,747976,1,45482194,28',Blessing Demehin (Nigeria) Yellow Card at 28',2025-07-19 04:39:42
13521,747976,2,45482203,31',Evarine Katongo (Zambia) Substitution at 31',2025-07-19 04:39:42
13521,747976,3,45482204,33',Esther Okoronkwo (Nigeria) Goal at 33',2025-07-19 04:39:42
13521,747976,4,45482228,40',Racheal Nachula (Zambia) Yellow Card at 40',2025-07-19 04:39:42
13521,747976,5,45482240,45',Chinwendu Ihezuo (Nigeria) Goal at 45',2025-07-19 04:39:42
13521,747976,6,45482263,45',Fridah Mukoma (Zambia) Substitution at 45',2025-07-19 04:39:42
13521,747976,7,45482318,63',Mercy Chipasula (Zambia) Substitution at 63',2025-07-19 04:39:42
13521,747976,8,45482322,63',Martha Tembo (Zambia) Substitution at 63',2025-07-19 04:39:42
13521,747976,9,45482325,65',Sikiratu Isah (Nigeria) Substitution at 65',2025-07-19 04:39:42
13521,747976,10,45482331,68',Blessing Demehin (Nigeria) Goal at 68',2025-07-19 04:39:42
13521,747976,11,45482337,69',Memory Nthala (Zambia) Substitution at 69',2025-07-19 04:39:42
13521,747976,12,45482348,73',Asisat Oshoala (Nigeria) Substitution at 73',2025-07-19 04:39:42
13521,747976,13,45482349,74',Deborah Abiodun (Nigeria) Substitution at 74',2025-07-19 04:39:42
13521,747976,14,45482350,74',Christy Ucheibe (Nigeria) Substitution at 74',2025-07-19 04:39:42
13521,747976,15,45482419,90'+1',Folashade Ijamilusi (Nigeria) Goal at 91',2025-07-19 04:39:42
13521,747977,0,45482497,7',Ibtissam Jraïdi (Morocco) Goal at 7',2025-07-19 04:39:42
13521,747977,1,45482574,41',Fatou Dembele (Mali) Yellow Card at 41',2025-07-19 04:39:42
13521,747977,2,45482596,45',Élodie Nakkach (Morocco) Substitution at 45',2025-07-19 04:39:42
13521,747977,3,45482597,45',Mssoudy Sanaa (Morocco) Substitution at 45',2025-07-19 04:39:42
13521,747977,4,45482657,70',Imane Saoud (Morocco) Substitution at 70',2025-07-19 04:39:42
13521,747977,5,45482669,79',Ibtissam Jraïdi (Morocco) Penalty - Scored at 79',2025-07-19 04:39:42
13521,747977,6,45482679,82',Maimouna Traore (Mali) Substitution at 82',2025-07-19 04:39:42
13521,747977,7,45482684,84',Kenza Chapelle (Morocco) Substitution at 84',2025-07-19 04:39:42
13521,747977,8,45482685,85',Salimata Diarra (Mali) Substitution at 85',2025-07-19 04:39:42
13521,747977,9,45482687,87',Aïssata Traoré (Mali) Yellow Card at 87',2025-07-19 04:39:42
13521,747977,10,45482693,89',Djenaba Baradji (Mali) Substitution at 89',2025-07-19 04:39:42
13521,747977,11,45482696,89',Kenza Chapelle (Morocco) Goal at 89',2025-07-19 04:39:42
13521,747977,12,45482698,90'+1',Imene El Ghazouani (Morocco) Substitution at 91',2025-07-19 04:39:42
13521,747977,13,45482702,90'+7',Aïssata Traoré (Mali) Penalty - Scored at 97',2025-07-19 04:39:42
13521,747978,0,45485601,14',Princess  (Ghana) Yellow Card at 14',2025-07-20 04:37:06
13521,747978,1,45485655,60',Morgane Ikene (Algeria) Substitution at 60',2025-07-20 04:37:06
13521,747978,2,45485656,60',Laura Muller (Algeria) Substitution at 60',2025-07-20 04:37:06
13521,747978,3,45485657,60',Wassila Alouache (Algeria) Substitution at 60',2025-07-20 04:37:06
13521,747978,4,45485660,67',Portia Boakye (Ghana) Yellow Card at 67',2025-07-20 04:37:06
13521,747978,5,45485664,70',Marine Dafeur (Algeria) Yellow Card at 70',2025-07-20 04:37:06
13521,747978,6,45485679,74',Evelyn Badu (Ghana) Substitution at 74',2025-07-20 04:37:06
13521,747978,7,45485687,80',Ines Boutaleb (Algeria) Yellow Card at 80',2025-07-20 04:37:06
13521,747978,8,45485691,82',Princella Adobea (Ghana) Substitution at 82',2025-07-20 04:37:06
13521,747978,9,45485758,92',Nihed Naïli (Algeria) Substitution at 92',2025-07-20 04:37:06
13521,747978,10,45485786,100',Amira Braham (Algeria) Yellow Card at 100',2025-07-20 04:37:06
13521,747978,11,45485824,120',Nancy Amoh (Ghana) Substitution at 120',2025-07-20 04:37:06
13521,747979,0,45486219,33',Wolimata Ndiaye (Senegal) Yellow Card at 33',2025-07-20 04:37:06
13521,747979,1,45486525,56',Bineta Seck (Senegal) Yellow Card at 56',2025-07-20 04:37:06
13521,747979,2,45486543,58',Amogelang Motau (South Africa) Substitution at 58',2025-07-20 04:37:06
13521,747979,3,45486615,66',Fatoumata Dramé (Senegal) Substitution at 66',2025-07-20 04:37:06
