seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12522,702210,0,-1,,Lineups are announced and players are warming up.,2024-06-21 04:29:24
12522,702210,1,43320410,,First Half begins.,2024-06-21 04:29:24
12522,702210,2,43320411,2',Attempt saved. César Valenzuela (Santiago Wanderers) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Andrés Vilches.,2024-06-21 04:29:24
12522,702210,3,43320419,6',Foul by John Valladares (Santiago Wanderers).,2024-06-21 04:29:24
12522,702210,4,43320419,6',Franco Cubillos (Concón National) wins a free kick on the left wing.,2024-06-21 04:29:24
12522,702210,5,43320421,7',"Offside, Santiago Wanderers. John Valladares is caught offside.",2024-06-21 04:29:24
12522,702210,6,43320425,10',Andrés Barboza (Santiago Wanderers) wins a free kick in the defensive half.,2024-06-21 04:29:24
12522,702210,7,43320425,10',Foul by Camilo Astroza (Concón National).,2024-06-21 04:29:24
12522,702210,8,43320430,12',"Corner, Concón National. Conceded by Kevin Vásquez.",2024-06-21 04:29:24
12522,702210,9,43320437,14',Attempt saved. Camilo Astroza (Concón National) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Jefferson Castillo.,2024-06-21 04:29:24
12522,702210,10,43320435,14',"Corner, Concón National. Conceded by Eduardo Miranda.",2024-06-21 04:29:24
12522,702210,11,43320440,15',Attempt blocked. Javier Guzmán (Concón National) header from a difficult angle on the right is blocked. Assisted by Jefferson Castillo with a cross.,2024-06-21 04:29:24
12522,702210,12,43320438,15',Foul by Ricardo Fuenzalida (Concón National).,2024-06-21 04:29:24
12522,702210,13,43320438,15',Juan Duma (Santiago Wanderers) wins a free kick in the defensive half.,2024-06-21 04:29:24
12522,702210,14,43320445,16',Attempt saved. César Valenzuela (Santiago Wanderers) left footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Andrés Vilches.,2024-06-21 04:29:24
12522,702210,15,43320446,16',"Corner, Santiago Wanderers. Conceded by Esteban Kirkman.",2024-06-21 04:29:24
12522,702210,16,43320448,17',Attempt missed. Danilo Ortíz (Santiago Wanderers) header from the centre of the box is too high. Assisted by Jason León with a cross following a corner.,2024-06-21 04:29:24
12522,702210,17,43320449,19',Attempt missed. Ricardo Fuenzalida (Concón National) left footed shot from the right side of the box misses to the left.,2024-06-21 04:29:24
12522,702210,18,43320453,22',Andrés Vilches (Santiago Wanderers) wins a free kick in the attacking half.,2024-06-21 04:29:24
12522,702210,19,43320453,22',Foul by Cristián Díaz (Concón National).,2024-06-21 04:29:24
12522,702210,20,43320456,24',Benjamín Rivera (Concón National) wins a free kick in the defensive half.,2024-06-21 04:29:24
12522,702210,21,43320456,24',Foul by Jason León (Santiago Wanderers).,2024-06-21 04:29:24
