seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12933,721839,0,43952040,5',Gillisha Gilbert (Frazsiers Whip) Yellow Card at 5',2024-10-14 07:06:39
12933,721839,1,43952041,40',Briana Crosby (Frazsiers Whip) Substitution at 40',2024-10-14 07:06:39
12933,721839,2,43952042,45',Kiona Tuloach (Frazsiers Whip) Substitution at 45',2024-10-14 07:06:39
12933,721839,3,43952043,45',Danishca Rattray (Frazsiers Whip) Substitution at 45',2024-10-14 07:06:39
12933,721839,4,43952044,58',Gabriella Cuevas (Alajuelense) Substitution at 58',2024-10-14 07:06:39
12933,721839,5,43952045,60',María Paula Coto (Alajuelense) Goal at 60',2024-10-14 07:06:39
12933,721839,6,43952046,62',Natalia Mills (Alajuelense) Goal at 62',2024-10-14 07:06:39
12933,721839,7,43952047,65',Kenia Rangel (Alajuelense) Goal at 65',2024-10-14 07:06:39
12933,721839,8,43952048,71',Katheryn Arroyo Arias (Alajuelense) Substitution at 71',2024-10-14 07:06:39
12933,721839,9,43952049,71',Angela Quirós (Alajuelense) Substitution at 71',2024-10-14 07:06:39
12933,721839,10,43952050,76',Valery Sandoval (Alajuelense) Substitution at 76',2024-10-14 07:06:39
12933,721839,11,43952051,76',Mariela Campos Alfaro (Alajuelense) Substitution at 76',2024-10-14 07:06:39
12933,721839,12,43952052,77',Angela Quirós (Alajuelense) Goal at 77',2024-10-14 07:06:39
12933,721839,13,43952053,81',Angela Quirós (Alajuelense) Goal at 81',2024-10-14 07:06:39
12933,721839,14,43952054,87',Shakira Richards (Frazsiers Whip) Substitution at 87',2024-10-14 07:06:39
12933,721839,15,43952055,87',Tashel Daves (Frazsiers Whip) Substitution at 87',2024-10-14 07:06:39
12933,721840,0,43951980,2',María Sánchez (San Diego Wave FC) Goal at 2',2024-10-14 07:06:39
12933,721840,1,43951981,61',Yomira Pinzón (Santa Fe) Substitution at 61',2024-10-14 07:06:39
12933,721840,2,43951982,64',Kristen McNabb (San Diego Wave FC) Goal at 64',2024-10-14 07:06:39
12933,721840,3,43951983,66',Alison Onodera (Santa Fe) Yellow Card at 66',2024-10-14 07:06:39
12933,721840,4,43951984,67',Mya Jones (San Diego Wave FC) Substitution at 67',2024-10-14 07:06:39
12933,721840,5,43951985,74',Amirah Ali (San Diego Wave FC) Substitution at 74',2024-10-14 07:06:39
12933,721840,6,43951986,74',Camila Vallejos (Santa Fe) Substitution at 74',2024-10-14 07:06:39
12933,721840,7,43951987,75',Dayane Madrid (Santa Fe) Substitution at 75',2024-10-14 07:06:39
12933,721840,8,43951988,75',Hanna Lundkvist (San Diego Wave FC) Yellow Card at 75',2024-10-14 07:06:39
12933,721840,9,43951989,77',Elyse Bennett (San Diego Wave FC) Substitution at 77',2024-10-14 07:06:39
12933,721840,10,43951990,78',Sofia Jakobsson (San Diego Wave FC) Yellow Card at 78',2024-10-14 07:06:39
12933,721840,11,43951991,84',Mireilis Rojas (Santa Fe) Substitution at 84',2024-10-14 07:06:39
