seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12734,733985,0,45061102,15',Harley Mills (Peterborough United) Goal at 15',2025-04-16 05:09:30
12734,733985,1,45061691,44',Kieran Dowell (Birmingham City) Yellow Card at 44',2025-04-16 05:09:30
12734,733985,2,45061719,45',Hector Kyprianou (Peterborough United) Goal at 45',2025-04-16 05:09:30
12734,733985,3,45062082,45',Alfie May (Birmingham City) Substitution at 45',2025-04-16 05:09:30
12734,733985,4,45062147,52',Alfie May (Birmingham City) Yellow Card at 52',2025-04-16 05:09:30
12734,733985,5,45062197,57',Abraham Odoh (Peterborough United) Yellow Card at 57',2025-04-16 05:09:30
12734,733985,6,45062265,64',Taylor Gardner-Hickman (Birmingham City) Substitution at 64',2025-04-16 05:09:30
12734,733985,7,45062381,73',Marc Leonard (Birmingham City) Substitution at 73',2025-04-16 05:09:30
12734,733985,8,45062398,75',Mahamadou Susoho (Peterborough United) Substitution at 75',2025-04-16 05:09:30
12734,733985,9,45062448,78',Hector Kyprianou (Peterborough United) Yellow Card at 78',2025-04-16 05:09:30
12734,733985,10,45062546,86',Gustav Lindgren (Peterborough United) Substitution at 86',2025-04-16 05:09:30
12734,733985,11,45062547,86',Lukas Jutkiewicz (Birmingham City) Substitution at 86',2025-04-16 05:09:30
12734,733985,12,45062602,90'+1',Jadel Katongo (Peterborough United) Substitution at 91',2025-04-16 05:09:30
12734,733985,13,45062784,90'+11',Lukas Jutkiewicz (Birmingham City) Yellow Card at 101',2025-04-16 05:09:30
12734,733985,14,45062785,90'+12',Jadel Katongo (Peterborough United) Yellow Card at 102',2025-04-16 05:09:30
