seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12976,730077,0,44665304,45',Ria Oling (Crystal Palace) Substitution at 45',2025-02-14 05:54:28
12976,730077,1,44665574,59',Katie Barker (Newcastle United) Substitution at 59',2025-02-14 05:54:28
12976,730077,2,44665575,59',Rachel Furness (Newcastle United) Substitution at 59',2025-02-14 05:54:28
12976,730077,3,44665626,64',My Cato (Crystal Palace) Substitution at 64',2025-02-14 05:54:28
12976,730077,4,44665627,65',Jasmine Mcquade (Newcastle United) Substitution at 65',2025-02-14 05:54:28
12976,730077,5,44665731,73',Abbie Larkin (Crystal Palace) Substitution at 73',2025-02-14 05:54:28
12976,730077,6,44665853,81',Ashleigh Weerden (Crystal Palace) Goal at 81',2025-02-14 05:54:28
12976,730077,7,44665933,85',Ava Chapman (Newcastle United) Substitution at 85',2025-02-14 05:54:28
12976,730077,8,44666021,90'+4',Abbie Larkin (Crystal Palace) Goal at 94',2025-02-14 05:54:28
12976,730077,9,44666056,90'+5',Clarissa Laris­ey (Crystal Palace) Substitution at 95',2025-02-14 05:54:28
12976,730077,10,44666057,90'+5',Elise Hughes (Crystal Palace) Substitution at 95',2025-02-14 05:54:28
12976,730078,0,44665735,32',Laia Codina (Arsenal) Goal at 32',2025-02-14 05:54:28
12976,730078,1,44666137,45',Lia Wälti (Arsenal) Substitution at 45',2025-02-14 05:54:28
12976,730078,2,44666138,45',Chantelle Boye-Hlorkah (London City) Substitution at 45',2025-02-14 05:54:28
12976,730078,3,44666340,55',Maddi Wilde (London City) Substitution at 55',2025-02-14 05:54:28
12976,730078,4,44666559,70',Stina Blackstenius (Arsenal) Substitution at 70',2025-02-14 05:54:28
12976,730078,5,44666592,73',Kosovare Asllani (London City) Yellow Card at 73',2025-02-14 05:54:28
12976,730078,6,44666604,74',Georgia Brougham (London City) Yellow Card at 74',2025-02-14 05:54:28
12976,730078,7,44666661,77',Charlene Meyong (London City) Substitution at 77',2025-02-14 05:54:28
12976,730078,8,44666670,79',Emily Fox (Arsenal) Substitution at 79',2025-02-14 05:54:28
12976,730078,9,44666716,81',Stina Blackstenius (Arsenal) Goal at 81',2025-02-14 05:54:28
12976,730078,10,44666813,85',Shen Mengyu (London City) Substitution at 85',2025-02-14 05:54:28
12976,730078,11,44666814,86',Lucy Fitzgerald (London City) Substitution at 86',2025-02-14 05:54:28
12976,730078,12,44666853,88',Amanda Ilestedt (Arsenal) Substitution at 88',2025-02-14 05:54:28
12976,730078,13,44666969,90'+4',Amanda Ilestedt (Arsenal) Yellow Card at 94',2025-02-14 05:54:28
12976,730079,0,44665757,32',Olivia Bramley (Portsmouth) Substitution at 32',2025-02-14 05:54:28
12976,730079,1,44665783,34',Jenna Dear (Sunderland) Goal at 34',2025-02-14 05:54:28
12976,730079,2,44665978,45'+1',Emily Scarr (Sunderland) Goal at 46',2025-02-14 05:54:28
12976,730079,3,44665995,45'+2',Scarlett Williams (Portsmouth) Substitution at 47',2025-02-14 05:54:28
