seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13326,735821,0,45304791,37',Alex Samuel (Ross County) Yellow Card at 37',2025-05-23 04:57:09
13326,735821,1,45304809,45'+1',Danny Wilson (Livingston) Goal at 46',2025-05-23 04:57:09
13326,735821,2,45304885,60',Nohan Kenneh (Ross County) Yellow Card at 60',2025-05-23 04:57:09
13326,735821,3,45304891,60',Jordan White (Ross County) Substitution at 60',2025-05-23 04:57:09
13326,735821,4,45304892,61',Daniel Finlayson (Livingston) Substitution at 61',2025-05-23 04:57:09
13326,735821,5,45304915,70',George Harmon (Ross County) Substitution at 70',2025-05-23 04:57:09
13326,735821,6,45304916,70',Dylan Smith (Ross County) Substitution at 70',2025-05-23 04:57:09
13326,735821,7,45304922,74',Stevie May (Livingston) Substitution at 74',2025-05-23 04:57:09
13326,735821,8,45304933,82',Tete Yengi (Livingston) Substitution at 82',2025-05-23 04:57:09
13326,735821,9,45304940,85',Lewis Smith (Livingston) Yellow Card at 85',2025-05-23 04:57:09
13326,735821,10,45304943,90'+1',Jordan White (Ross County) Yellow Card at 91',2025-05-23 04:57:09
13326,735821,11,45304951,90'+5',Danny Wilson (Livingston) Yellow Card at 95',2025-05-23 04:57:09
13326,735821,12,45304954,90'+6',Ronan Hale (Ross County) Penalty - Scored at 96',2025-05-23 04:57:09
13326,735822,0,45325663,7',Joshua Nisbet (Ross County) Goal at 7',2025-05-27 04:54:01
13326,735822,1,45325688,24',Ronan Hale (Ross County) Goal at 24',2025-05-27 04:54:01
13326,735822,2,45325724,39',Lewis Smith (Livingston) Goal at 39',2025-05-27 04:54:01
13326,735822,3,45325736,44',Ryan McGowan (Livingston) Yellow Card at 44',2025-05-27 04:54:01
13326,735822,4,45325791,54',Zachary Ashworth (Ross County) Substitution at 54',2025-05-27 04:54:01
13326,735822,5,45325793,56',Will Nightingale (Ross County) Yellow Card at 56',2025-05-27 04:54:01
13326,735822,6,45325795,57',Danny Wilson (Livingston) Goal at 57',2025-05-27 04:54:01
13326,735822,7,45325797,61',Robbie Muirhead (Livingston) Goal at 61',2025-05-27 04:54:01
13326,735822,8,45325799,67',Alex Samuel (Ross County) Substitution at 67',2025-05-27 04:54:01
13326,735822,9,45325800,72',Tete Yengi (Livingston) Substitution at 72',2025-05-27 04:54:01
13326,735822,10,45325803,76',Daniel Finlayson (Livingston) Yellow Card at 76',2025-05-27 04:54:01
13326,735822,11,45325807,77',Stevie May (Livingston) Substitution at 77',2025-05-27 04:54:01
13326,735822,12,45325808,81',Kieran Phillips (Ross County) Substitution at 81',2025-05-27 04:54:01
13326,735822,13,45325810,85',Macauley Tait (Livingston) Substitution at 85',2025-05-27 04:54:01
13326,735822,14,45325811,85',Michael Nottingham (Livingston) Substitution at 85',2025-05-27 04:54:01
13326,735822,15,45325814,90'+6',Tete Yengi (Livingston) Goal at 96',2025-05-27 04:54:01
13326,735822,16,45325815,90'+7',Tete Yengi (Livingston) Yellow Card at 97',2025-05-27 04:54:01
13328,735615,0,45210195,7',Aidan Fitzpatrick (Partick Thistle) Yellow Card at 7',2025-05-23 04:57:09
13328,735615,1,45210197,10',Dylan Watret (Ayr United) Substitution at 10',2025-05-23 04:57:09
13328,735615,2,45210225,19',George Oakley (Ayr United) Yellow Card at 19',2025-05-23 04:57:09
13328,735615,3,45210229,24',Kyle Turner (Partick Thistle) Yellow Card at 24',2025-05-23 04:57:09
13328,735615,4,45210277,45',Robbie Crawford (Partick Thistle) Yellow Card at 45',2025-05-23 04:57:09
13328,735615,5,45210291,45'+4',Brian Graham (Partick Thistle) Yellow Card at 49',2025-05-23 04:57:09
13328,735615,6,45210321,55',Jamie Murphy (Ayr United) Goal at 55',2025-05-23 04:57:09
13328,735615,7,45210327,61',Terry Ablade (Partick Thistle) Substitution at 61',2025-05-23 04:57:09
13328,735615,8,45210354,71',Ethan Walker (Ayr United) Substitution at 71',2025-05-23 04:57:09
13328,735615,9,45210365,76',Jay Henderson (Ayr United) Substitution at 76',2025-05-23 04:57:09
13328,735615,10,45210366,77',Curtis Main (Ayr United) Substitution at 77',2025-05-23 04:57:09
13328,735615,11,45210373,78',Lenny Agbaire (Ayr United) Yellow Card at 78',2025-05-23 04:57:09
13328,735615,12,45210386,83',Daniel O'Reilly (Partick Thistle) Yellow Card at 83',2025-05-23 04:57:09
13328,735615,13,45210387,84',Ben Stanway (Partick Thistle) Substitution at 84',2025-05-23 04:57:09
13328,735615,14,45210404,90'+2',Jay Henderson (Ayr United) Yellow Card at 92',2025-05-23 04:57:09
13328,735615,15,45210405,90'+3',Joshua Clarke (Ayr United) Yellow Card at 93',2025-05-23 04:57:09
13328,735616,0,45224132,6',Brian Graham (Partick Thistle) Goal at 6',2025-05-23 04:57:09
13328,735616,1,45224481,40',Zander Mackenzie (Partick Thistle) Substitution at 40',2025-05-23 04:57:09
13328,735616,2,45224856,56',Jay Henderson (Ayr United) Substitution at 56',2025-05-23 04:57:09
13328,735616,3,45224857,56',Curtis Main (Ayr United) Substitution at 56',2025-05-23 04:57:09
13328,735616,4,45224943,63',Ben Dempsey (Ayr United) Yellow Card at 63',2025-05-23 04:57:09
13328,735616,5,45224962,64',Jay Henderson (Ayr United) Yellow Card at 64',2025-05-23 04:57:09
13328,735616,6,45225176,83',Alex Jakubiak (Partick Thistle) Substitution at 83',2025-05-23 04:57:09
13328,735616,7,45225227,88',Brian Graham (Partick Thistle) Goal at 88',2025-05-23 04:57:09
13328,735616,8,45225236,90',Brian Graham (Partick Thistle) Yellow Card at 90',2025-05-23 04:57:09
13328,735616,9,45225244,90',Ethan Walker (Ayr United) Substitution at 90',2025-05-23 04:57:09
13327,735617,0,45254941,25',Jamie Low (Partick Thistle) Yellow Card at 25',2025-05-23 04:57:09
13327,735617,1,45254945,28',Jamie Brandon (Livingston) Yellow Card at 28',2025-05-23 04:57:09
13327,735617,2,45255013,39',Scott Pittman (Livingston) Goal at 39',2025-05-23 04:57:09
13327,735617,3,45255180,45',Alex Jakubiak (Partick Thistle) Substitution at 45',2025-05-23 04:57:09
13327,735617,4,45255222,49',Stuart Bannigan (Partick Thistle) Yellow Card at 49',2025-05-23 04:57:09
13327,735617,5,45255241,52',Danny Wilson (Livingston) Goal at 52',2025-05-23 04:57:09
13327,735617,6,45255315,62',Stevie May (Livingston) Substitution at 62',2025-05-23 04:57:09
13327,735617,7,45255325,63',Tete Yengi (Livingston) Substitution at 63',2025-05-23 04:57:09
13327,735617,8,45255340,65',Steven Lawless (Partick Thistle) Substitution at 65',2025-05-23 04:57:09
13327,735617,9,45255341,66',Ben Stanway (Partick Thistle) Substitution at 66',2025-05-23 04:57:09
13327,735617,10,45255342,66',Daniel Finlayson (Livingston) Substitution at 66',2025-05-23 04:57:09
13327,735617,11,45255361,67',Daniel O'Reilly (Partick Thistle) Yellow Card at 67',2025-05-23 04:57:09
13327,735617,12,45255459,79',Andrew Shinnie (Livingston) Substitution at 79',2025-05-23 04:57:09
13327,735617,13,45255490,88',Zander Mackenzie (Partick Thistle) Substitution at 88',2025-05-23 04:57:09
13327,735618,0,45270774,34',Brian Graham (Partick Thistle) Yellow Card at 34',2025-05-23 04:57:09
13327,735618,1,45270828,40',Jamie Brandon (Livingston) Goal at 40',2025-05-23 04:57:09
13327,735618,2,45270842,41',Lewis Smith (Livingston) Yellow Card at 41',2025-05-23 04:57:09
13327,735618,3,45270880,45'+2',Ben Stanway (Partick Thistle) Yellow Card at 47',2025-05-23 04:57:09
13327,735618,4,45271019,45',Andrew Shinnie (Livingston) Substitution at 45',2025-05-23 04:57:09
13327,735618,5,45271025,45',Daniel Finlayson (Livingston) Substitution at 45',2025-05-23 04:57:09
13327,735618,6,45271078,51',Stuart Bannigan (Partick Thistle) Yellow Card at 51',2025-05-23 04:57:09
13327,735618,7,45271113,59',Stevie May (Livingston) Substitution at 59',2025-05-23 04:57:09
13327,735618,8,45271114,59',Tete Yengi (Livingston) Substitution at 59',2025-05-23 04:57:09
13327,735618,9,45271135,65',Alex Jakubiak (Partick Thistle) Substitution at 65',2025-05-23 04:57:09
13327,735618,10,45271139,67',Stevie May (Livingston) Goal at 67',2025-05-23 04:57:09
13327,735618,11,45271153,71',Reece McAlear (Livingston) Substitution at 71',2025-05-23 04:57:09
13327,735618,12,45271156,72',Zander Mackenzie (Partick Thistle) Substitution at 72',2025-05-23 04:57:09
13327,735618,13,45271204,84',Liam Dolan (Partick Thistle) Substitution at 84',2025-05-23 04:57:09
