seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12902,731056,0,44657350,6',Daizen Maeda (Celtic) Goal at 6',2025-02-09 05:53:05
12902,731056,1,44657704,37',Reo Hatate (Celtic) Substitution at 37',2025-02-09 05:53:05
12902,731056,2,44657865,45'+3',Daizen Maeda (Celtic) Goal at 48',2025-02-09 05:53:05
12902,731056,3,44658071,47',Luke McCowan (Celtic) Goal at 47',2025-02-09 05:53:05
12902,731056,4,44658181,56',Yang Hyun-Jun (Celtic) Goal at 56',2025-02-09 05:53:05
12902,731056,5,44658202,57',Finlay Pollock (Raith Rovers) Substitution at 57',2025-02-09 05:53:05
12902,731056,6,44658295,65',Arne Engels (Celtic) Substitution at 65',2025-02-09 05:53:05
12902,731056,7,44658296,65',Jota (Celtic) Substitution at 65',2025-02-09 05:53:05
12902,731056,8,44658297,65',Johnny Kenny (Celtic) Substitution at 65',2025-02-09 05:53:05
12902,731056,9,44658375,72',Maik Nawrocki (Celtic) Substitution at 72',2025-02-09 05:53:05
12902,731056,10,44658441,77',Daizen Maeda (Celtic) Goal at 77',2025-02-09 05:53:05
12902,731056,11,44658707,89',Aiden Marsh (Raith Rovers) Substitution at 89',2025-02-09 05:53:05
12902,731057,0,44674381,23',Mikael Mandron (St Mirren) Goal at 23',2025-02-11 05:50:30
12902,731057,1,44674714,52',Michael Steinwender (Heart of Midlothian) Substitution at 52',2025-02-11 05:50:30
12902,731057,2,44674792,63',James Wilson (Heart of Midlothian) Substitution at 63',2025-02-11 05:50:30
12902,731057,3,44674793,63',Sander Kartum (Heart of Midlothian) Substitution at 63',2025-02-11 05:50:30
12902,731057,4,44674846,70',Elvis Bwomono (St Mirren) Substitution at 70',2025-02-11 05:50:30
12902,731057,5,44674956,83',Calem Nieuwenhof (Heart of Midlothian) Substitution at 83',2025-02-11 05:50:30
12902,731057,6,44674957,83',Gerald Taylor (Heart of Midlothian) Substitution at 83',2025-02-11 05:50:30
12902,731057,7,44674958,84',Calem Nieuwenhof (Heart of Midlothian) Goal at 84',2025-02-11 05:50:30
12902,731057,8,44675037,90'+2',Evan Mooney (St Mirren) Substitution at 92',2025-02-11 05:50:30
12902,731057,9,44675101,90'+11',Alexander Gogic (St Mirren) Yellow Card at 101',2025-02-11 05:50:30
12902,731057,10,44675123,90',Oisin Smyth (St Mirren) Substitution at 90',2025-02-11 05:50:30
12902,731057,11,44675124,90',Greg Kiltie (St Mirren) Substitution at 90',2025-02-11 05:50:30
12902,731057,12,44675203,105',Jorge Grant (Heart of Midlothian) Substitution at 105',2025-02-11 05:50:30
12902,731057,13,44675204,105',Kenneth Vargas (Heart of Midlothian) Substitution at 105',2025-02-11 05:50:30
12902,731057,14,44675225,110',James Scott (St Mirren) Substitution at 110',2025-02-11 05:50:30
12902,731057,15,44675226,111',Luke Kenny (St Mirren) Substitution at 111',2025-02-11 05:50:30
12902,731057,16,44675232,120',Oisin Smyth (St Mirren) Yellow Card at 120',2025-02-11 05:50:30
12902,731057,17,44675234,120',Marcus Fraser (St Mirren) Yellow Card at 120',2025-02-11 05:50:30
12902,731058,0,44664758,33',Chris Hamilton (Dunfermline Athletic) Yellow Card at 33',2025-02-10 05:49:55
12902,731058,1,44664908,45'+1',Habib Gueye (Aberdeen) Goal at 46',2025-02-10 05:49:55
12902,731058,2,44665070,50',Alexander Jensen (Aberdeen) Goal at 50',2025-02-10 05:49:55
12902,731058,3,44665133,55',Ephraim Yeboah (Dunfermline Athletic) Substitution at 55',2025-02-10 05:49:55
12902,731058,4,44665134,55',Kieran Ngwenya (Dunfermline Athletic) Substitution at 55',2025-02-10 05:49:55
12902,731058,5,44665207,61',Shayden Morris (Aberdeen) Substitution at 61',2025-02-10 05:49:55
12902,731058,6,44665257,67',Kane Ritchie-Hosler (Dunfermline Athletic) Substitution at 67',2025-02-10 05:49:55
12902,731058,7,44665258,67',Michael O'Halloran (Dunfermline Athletic) Substitution at 67',2025-02-10 05:49:55
12902,731058,8,44665259,68',Alfie Dorrington (Aberdeen) Substitution at 68',2025-02-10 05:49:55
12902,731058,9,44665260,68',Graeme Shinnie (Aberdeen) Substitution at 68',2025-02-10 05:49:55
12902,731058,10,44665425,81',Ephraim Yeboah (Dunfermline Athletic) Yellow Card at 81',2025-02-10 05:49:55
12902,731058,11,44665511,85',Kevin Nisbet (Aberdeen) Goal at 85',2025-02-10 05:49:55
12902,731058,12,44665571,88',Fletcher Boyd (Aberdeen) Substitution at 88',2025-02-10 05:49:55
12902,731058,13,44665572,88',Leighton Clarkson (Aberdeen) Substitution at 88',2025-02-10 05:49:55
12902,731058,14,44665573,88',Owen Hampson (Dunfermline Athletic) Substitution at 88',2025-02-10 05:49:55
12902,731058,15,44665657,90'+5',Kristers Tobers (Aberdeen) Yellow Card at 95',2025-02-10 05:49:55
12902,731059,0,44653643,13',Clark Robertson (Dundee) Goal at 13',2025-02-09 05:53:05
12902,731059,1,44653948,25',Lyall Cameron (Dundee) Goal at 25',2025-02-09 05:53:05
12902,731059,2,44654430,40',Oluwaseun Adewumi (Dundee) Goal at 40',2025-02-09 05:53:05
12902,731059,3,44654562,44',Lyall Cameron (Dundee) Goal at 44',2025-02-09 05:53:05
12902,731059,4,44655409,57',Rhys Armstrong (Airdrieonians) Substitution at 57',2025-02-09 05:53:05
12902,731059,5,44655410,57',Lewis Mcgregor (Airdrieonians) Substitution at 57',2025-02-09 05:53:05
12902,731059,6,44655459,59',Lyall Cameron (Dundee) Yellow Card at 59',2025-02-09 05:53:05
12902,731059,7,44655566,61',Victor Lopez (Dundee) Substitution at 61',2025-02-09 05:53:05
12902,731059,8,44655674,64',Clark Robertson (Dundee) Yellow Card at 64',2025-02-09 05:53:05
12902,731059,9,44655764,66',Liam Mcstravick (Airdrieonians) Substitution at 66',2025-02-09 05:53:05
12902,731059,10,44655765,66',Mason Hancock (Airdrieonians) Substitution at 66',2025-02-09 05:53:05
12902,731059,11,44655991,71',Imari Samuels (Dundee) Substitution at 71',2025-02-09 05:53:05
12902,731059,12,44655992,71',Mohamad Sylla (Dundee) Substitution at 71',2025-02-09 05:53:05
12902,731059,13,44655993,72',Finlay Robertson (Dundee) Substitution at 72',2025-02-09 05:53:05
12902,731059,14,44656200,80',Cameron Cooper (Airdrieonians) Substitution at 80',2025-02-09 05:53:05
12902,731059,15,44656297,82',Joe Shaughnessy (Dundee) Substitution at 82',2025-02-09 05:53:05
12902,731059,16,44656500,87',Dylan Mcdonald (Airdrieonians) Yellow Card at 87',2025-02-09 05:53:05
12902,731060,0,44653868,25',Ryan McGowan (Livingston) Goal at 25',2025-02-09 05:53:05
12902,731060,1,44655252,56',Tete Yengi (Livingston) Substitution at 56',2025-02-09 05:53:05
12902,731060,2,44655253,56',Scott Pittman (Livingston) Substitution at 56',2025-02-09 05:53:05
12902,731060,3,44655575,64',Matthew Clarke (Livingston) Substitution at 64',2025-02-09 05:53:05
12902,731060,4,44655576,64',Andrew Shinnie (Livingston) Substitution at 64',2025-02-09 05:53:05
12902,731060,5,44656085,78',William Gillingham (Cove Rangers) Substitution at 78',2025-02-09 05:53:05
12902,731060,6,44656086,78',Miles Gaffney (Cove Rangers) Substitution at 78',2025-02-09 05:53:05
12902,731060,7,44656087,78',Liam Parker (Cove Rangers) Substitution at 78',2025-02-09 05:53:05
12902,731060,8,44656088,79',Lewis Smith (Livingston) Substitution at 79',2025-02-09 05:53:05
12902,731060,9,44656141,81',Tete Yengi (Livingston) Goal at 81',2025-02-09 05:53:05
12902,731060,10,44656190,83',Tete Yengi (Livingston) Goal at 83',2025-02-09 05:53:05
12902,731060,11,44656290,84',Grady Mcgrath (Cove Rangers) Substitution at 84',2025-02-09 05:53:05
12902,731060,12,44656460,88',Fraser Fyvie (Cove Rangers) Yellow Card at 88',2025-02-09 05:53:05
12902,731061,0,44667491,45',Cyriel Dessers (Rangers) Substitution at 45',2025-02-10 05:49:55
12902,731061,1,44667492,45',Nicolas Raskin (Rangers) Substitution at 45',2025-02-10 05:49:55
12902,731061,2,44667776,60',John Souttar (Rangers) Substitution at 60',2025-02-10 05:49:55
12902,731061,3,44667777,61',Ridvan Yilmaz (Rangers) Substitution at 61',2025-02-10 05:49:55
12902,731061,4,44667882,67',Seb Drozd (Queen's Park) Substitution at 67',2025-02-10 05:49:55
12902,731061,5,44667916,69',Seb Drozd (Queen's Park) Goal at 69',2025-02-10 05:49:55
12902,731061,6,44667987,72',Adam Montgomery (Queen's Park) Substitution at 72',2025-02-10 05:49:55
12902,731061,7,44668199,86',Tom Lawrence (Rangers) Substitution at 86',2025-02-10 05:49:55
12902,731061,8,44668343,90'+7',James Tavernier (Rangers) Penalty - Saved at 97',2025-02-10 05:49:55
12902,731062,0,44654232,35',Elliot Watt (St Johnstone) Yellow Card at 35',2025-02-09 05:53:05
12902,731062,1,44654559,45',Kyle MacDonald (Hamilton Academical) Yellow Card at 45',2025-02-09 05:53:05
12902,731062,2,44654982,45',Stephen Duke-McKenna (St Johnstone) Substitution at 45',2025-02-09 05:53:05
12902,731062,3,44655364,55',Stephen Hendrie (Hamilton Academical) Yellow Card at 55',2025-02-09 05:53:05
12902,731062,4,44655490,59',Jackson Longridge (Hamilton Academical) Substitution at 59',2025-02-09 05:53:05
12902,731062,5,44655491,59',Stuart Mckinstry (Hamilton Academical) Substitution at 59',2025-02-09 05:53:05
12902,731062,6,44655492,59',Reghan Tumilty (Hamilton Academical) Substitution at 59',2025-02-09 05:53:05
12902,731062,7,44655493,59',Oliver Shaw (Hamilton Academical) Substitution at 59',2025-02-09 05:53:05
12902,731062,8,44655728,65',Graham Carey (St Johnstone) Substitution at 65',2025-02-09 05:53:05
