seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12213,723178,0,44185786,8',Evan Lee (Greenville Triumph) Goal at 8',2025-04-05 08:47:55
12213,723178,1,44186109,31',Louis Herrera (Greenville Triumph) Yellow Card at 31',2025-04-05 08:47:55
12213,723178,2,44186252,42',Josué Gómez (Union Omaha) Goal at 42',2025-04-05 08:47:55
12213,723178,3,44186582,58',Zeiko Lewis (Union Omaha) Goal at 58',2025-04-05 08:47:55
12213,723178,4,44186622,61',Sebastián Velásquez (Greenville Triumph) Substitution at 61',2025-04-05 08:47:55
12213,723178,5,44186681,63',Joe Gallardo (Union Omaha) Yellow Card at 63',2025-04-05 08:47:55
12213,723178,6,44186682,63',Brandon Knapp (Union Omaha) Substitution at 63',2025-04-05 08:47:55
12213,723178,7,44186822,73',Missael Rodriguez (Union Omaha) Substitution at 73',2025-04-05 08:47:55
12213,723178,8,44186823,74',Ben Zakowski (Greenville Triumph) Substitution at 74',2025-04-05 08:47:55
12213,723178,9,44187007,88',Rodrigo Robles (Greenville Triumph) Substitution at 88',2025-04-05 08:47:55
12213,723178,10,44187058,90'+2',Max Schneider (Union Omaha) Yellow Card at 92',2025-04-05 08:47:55
12213,723178,11,44187092,90'+7',Anderson Holt (Union Omaha) Substitution at 97',2025-04-05 08:47:55
12215,691215,0,43408213,37',Joel Johnson Alajarin (Charlotte Independence) Goal at 37',2024-10-14 07:06:39
12215,691215,1,43408238,42',Leo Folla (Chattanooga Red Wolves) Yellow Card at 42',2024-10-14 07:06:39
12215,691215,2,43408447,53',Luis Alvarez (Charlotte Independence) Yellow Card at 53',2024-10-14 07:06:39
12215,691215,3,43408456,55',Leo Folla (Chattanooga Red Wolves) Own Goal at 55',2024-10-14 07:06:39
12215,691215,4,43408471,58',Omar Gómez (Chattanooga Red Wolves) Yellow Card at 58',2024-10-14 07:06:39
12215,691215,5,43408500,61',Jamil Roberts (Chattanooga Red Wolves) Substitution at 61',2024-10-14 07:06:39
12215,691215,6,43408501,63',Miguel Ibarra (Charlotte Independence) Substitution at 63',2024-10-14 07:06:39
12215,691215,7,43408502,63',Bachir Ndiaye (Charlotte Independence) Substitution at 63',2024-10-14 07:06:39
12215,691215,8,43408529,66',Omar Ciss (Charlotte Independence) Yellow Card at 66',2024-10-14 07:06:39
12215,691215,9,43408576,69',Tresor Mbuyu (Charlotte Independence) Substitution at 69',2024-10-14 07:06:39
12215,691215,10,43408625,71',Nick Spielman (Charlotte Independence) Yellow Card at 71',2024-10-14 07:06:39
12215,691215,11,43408626,71',Nick Spielman (Charlotte Independence) Red Card at 71',2024-10-14 07:06:39
12215,691215,12,43408630,74',Chevone Marsh (Chattanooga Red Wolves) Shot Off Target at 74',2024-10-14 07:06:39
12215,691215,13,43408645,75',Pedro Hernandez (Chattanooga Red Wolves) Yellow Card at 75',2024-10-14 07:06:39
12215,691215,14,43408689,77',Anton Sorenson (Charlotte Independence) Substitution at 77',2024-10-14 07:06:39
12215,691215,15,43408690,77',Clay Obara (Charlotte Independence) Substitution at 77',2024-10-14 07:06:39
12215,691215,16,43408691,79',Stefan Cvetanovic (Chattanooga Red Wolves) Substitution at 79',2024-10-14 07:06:39
12215,691215,17,43408692,79',Omar Hernandez (Chattanooga Red Wolves) Substitution at 79',2024-10-14 07:06:39
12215,691229,0,43902669,26',Cherif Dieye (Forward Madison FC) Yellow Card at 26',2024-10-02 05:34:50
12215,691229,1,43902675,28',Juan Galindrez (Forward Madison FC) Yellow Card at 28',2024-10-02 05:34:50
12215,691229,2,43902685,33',Jordan Skelton (One Knoxville) Yellow Card at 33',2024-10-02 05:34:50
12215,691229,3,43902687,40',Juan Galindrez (Forward Madison FC) Goal at 40',2024-10-02 05:34:50
12215,691229,4,43902696,44',James Thomas (One Knoxville) Yellow Card at 44',2024-10-02 05:34:50
12215,691229,5,43902721,45',Wolfgang Prentice (Forward Madison FC) Substitution at 45',2024-10-02 05:34:50
12215,691229,6,43902722,45',Derek Gebhard (Forward Madison FC) Substitution at 45',2024-10-02 05:34:50
12215,691229,7,43902723,45',Giovanni Calixtro (One Knoxville) Substitution at 45',2024-10-02 05:34:50
12215,691229,8,43902724,48',Ferrety Sousa (Forward Madison FC) Yellow Card at 48',2024-10-02 05:34:50
12215,691229,9,43902739,51',Frank Ross (One Knoxville) Goal at 51',2024-10-02 05:34:50
12215,691229,10,43902755,56',Richard Ballard (One Knoxville) Yellow Card at 56',2024-10-02 05:34:50
12215,691229,11,43902761,58',Angelo Kelly-Rosales (One Knoxville) Substitution at 58',2024-10-02 05:34:50
12215,691229,12,43902767,61',Stephen Payne (Forward Madison FC) Substitution at 61',2024-10-02 05:34:50
12215,691229,13,43902791,72',Kingsford Adjei (One Knoxville) Substitution at 72',2024-10-02 05:34:50
12215,691229,14,43902803,78',Sivert Haugli (One Knoxville) Yellow Card at 78',2024-10-02 05:34:50
12215,691229,15,43902810,79',Mauro Cichero (Forward Madison FC) Substitution at 79',2024-10-02 05:34:50
12215,691229,16,43902811,81',Innocent Nshuti (One Knoxville) Substitution at 81',2024-10-02 05:34:50
12215,691229,17,43902812,82',Yesin Van Der Pluijm (One Knoxville) Substitution at 82',2024-10-02 05:34:50
12215,691229,18,43902821,84',Fabián Dávila (Forward Madison FC) Substitution at 84',2024-10-02 05:34:50
12215,691250,0,43369270,22',Emiliano Terzaghi (Richmond Kickers) Goal at 22',2024-10-14 07:06:39
12215,691250,1,43370191,49',Devin Boyce (Forward Madison FC) Yellow Card at 49',2024-10-14 07:06:39
12215,691250,2,43370460,62',Fabián Dávila (Forward Madison FC) Substitution at 62',2024-10-14 07:06:39
12215,691250,3,43370461,63',Zacarias Moran Correa (Richmond Kickers) Substitution at 63',2024-10-14 07:06:39
12215,691250,4,43370476,65',Aiden Mesias (Forward Madison FC) Yellow Card at 65',2024-10-14 07:06:39
12215,691250,5,43370576,71',Wolfgang Prentice (Forward Madison FC) Substitution at 71',2024-10-14 07:06:39
12215,691250,6,43370577,71',Juan Galindrez (Forward Madison FC) Substitution at 71',2024-10-14 07:06:39
12215,691250,7,43370578,71',Cherif Dieye (Forward Madison FC) Substitution at 71',2024-10-14 07:06:39
12215,691250,8,43370634,76',Justin Sukow (Richmond Kickers) Substitution at 76',2024-10-14 07:06:39
12215,691250,9,43370635,76',Chandler O'Dwyer (Richmond Kickers) Substitution at 76',2024-10-14 07:06:39
12215,691250,10,43370678,81',Zacarias Moran Correa (Richmond Kickers) Yellow Card at 81',2024-10-14 07:06:39
12215,691250,11,43370806,86',Jake Crull (Forward Madison FC) Yellow Card at 86',2024-10-14 07:06:39
12215,691250,12,43370807,87',John Murphy (Forward Madison FC) Substitution at 87',2024-10-14 07:06:39
12215,691250,13,43370808,89',Arthur Bosua (Richmond Kickers) Substitution at 89',2024-10-14 07:06:39
12215,691250,14,43370816,90',Juan Galindrez (Forward Madison FC) Goal at 90',2024-10-14 07:06:39
12215,691250,15,43370833,90'+1',Juan Galindrez (Forward Madison FC) Yellow Card at 91',2024-10-14 07:06:39
12215,691250,16,43370864,90'+3',Chandler O'Dwyer (Richmond Kickers) Yellow Card at 93',2024-10-14 07:06:39
12215,691250,17,43370900,90'+6',Adrian Billhardt (Richmond Kickers) Yellow Card at 96',2024-10-14 07:06:39
12215,691250,18,43370978,90'+10',Timmy Mehl (Forward Madison FC) Yellow Card at 100',2024-10-14 07:06:39
12215,691250,19,43371002,90'+11',Chandler O'Dwyer (Richmond Kickers) Goal at 101',2024-10-14 07:06:39
12215,691251,0,43370422,21',Lucky Onyebuchi Opara (Northern Colorado Hailstorm FC) Yellow Card at 21',2024-10-14 07:06:39
12215,691251,1,43370515,28',Javier Mariona (Central Valley Fuego FC) Yellow Card at 28',2024-10-14 07:06:39
12215,691251,2,43370529,29',Dembor Benson (Central Valley Fuego FC) Goal at 29',2024-10-14 07:06:39
12215,691251,3,43371159,45',Razak Cromwell (Central Valley Fuego FC) Substitution at 45',2024-10-14 07:06:39
12215,691251,4,43371242,51',Omar Lemus (Central Valley Fuego FC) Yellow Card at 51',2024-10-14 07:06:39
12215,691251,5,43371290,54',Noah Powder (Northern Colorado Hailstorm FC) Yellow Card at 54',2024-10-14 07:06:39
12215,691251,6,43371325,56',Christopher Heckenberg (Central Valley Fuego FC) Yellow Card at 56',2024-10-14 07:06:39
12215,691251,7,43371436,63',Emmanuel Gómez (Central Valley Fuego FC) Substitution at 63',2024-10-14 07:06:39
12215,691251,8,43371437,63',Alfredo Midence (Central Valley Fuego FC) Substitution at 63',2024-10-14 07:06:39
12215,691251,9,43371438,63',Jackson Dietrich (Northern Colorado Hailstorm FC) Substitution at 63',2024-10-14 07:06:39
12215,691251,10,43371439,63',Mark Hernández (Northern Colorado Hailstorm FC) Substitution at 63',2024-10-14 07:06:39
12215,691251,11,43371458,68',Shavon John-Brown (Central Valley Fuego FC) Goal at 68',2024-10-14 07:06:39
12215,691251,12,43371500,73',Daniel Robles (Northern Colorado Hailstorm FC) Substitution at 73',2024-10-14 07:06:39
12215,691251,13,43371501,73',Jake Keegan (Northern Colorado Hailstorm FC) Substitution at 73',2024-10-14 07:06:39
12215,691251,14,43371525,79',Real Gill (Northern Colorado Hailstorm FC) Substitution at 79',2024-10-14 07:06:39
12215,691251,15,43371526,80',Zahir Vasquez (Central Valley Fuego FC) Substitution at 80',2024-10-14 07:06:39
12215,691251,16,43371543,88',Jake Keegan (Northern Colorado Hailstorm FC) Goal at 88',2024-10-14 07:06:39
12215,691251,17,43371550,89',Mark Hernández (Northern Colorado Hailstorm FC) Yellow Card at 89',2024-10-14 07:06:39
12215,691251,18,43371551,90',Alfredo Midence (Central Valley Fuego FC) Yellow Card at 90',2024-10-14 07:06:39
12215,691251,19,43371566,90'+6',Taran Williams (Central Valley Fuego FC) Substitution at 96',2024-10-14 07:06:39
12215,691251,20,43371578,90'+10',Alfredo Midence (Central Valley Fuego FC) Red Card at 100',2024-10-14 07:06:39
12215,691251,21,43371580,90'+11',Real Gill (Northern Colorado Hailstorm FC) Goal at 101',2024-10-14 07:06:39
12215,691252,0,43374952,45'+2',Daniel Steedman (South Georgia Tormenta FC) Yellow Card at 47',2024-10-14 07:06:39
