seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12249,690702,0,-1,,Lineups are announced and players are warming up.,2024-02-06 16:02:01
12249,690702,1,42361237,,First Half begins.,2024-02-06 16:02:01
12249,690702,2,42361246,2',Foul by Luciano (São Paulo).,2024-02-06 16:02:01
12249,690702,3,42361246,2',José López (Palmeiras) wins a free kick in the attacking half.,2024-02-06 16:02:01
12249,690702,4,42361257,2',Luciano (São Paulo) is shown the yellow card for a bad foul.,2024-02-06 16:02:01
12249,690702,5,-1,2',Delay in match  because of an injury José López (Palmeiras).,2024-02-06 16:02:01
12249,690702,6,-1,2',Delay in match  because of an injury Luciano (São Paulo).,2024-02-06 16:02:01
12249,690702,7,-1,3',Delay over. They are ready to continue.,2024-02-06 16:02:01
12249,690702,8,-1,3',Attempt saved. Rony (Palmeiras) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Marcos Rocha.,2024-02-06 16:02:01
12249,690702,9,42361273,3',Diego Costa (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,10,42361273,3',Foul by José López (Palmeiras).,2024-02-06 16:02:01
12249,690702,11,42361346,10',Foul by Mayke (Palmeiras).,2024-02-06 16:02:01
12249,690702,12,42361346,10',Welington (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,13,42361358,12',Foul by Richard Ríos (Palmeiras).,2024-02-06 16:02:01
12249,690702,14,42361358,12',Nikão (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,15,-1,13',"Corner, São Paulo. Conceded by Murilo.",2024-02-06 16:02:01
12249,690702,16,42361380,14',Foul by Pablo Maia (São Paulo).,2024-02-06 16:02:01
12249,690702,17,42361380,14',Raphael Veiga (Palmeiras) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,18,42361398,15',Foul by Raphael Veiga (Palmeiras).,2024-02-06 16:02:01
12249,690702,19,42361398,15',Welington (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,20,42361399,15',Raphael Veiga (Palmeiras) is shown the yellow card for a bad foul.,2024-02-06 16:02:01
12249,690702,21,42361402,16',Foul by Nikão (São Paulo).,2024-02-06 16:02:01
12249,690702,22,42361402,16',Mayke (Palmeiras) wins a free kick on the right wing.,2024-02-06 16:02:01
12249,690702,23,42361419,18',Foul by Gustavo Gómez (Palmeiras).,2024-02-06 16:02:01
12249,690702,24,42361419,18',Jonathan Calleri (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,25,42361439,19',Alisson (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
12249,690702,26,42361439,19',Foul by Zé Rafael (Palmeiras).,2024-02-06 16:02:01
12249,690702,27,42361452,20',Foul by Mayke (Palmeiras).,2024-02-06 16:02:01
12249,690702,28,42361452,20',Welington (São Paulo) wins a free kick in the defensive half.,2024-02-06 16:02:01
