seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13667,756464,0,45904051,45'+1',Tom Aldred (Mohun Bagan Super Giant) Yellow Card at 46',2025-09-17 05:16:29
13667,756464,1,45904052,58',Jamie Maclaren (Mohun Bagan Super Giant) Substitution at 58',2025-09-17 05:16:29
13667,756464,2,45904053,58',Anirudh Thapa (Mohun Bagan Super Giant) Substitution at 58',2025-09-17 05:16:29
13667,756464,3,45904054,62',Dovran Hojamammedov (Ahal) Substitution at 62',2025-09-17 05:16:29
13667,756464,4,45904057,70',Nazar Tovakelov (Ahal) Yellow Card at 70',2025-09-17 05:16:29
13667,756464,5,45904058,73',Robson (Mohun Bagan Super Giant) Substitution at 73',2025-09-18 05:13:23
13667,756464,6,45904059,73',Subashish Bose (Mohun Bagan Super Giant) Substitution at 73',2025-09-17 05:16:29
13667,756464,7,45904060,79',Enver Annayev (Ahal) Substitution at 79',2025-09-17 05:16:29
13667,756464,8,45904061,79',Bäsim Gurbanberdi&#775;Yew (Ahal) Substitution at 79',2025-09-17 05:16:29
13667,756464,9,45904062,83',Enver Annayev (Ahal) Goal at 83',2025-09-17 05:16:29
13667,756464,10,45904066,90'+3',Salim Umarov (Ahal) Substitution at 93',2025-09-17 05:16:29
13667,756464,11,45904067,90'+4',Beglimuhammet Bekmyradov (Ahal) Substitution at 94',2025-09-17 05:16:29
13667,756465,0,45904682,11',Giorgi Gvelesiani (Sepahan) Yellow Card at 11',2025-09-17 05:16:29
13667,756465,1,45904793,28',Mahmoud Khrouba (Al Hussein) Goal at 28',2025-09-17 05:16:29
13667,756465,2,45905163,45',Latyr Fall (Al Hussein) Substitution at 45',2025-09-17 05:16:29
13667,756465,3,45905234,48',Mahmoud Khrouba (Al Hussein) Yellow Card at 48',2025-09-17 05:16:29
13667,756465,4,45905481,62',Hashem Al Mbaidin (Al Hussein) Substitution at 62',2025-09-17 05:16:29
13667,756465,5,45905647,74',Ahmad Assaf (Al Hussein) Substitution at 74',2025-09-17 05:16:29
13667,756465,6,45905667,76',Mohammadmehdi Lotfi (Sepahan) Substitution at 76',2025-09-17 05:16:29
13667,756465,7,45905681,76',Amin Hazbavi (Sepahan) Substitution at 76',2025-09-17 05:16:29
13667,756465,8,45905714,82',Kaveh Rezaei (Sepahan) Substitution at 82',2025-09-17 05:16:29
13667,756465,9,45905735,86',Faris Ghatasha (Al Hussein) Substitution at 86',2025-09-17 05:16:29
13667,756465,10,45905762,89',Enzo Crivelli (Sepahan) Substitution at 89',2025-09-17 05:16:29
13667,756466,0,45908171,14',Yu Okubo (Eastern SC) Yellow Card at 14',2025-09-18 05:13:23
13667,756466,1,45908199,28',Welton Felipe (Gamba Osaka) Goal at 28',2025-09-18 05:13:23
13667,756466,2,45908205,29',Gil (Eastern SC) Goal at 29',2025-09-19 05:15:36
13667,756466,3,45908268,55',Taiga Kawano (Eastern SC) Substitution at 55',2025-09-18 05:13:23
13667,756466,4,45908273,55',Daniel Almazan (Eastern SC) Substitution at 55',2025-09-18 05:13:23
13667,756466,5,45908278,55',Manuel Bleda (Eastern SC) Substitution at 55',2025-09-18 05:13:23
13667,756466,6,45908269,56',Deniz Hümmet (Gamba Osaka) Substitution at 56',2025-09-18 05:13:23
13667,756466,7,45908270,56',Takashi Usami (Gamba Osaka) Substitution at 56',2025-09-18 05:13:23
13667,756466,8,45908303,70',Takashi Usami (Gamba Osaka) Goal at 70',2025-09-18 05:13:23
13667,756466,9,45908307,71',Lam Hin Ting (Eastern SC) Substitution at 71',2025-09-18 05:13:23
13667,756466,10,45908314,71',Kanji Okunuki (Gamba Osaka) Substitution at 71',2025-09-18 05:13:23
13667,756466,11,45908315,71',Ryoya Yamashita (Gamba Osaka) Substitution at 71',2025-09-18 05:13:23
13667,756466,12,45908324,71',Tsz-Ho Wong (Eastern SC) Substitution at 71',2025-09-18 05:13:23
13667,756466,13,45908321,73',Callum Hall (Eastern SC) Red Card at 73',2025-09-18 05:13:23
13667,756466,14,45908325,75',Deniz Hümmet (Gamba Osaka) Goal at 75',2025-09-18 05:13:23
