seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12504,722038,0,43959063,24',Ngero Katua (Namibia) Yellow Card at 24',2024-10-12 05:42:57
12504,722038,1,43959065,34',Khama Billiat (Zimbabwe) Penalty - Scored at 34',2024-10-12 05:42:57
12504,722038,2,43959066,45',Bethuel Muzeu (Namibia) Substitution at 45',2024-10-12 05:42:57
12504,722038,3,43959069,66',Moses Shidolo (Namibia) Substitution at 66',2024-10-12 05:42:57
12504,722038,4,43959070,66',Erastus Kalula (Namibia) Substitution at 66',2024-10-12 05:42:57
12504,722038,5,43959071,69',Prince Dube (Zimbabwe) Substitution at 69',2024-10-12 05:42:57
12504,722038,6,43959072,69',Douglas Mapfumo (Zimbabwe) Substitution at 69',2024-10-12 05:42:57
12504,722038,7,43959076,79',Divine Lunga (Zimbabwe) Substitution at 79',2024-10-12 05:42:57
12504,722038,8,43959077,79',Richard Hachiro (Zimbabwe) Substitution at 79',2024-10-12 05:42:57
12504,722038,9,43959360,84',Paulus Amutenya (Namibia) Substitution at 84',2024-10-12 05:42:57
12504,722038,10,43959078,86',Erastus Kalula (Namibia) Yellow Card at 86',2024-10-12 05:42:57
12504,722038,11,43959079,88',Richard Hachiro (Zimbabwe) Yellow Card at 88',2024-10-12 05:42:57
12504,722038,12,43959080,90'+1',Teenage Hadebe (Zimbabwe) Substitution at 91',2024-10-12 05:42:57
12504,722039,0,43959341,45'+1',Walieldin Khidir (Sudan) Yellow Card at 46',2024-10-11 05:34:00
12504,722039,1,43959439,61',Ahmed Al Tash (Sudan) Substitution at 61',2024-10-11 05:34:00
12504,722039,2,43959440,61',Eid Mugadam (Sudan) Substitution at 61',2024-10-11 05:34:00
12504,722039,3,43959640,66',Mohammed Salisu (Ghana) Yellow Card at 66',2024-10-11 05:34:00
12504,722039,4,43959479,67',Mohamed Eisa (Sudan) Substitution at 67',2024-10-11 05:34:00
12504,722039,5,43959493,69',Iñaki Williams (Ghana) Substitution at 69',2024-10-11 05:34:00
12504,722039,6,43959494,69',Fatawu Issahaku (Ghana) Substitution at 69',2024-10-11 05:34:00
12504,722039,7,43959579,80',Michael Baidoo (Ghana) Substitution at 80',2024-10-11 05:34:00
12504,722039,8,43959616,85',John Robia (Sudan) Substitution at 85',2024-10-11 05:34:00
12504,722039,9,43972635,90'+2',Ahmed Yousif (Sudan) Yellow Card at 92',2024-10-14 07:06:39
12504,722039,10,43959669,90'+7',Mohamed Mustafa (Sudan) Yellow Card at 97',2024-10-14 07:06:39
12504,722040,0,43959239,23',Feisal Salum (Tanzania) Yellow Card at 23',2024-10-11 05:34:00
12504,722040,1,43959394,46',Chancel Mbemba (Congo DR) Yellow Card at 46',2024-10-11 05:34:00
12504,722040,2,43959428,53',Clement Mzize (Tanzania) Own Goal at 53',2024-10-11 05:34:00
12504,722040,3,43959450,57',Nassor Saadun (Tanzania) Substitution at 57',2024-10-11 05:34:00
12504,722040,4,43959490,63',Silas Katompa-Mvumpa (Congo DR) Substitution at 63',2024-10-11 05:34:00
12504,722040,5,43959568,72',Samuel Moutoussamy (Congo DR) Yellow Card at 72',2024-10-11 05:34:00
12504,722040,6,43959569,72',Fiston Mayele (Congo DR) Substitution at 72',2024-10-11 05:34:00
12504,722040,7,43959570,74',Noah Sadiki (Congo DR) Substitution at 74',2024-10-11 05:34:00
12504,722040,8,43959638,83',Cyprian Kachwele (Tanzania) Substitution at 83',2024-10-12 05:42:57
12504,722040,9,43959668,90',Pascal Gaudence Msindo (Tanzania) Substitution at 90',2024-10-12 05:42:57
12504,722040,10,43959673,90',Himid Mao (Tanzania) Substitution at 90',2024-10-12 05:42:57
12504,722040,11,43959674,90'+3',Joris Kayembe (Congo DR) Substitution at 93',2024-10-12 05:42:57
12504,722040,12,43959675,90'+5',Nassor Saadun (Tanzania) Yellow Card at 95',2024-10-12 05:42:57
12504,722041,0,43959141,2',Tumisang Orebonye (Botswana) Goal at 2',2024-10-12 05:42:57
12504,722041,1,43959153,5',Alford Velaphi (Botswana) Yellow Card at 5',2024-10-12 05:42:57
12504,722041,2,43959301,35',Gape Mohutsiwa (Botswana) Yellow Card at 35',2024-10-12 05:42:57
12504,722041,3,43959322,41',Logan Costa (Cape Verde Islands) Yellow Card at 41',2024-10-12 05:42:57
12504,722041,4,43959388,45',Motsholetsi Sikele (Botswana) Substitution at 45',2024-10-12 05:42:57
12504,722041,5,43959466,60',Dailon Livramento (Cape Verde Islands) Substitution at 60',2024-10-12 05:42:57
12504,722041,6,43959467,60',Jovane Cabral (Cape Verde Islands) Substitution at 60',2024-10-12 05:42:57
12504,722041,7,43959491,63',Godiraone Modingwane (Botswana) Substitution at 63',2024-10-12 05:42:57
12504,722041,8,43959571,73',Bebé  (Cape Verde Islands) Substitution at 73',2024-10-12 05:42:57
12504,722041,9,43959617,77',Goitseone Phoko (Botswana) Yellow Card at 77',2024-10-12 05:42:57
12504,722041,10,43959618,78',Omaatla Kebatho (Botswana) Substitution at 78',2024-10-12 05:42:57
12504,722041,11,43959619,78',Thabang Sesinyi (Botswana) Substitution at 78',2024-10-12 05:42:57
12504,722041,12,43959655,84',Tebogo Kopelang (Botswana) Substitution at 84',2024-10-12 05:42:57
12504,722041,13,43959656,84',Fabrício Andrade (Cape Verde Islands) Substitution at 84',2024-10-12 05:42:57
12504,722042,0,43960090,11',Thibault Klidje (Togo) Goal at 11',2024-10-11 05:34:00
12504,722042,1,43960375,29',Saïd Benrahma (Algeria) Goal at 29',2024-10-11 05:34:00
12504,722042,2,43960880,45',Hicham Boudaoui (Algeria) Substitution at 45',2024-10-11 05:34:00
12504,722042,3,43960909,46',Djené  (Togo) Yellow Card at 46',2024-10-11 05:34:00
12504,722042,4,43961080,53',Wassiou Ouro-Gneni (Togo) Yellow Card at 53',2024-10-11 05:34:00
12504,722042,5,43961104,55',Saïd Benrahma (Algeria) Penalty - Scored at 55',2024-10-11 05:34:00
12504,722042,6,43961453,68',Houssem Aouar (Algeria) Goal at 68',2024-10-11 05:34:00
12504,722042,7,43961488,69',Kodjo Jean Claude Aziangbe (Togo) Substitution at 69',2024-10-11 05:34:00
12504,722042,8,43961588,74',Alaixys Romao (Togo) Yellow Card at 74',2024-10-11 05:34:00
12504,722042,9,43961653,75',Amine Gouiri (Algeria) Substitution at 75',2024-10-11 05:34:00
12504,722042,10,43961654,76',Mohamed Amoura (Algeria) Substitution at 76',2024-10-11 05:34:00
12504,722042,11,43961722,79',Youssifou Atte (Togo) Substitution at 79',2024-10-11 05:34:00
12504,722042,12,43961723,79',Gustave Akueson (Togo) Substitution at 79',2024-10-11 05:34:00
12504,722042,13,43961724,79',Mansour Ouro-Tagba (Togo) Substitution at 79',2024-10-11 05:34:00
12504,722042,14,43961765,83',Mohamed Farsi (Algeria) Substitution at 83',2024-10-11 05:34:00
12504,722042,15,43961790,86',Amine Gouiri (Algeria) Goal at 86',2024-10-11 05:34:00
12504,722042,16,43961814,89',Ibrahim Maza (Algeria) Substitution at 89',2024-10-11 05:34:00
12504,722042,17,43961839,90',Marouf Tchakei (Togo) Substitution at 90',2024-10-11 05:34:00
12504,722042,18,43961840,90'+3',Hicham Boudaoui (Algeria) Yellow Card at 93',2024-10-11 05:34:00
12504,722042,19,43961844,90'+5',Mohamed Amoura (Algeria) Goal at 95',2024-10-11 05:34:00
12504,722043,0,43960025,4',Bienvenue Kanakimana (Burundi) Goal at 4',2024-10-11 05:34:00
12504,722043,1,43960448,31',Samuel Ndizeye (Burundi) Yellow Card at 31',2024-10-11 05:34:00
12504,722043,2,43960456,33',Dango Ouattara (Burkina Faso) Goal at 33',2024-10-11 05:34:00
12504,722043,3,43960463,34',Sacha Bansé (Burkina Faso) Goal at 34',2024-10-11 05:34:00
12504,722043,4,43960507,39',Keita Bukuru (Burundi) Yellow Card at 39',2024-10-11 05:34:00
