seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13644,754172,0,46044226,33',Federico Pereira (Toluca) Yellow Card at 33',2025-10-03 05:15:55
13644,754172,1,46044228,34',Marcel Ruiz (Toluca) Yellow Card at 34',2025-10-03 05:15:55
13644,754172,2,46044229,36',Diego Fagundez (LA Galaxy) Penalty - Scored at 36',2025-10-03 05:15:55
13644,754172,3,46044231,38',Gabriel Pec (LA Galaxy) Yellow Card at 38',2025-10-07 05:28:47
13644,754172,4,46044234,45'+2',Edwin Cerrillo (LA Galaxy) Yellow Card at 47',2025-10-03 05:15:55
13644,754172,5,46044238,45',Santiago Simón (Toluca) Substitution at 45',2025-10-03 05:15:55
13644,754172,6,46044241,53',Nicolás Castro (Toluca) Goal at 53',2025-10-03 05:15:55
13644,754172,7,46044244,62',Jesús Gallardo (Toluca) Yellow Card at 62',2025-10-03 05:15:55
13644,754172,8,46044248,70',Juan Domínguez (Toluca) Substitution at 70',2025-10-03 05:15:55
13644,754172,9,46044249,70',Maruicio Cuevas (LA Galaxy) Substitution at 70',2025-10-03 05:15:55
13644,754172,10,46044251,70',John Nelson (LA Galaxy) Substitution at 70',2025-10-03 05:15:55
13644,754172,11,46044250,71',Matheus Nascimento (LA Galaxy) Substitution at 71',2025-10-03 05:15:55
13644,754172,12,46044253,78',Carlos Garcés (LA Galaxy) Yellow Card at 78',2025-10-03 05:15:55
13644,754172,13,46044255,80',Joseph Paintsil (LA Galaxy) Yellow Card at 80',2025-10-03 05:15:55
13644,754172,14,46044259,84',Gabriel Pec (LA Galaxy) Goal at 84',2025-10-07 05:28:47
13644,754172,15,46044263,85',Helinho  (Toluca) Substitution at 85',2025-10-03 05:15:55
13644,754172,16,46044264,87',Matheus Nascimento (LA Galaxy) Yellow Card at 87',2025-10-03 05:15:55
13644,754172,17,46055734,87',Santiago Simón (Toluca) Yellow Card at 87',2025-10-04 05:15:19
13644,754172,18,46044266,88',Franco Romero (Toluca) Goal at 88',2025-10-04 05:15:19
13644,754172,19,46044268,90'+1',Robert Morales (Toluca) Substitution at 91',2025-10-04 05:15:19
13644,754172,20,46044269,90'+3',Federico Pereira (Toluca) Goal at 93',2025-10-04 05:15:19
13644,754172,21,46056183,90'+5',Miguel Berry (LA Galaxy) Substitution at 95',2025-10-04 05:15:19
