seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13313,735318,0,-1,,Lineups are announced and players are warming up.,2025-06-16 05:09:33
13313,735318,1,-1,,First Half begins.,2025-06-16 05:09:33
13313,735318,2,45391143,3',Foul by Jean López (Dominican Republic).,2025-06-16 05:09:33
13313,735318,3,45391143,3',Santiago Giménez (Mexico) wins a free kick in the attacking half.,2025-06-16 05:09:33
13313,735318,4,45391171,5',Attempt blocked. Raúl Jiménez (Mexico) right footed shot from outside the box is blocked.,2025-06-16 05:09:33
13313,735318,5,45391184,5',Attempt missed. Santiago Giménez (Mexico) right footed shot from outside the box is high and wide to the right following a set piece situation.,2025-06-16 05:09:33
13313,735318,6,45391173,5',"Corner,Mexico. Conceded by Jean López.",2025-06-16 05:09:33
13313,735318,7,45391191,7',Foul by Orbelín Pineda (Mexico).,2025-06-22 04:42:38
13313,735318,8,45391715,7',Heinz Mörschel (Dominican Republic) wins a free kick in the defensive half.,2025-06-22 04:42:38
13313,735318,9,45391306,12',Foul by Edson Álvarez (Mexico).,2025-06-16 05:09:33
13313,735318,10,45391306,12',Jean López (Dominican Republic) wins a free kick in the defensive half.,2025-06-16 05:09:33
13313,735318,11,45391352,15',Foul by Edarlyn Reyes (Dominican Republic).,2025-06-16 05:09:33
13313,735318,12,45391352,15',Jorge Sánchez (Mexico) wins a free kick on the right wing.,2025-06-16 05:09:33
13313,735318,13,45391404,18',Attempt saved. Roberto Alvarado (Mexico) right footed shot from outside the box is saved in the centre of the goal by Xavier Valdez (Dominican Republic). Assisted by Edson Álvarez with a through ball.,2025-06-16 05:09:33
13313,735318,14,45391405,18',Attempt blocked. Santiago Giménez (Mexico) left footed shot from the centre of the box is blocked. Assisted by Roberto Alvarado.,2025-06-22 04:42:38
13313,735318,15,45391406,18',Attempt missed. Santiago Giménez (Mexico) right footed shot from the right side of the box is too high.,2025-06-22 04:42:38
13313,735318,16,45391447,20',Attempt saved. Raúl Jiménez (Mexico) right footed shot from outside the box is saved in the bottom right corner by Xavier Valdez (Dominican Republic). Assisted by Jesús Gallardo.,2025-06-16 05:09:33
13313,735318,17,45391421,20',Foul by Santiago Giménez (Mexico).,2025-06-16 05:09:33
13313,735318,18,45391421,20',Pablo Rosario (Dominican Republic) wins a free kick in the defensive half.,2025-06-16 05:09:33
13313,735318,19,45391503,25',Attempt missed. Jean López (Dominican Republic) right footed shot from outside the box misses to the right. Assisted by Edarlyn Reyes.,2025-06-22 04:42:38
13313,735318,20,45391535,27',Foul by Érik Lira (Mexico).,2025-06-16 05:09:33
13313,735318,21,45391535,27',Heinz Mörschel (Dominican Republic) wins a free kick on the right wing.,2025-06-16 05:09:33
13313,735318,22,45391548,30',"Offside, Mexico. Jesús Gallardo is caught offside.",2025-06-16 05:09:33
13313,735318,23,-1,31',"Offside, Dominican Republic. Dorny Romero is caught offside.",2025-06-16 05:09:33
13313,735318,24,45391565,32',"Attempt missed. Edarlyn Reyes (Dominican Republic) left footed shot from the left side of the box is close, but misses to the left. Assisted by Jean López following a fast break.",2025-06-22 04:42:38
13313,735318,25,45391572,33',Foul by Jimmy Kaparos (Dominican Republic).,2025-06-16 05:09:33
13313,735318,26,45391572,33',Orbelín Pineda (Mexico) wins a free kick on the left wing.,2025-06-16 05:09:33
13313,735318,27,45391592,34',Foul by Jean López (Dominican Republic).,2025-06-16 05:09:33
13313,735318,28,45391592,34',Raúl Jiménez (Mexico) wins a free kick in the attacking half.,2025-06-16 05:09:33
13313,735318,29,45391604,37',"Corner,Mexico. Conceded by Edarlyn Reyes.",2025-06-16 05:09:33
13313,735318,30,45391632,38',Attempt blocked. Heinz Mörschel (Dominican Republic) right footed shot from the centre of the box is blocked. Assisted by Peter Federico.,2025-06-16 05:09:33
13313,735318,31,-1,39',"Corner,Dominican Republic. Conceded by Jesús Gallardo.",2025-06-16 05:09:33
13313,735318,32,45391650,43',"Corner,Mexico. Conceded by Edgar Pujol.",2025-06-16 05:09:33
13313,735318,33,45391655,44',"Goal! Mexico 1, Dominican Republic 0. Edson Álvarez (Mexico) header from the centre of the box to the bottom right corner. Assisted by Orbelín Pineda with a cross following a corner.",2025-06-16 05:09:33
13313,735318,34,-1,45',Fourth official has announced 1 minutes of added time.,2025-06-22 04:42:38
13313,735318,35,45391673,45'+1',Attempt saved. Dorny Romero (Dominican Republic) left footed shot from the centre of the box is saved in the centre of the goal by Luis Malagón (Mexico). Assisted by João Urbáez with a headed pass.,2025-06-16 05:09:33
13313,735318,36,45391672,45'+1',Foul by Santiago Giménez (Mexico).,2025-06-16 05:09:33
13313,735318,37,45391672,45'+1',João Urbáez (Dominican Republic) wins a free kick in the defensive half.,2025-06-16 05:09:33
13313,735318,38,-1,45'+2',"First Half ends, Mexico 1, Dominican Republic 0.",2025-06-16 05:09:33
13313,735318,39,-1,45',"Second Half begins Mexico 1, Dominican Republic 0.",2025-06-16 05:09:33
