seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13273,757636,0,-1,,Lineups are announced and players are warming up.,2025-09-01 05:11:18
13273,757636,1,-1,,First Half begins.,2025-09-01 05:11:18
13273,757636,2,45817614,2',Foul by Rodrigo De Paul (Inter Miami CF).,2025-09-01 05:11:18
13273,757636,3,45817614,2',Paul Rothrock (Seattle Sounders FC) wins a free kick in the attacking half.,2025-09-01 05:11:18
13273,757636,4,45817640,3',Attempt saved. Osaze De Rosario (Seattle Sounders FC) header from the centre of the box is saved in the bottom left corner by Óscar Ustari (Inter Miami CF). Assisted by Jackson Ragen with a cross.,2025-09-03 05:11:39
13273,757636,5,45817641,4',Foul by Jesús Ferreira (Seattle Sounders FC).,2025-09-01 05:11:18
13273,757636,6,45817641,4',Sergio Busquets (Inter Miami CF) wins a free kick in the defensive half.,2025-09-01 05:11:18
13273,757636,7,45817643,5',Attempt missed. Osaze De Rosario (Seattle Sounders FC) right footed shot from outside the box misses to the left. Assisted by Jesús Ferreira.,2025-09-03 05:11:39
13273,757636,8,45817658,8',"Corner, Seattle Sounders FC. Conceded by Maximiliano Falcón.",2025-09-01 05:11:18
13273,757636,9,45817666,9',Foul by Obed Vargas (Seattle Sounders FC).,2025-09-01 05:11:18
13273,757636,10,45817666,9',Rodrigo De Paul (Inter Miami CF) wins a free kick in the defensive half.,2025-09-01 05:11:18
13273,757636,11,45817679,10',"Corner, Seattle Sounders FC. Conceded by Óscar Ustari.",2025-09-01 05:11:18
13273,757636,12,45817694,12',"Corner, Inter Miami CF. Conceded by Obed Vargas.",2025-09-01 05:11:18
13273,757636,13,45817761,16',Foul by Osaze De Rosario (Seattle Sounders FC).,2025-09-01 05:11:18
13273,757636,14,45817761,16',Maximiliano Falcón (Inter Miami CF) wins a free kick in the defensive half.,2025-09-01 05:11:18
13273,757636,15,45817747,19',Attempt blocked. Lionel Messi (Inter Miami CF) left footed shot from outside the box is blocked. Assisted by Tadeo Allende.,2025-09-01 05:11:18
13273,757636,16,45817764,20',Attempt blocked. Rodrigo De Paul (Inter Miami CF) right footed shot from the right side of the box is blocked. Assisted by Lionel Messi.,2025-09-03 05:11:39
13273,757636,17,45817766,20',"Corner, Inter Miami CF. Conceded by Jackson Ragen.",2025-09-01 05:11:18
13273,757636,18,45817780,23',Handball by Tadeo Allende (Inter Miami CF).,2025-09-01 05:11:18
13273,757636,19,45817807,24',Foul by Jordi Alba (Inter Miami CF).,2025-09-01 05:11:18
13273,757636,20,45817807,24',Paul Rothrock (Seattle Sounders FC) wins a free kick in the attacking half.,2025-09-01 05:11:18
13273,757636,21,45817810,24',Attempt blocked. Pedro de la Vega (Seattle Sounders FC) right footed shot from outside the box is blocked. Assisted by Obed Vargas.,2025-09-01 05:11:18
13273,757636,22,45817831,25',Foul by Yannick Bright (Inter Miami CF).,2025-09-01 05:11:18
13273,757636,23,45817831,25',Obed Vargas (Seattle Sounders FC) wins a free kick in the defensive half.,2025-09-01 05:11:18
13273,757636,24,45817833,26',"Goal! Seattle Sounders FC 1, Inter Miami CF 0. Osaze De Rosario (Seattle Sounders FC) header from very close range to the bottom left corner. Assisted by Alex Roldan with a cross.",2025-09-01 05:11:18
13273,757636,25,45817855,28',Foul by Obed Vargas (Seattle Sounders FC).,2025-09-01 05:11:18
13273,757636,26,45817855,28',Lionel Messi (Inter Miami CF) wins a free kick in the attacking half.,2025-09-01 05:11:18
13273,757636,27,45818030,30',"Corner, Inter Miami CF. Conceded by Reed Baker-Whiting.",2025-09-01 05:11:18
13273,757636,28,45818050,31',Foul by Yannick Bright (Inter Miami CF).,2025-09-03 05:11:39
13273,757636,29,45818050,31',Obed Vargas (Seattle Sounders FC) wins a free kick in the defensive half.,2025-09-03 05:11:39
13273,757636,30,45818066,33',Foul by Yannick Bright (Inter Miami CF).,2025-09-03 05:11:39
13273,757636,31,45818066,33',Pedro de la Vega (Seattle Sounders FC) wins a free kick on the left wing.,2025-09-03 05:11:39
13273,757636,32,45818068,33',Attempt saved. Pedro de la Vega (Seattle Sounders FC) right footed shot from the left side of the box is saved in the bottom left corner by Óscar Ustari (Inter Miami CF). Assisted by Jesús Ferreira.,2025-09-03 05:11:39
13273,757636,33,45818089,34',Foul by Tadeo Allende (Inter Miami CF).,2025-09-03 05:11:39
13273,757636,34,45818089,34',Reed Baker-Whiting (Seattle Sounders FC) wins a free kick on the left wing.,2025-09-03 05:11:39
13273,757636,35,45818093,35',"Corner, Seattle Sounders FC. Conceded by Jordi Alba.",2025-09-03 05:11:39
13273,757636,36,45818109,38',Foul by Pedro de la Vega (Seattle Sounders FC).,2025-09-03 05:11:39
13273,757636,37,45818109,38',Rodrigo De Paul (Inter Miami CF) wins a free kick in the defensive half.,2025-09-03 05:11:39
13273,757636,38,45818137,40',Jesús Ferreira (Seattle Sounders FC) hits the left post with a right footed shot from the centre of the box. Assisted by Paul Rothrock.,2025-09-03 05:11:39
13273,757636,39,45818169,42',Foul by Cristian Roldan (Seattle Sounders FC).,2025-09-03 05:11:39
13273,757636,40,45818169,42',Yannick Bright (Inter Miami CF) wins a free kick in the attacking half.,2025-09-03 05:11:39
13273,757636,41,45818171,43',Attempt missed. Lionel Messi (Inter Miami CF) left footed shot from outside the box is high and wide to the left. Assisted by Rodrigo De Paul following a set piece situation.,2025-09-03 05:11:39
13273,757636,42,45818186,44',"Corner, Inter Miami CF. Conceded by Yeimar Gómez.",2025-09-03 05:11:39
13273,757636,43,-1,45'+1',Fourth official has announced 1 minutes of added time.,2025-09-03 05:11:39
13273,757636,44,-1,45'+2',"First Half ends, Seattle Sounders FC 1, Inter Miami CF 0.",2025-09-03 05:11:39
13273,757636,45,-1,45',"Second Half begins Seattle Sounders FC 1, Inter Miami CF 0.",2025-09-03 05:11:39
13273,757636,46,45818362,46',Foul by Paul Rothrock (Seattle Sounders FC).,2025-09-03 05:11:39
13273,757636,47,45818362,46',Sergio Busquets (Inter Miami CF) wins a free kick in the defensive half.,2025-09-03 05:11:39
13273,757636,48,45818376,48',"Corner, Inter Miami CF. Conceded by Cristian Roldan.",2025-09-03 05:11:39
13273,757636,49,45818385,49',Attempt missed. Luis Suárez (Inter Miami CF) left footed shot from the right side of the box is high and wide to the left. Assisted by Sergio Busquets following a corner.,2025-09-03 05:11:39
13273,757636,50,45818395,50',Attempt missed. Lionel Messi (Inter Miami CF) left footed shot from the centre of the box is high and wide to the left. Assisted by Luis Suárez with a through ball.,2025-09-03 05:11:39
13273,757636,51,45818406,52',Attempt missed. Jesús Ferreira (Seattle Sounders FC) header from the centre of the box is too high. Assisted by Pedro de la Vega with a cross.,2025-09-03 05:11:39
