seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13450,737966,0,45482323,24',Jeppe Gronning (Viborg FF) Penalty - Scored at 24',2025-07-19 04:39:42
13450,737966,1,45482365,37',Elias Achouri (F.C. København) Goal at 37',2025-07-19 04:39:42
13450,737966,2,45482401,45',Thomas Jørgensen (Viborg FF) Yellow Card at 45',2025-07-19 04:39:42
13450,737966,3,45482407,45'+1',Youssoufa Moukoko (F.C. København) Yellow Card at 46',2025-07-19 04:39:42
13450,737966,4,45482428,51',Mohamed Elyounoussi (F.C. København) Goal at 51',2025-07-19 04:39:42
13450,737966,5,45482439,58',Jakob Nielsen (Viborg FF) Substitution at 58',2025-07-19 04:39:42
13450,737966,6,45482440,65',Andreas Cornelius (F.C. København) Substitution at 65',2025-07-19 04:39:42
13450,737966,7,45482441,69',Charly Horneman (Viborg FF) Substitution at 69',2025-07-19 04:39:42
13450,737966,8,45482442,69',Serginho (Viborg FF) Substitution at 69',2025-07-19 04:39:42
13450,737966,9,45482443,73',Mads Søndergaard (Viborg FF) Goal at 73',2025-07-19 04:39:42
13450,737966,10,45482444,74',Dorian Hanza (Viborg FF) Substitution at 74',2025-07-19 04:39:42
13450,737966,11,45482445,75',Hjalte Bidstrup (Viborg FF) Substitution at 75',2025-07-19 04:39:42
13450,737966,12,45482446,75',Viktor Claesson (F.C. København) Substitution at 75',2025-07-19 04:39:42
13450,737966,13,45482447,75',Magnus Mattsson (F.C. København) Substitution at 75',2025-07-19 04:39:42
13450,737966,14,45482454,78',Magnus Mattsson (F.C. København) Penalty - Scored at 78',2025-07-19 04:39:42
13450,737966,15,45482461,84',Birger Meling (F.C. København) Substitution at 84',2025-07-19 04:39:42
13450,737966,16,45482463,84',Lukas Lerager (F.C. København) Substitution at 84',2025-07-19 04:39:42
13450,737967,0,45493887,1',Gustav Marcussen (FC Fredericia) Goal at 1',2025-07-21 04:39:32
13450,737967,1,45493888,4',Prince Amoako (FC Nordsjælland) Goal at 4',2025-07-21 04:39:32
13450,737967,2,45493890,15',Sindre Walle Egeli (FC Nordsjælland) Goal at 15',2025-07-21 04:39:32
13450,737967,3,45493891,36',Peter Ankersen (FC Nordsjælland) Goal at 36',2025-07-21 04:39:32
13450,737967,4,45493896,45',Patrick Egelund (FC Fredericia) Substitution at 45',2025-07-21 04:39:32
13450,737967,5,45493897,45',Jakob Jessen (FC Fredericia) Substitution at 45',2025-07-21 04:39:32
13450,737967,6,45498634,47',Emilio Simonsen (FC Fredericia) Yellow Card at 47',2025-07-22 04:40:14
