seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13180,729467,0,44617212,5',Marco Montaño (El Nacional) Yellow Card at 5',2025-02-02 14:52:51
13180,729467,1,44617237,11',Bryan Ramirez (Liga de Quito) Yellow Card at 11',2025-02-02 14:52:51
13180,729467,2,44617299,18',Rommel Cabezas (El Nacional) Red Card at 18',2025-02-02 14:52:51
13180,729467,3,44617347,22',José Flor (El Nacional) Substitution at 22',2025-02-02 14:52:51
13180,729467,4,44617361,23',Leonel Quiñonez (Liga de Quito) Yellow Card at 23',2025-02-02 14:52:51
13180,729467,5,44617410,28',Lisandro Alzugaray (Liga de Quito) Substitution at 28',2025-02-02 14:52:51
13180,729467,6,44617585,44',Alexander Domínguez (Liga de Quito) Yellow Card at 44',2025-02-02 14:52:51
13180,729467,7,44617616,45'+1',David Cabezas (El Nacional) Yellow Card at 46',2025-02-02 14:52:51
13180,729467,8,44617863,45',Michael Estrada (Liga de Quito) Substitution at 45',2025-02-02 14:52:51
13180,729467,9,44618165,71',Alexander Alvarado (Liga de Quito) Substitution at 71',2025-02-02 14:52:51
13180,729467,10,44618281,78',Marcos Olmedo (El Nacional) Substitution at 78',2025-02-02 14:52:51
13180,729467,11,44618282,78',Edison Caicedo (El Nacional) Substitution at 78',2025-02-02 14:52:51
13180,729467,12,44618283,78',Adrián Cela (El Nacional) Substitution at 78',2025-02-02 14:52:51
13180,729467,13,44618352,89',Fidel Martínez (El Nacional) Substitution at 89',2025-02-02 14:52:51
13180,729467,14,44618353,89',Ángel Ledesma (El Nacional) Substitution at 89',2025-02-02 14:52:51
13180,729467,15,44618389,90'+4',Edison Caicedo (El Nacional) Red Card at 94',2025-02-02 14:52:51
13180,729467,16,44618392,90'+6',Freddy Mina (Liga de Quito) Substitution at 96',2025-02-02 14:52:51
