seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13537,745704,0,45558173,5',Ben Woodburn (Salford City) Penalty - Saved at 5',2025-08-03 04:42:14
13537,745704,1,45558189,8',Kadeem Harris (Salford City) Own Goal at 8',2025-08-03 04:42:14
13537,745704,2,45558205,16',Kadeem Harris (Salford City) Goal at 16',2025-08-03 04:42:14
13537,745704,3,45558383,41',Conor Thomas (Crewe Alexandra) Goal at 41',2025-08-03 04:42:14
13537,745704,4,45558495,45'+3',Jorge Grant (Salford City) Yellow Card at 48',2025-08-03 04:42:14
13537,745704,5,45558512,45'+4',Conor Thomas (Crewe Alexandra) Goal at 49',2025-08-03 04:42:14
13537,745704,6,45558718,45',Jay Bird (Salford City) Substitution at 45',2025-08-03 04:42:14
13537,745704,7,45559048,58',Loick Ayina (Salford City) Substitution at 58',2025-08-03 04:42:14
13537,745704,8,45559049,59',Kelly N'Mai (Salford City) Substitution at 59',2025-08-03 04:42:14
13537,745704,9,45559228,66',Tommi O'Reilly (Crewe Alexandra) Yellow Card at 66',2025-08-03 04:42:14
13537,745704,10,45559300,69',Kallum Cesay (Salford City) Yellow Card at 69',2025-08-03 04:42:14
13537,745704,11,45559301,70',Kyrell Malcolm (Salford City) Substitution at 70',2025-08-03 04:42:14
13537,745704,12,45559561,80',Emre Tezgel (Crewe Alexandra) Substitution at 80',2025-08-03 04:42:14
13537,745704,13,45559592,81',Loick Ayina (Salford City) Yellow Card at 81',2025-08-03 04:42:14
13537,745704,14,45559667,84',Louis Moult (Crewe Alexandra) Substitution at 84',2025-08-03 04:42:14
13537,745704,15,45559719,85',Ruben Butt (Salford City) Substitution at 85',2025-08-03 04:42:14
13537,745704,16,45559823,90'+1',Jack Powell (Crewe Alexandra) Substitution at 91',2025-08-03 04:42:14
13537,745704,17,45559841,90'+1',Charlie Finney (Crewe Alexandra) Substitution at 91',2025-08-03 04:42:14
13537,745705,0,45558529,45'+6',Sam Clucas (Shrewsbury Town) Yellow Card at 51',2025-08-03 04:42:14
13537,745705,1,45558674,45'+17',Ayodeji Elerewe (Bromley) Yellow Card at 62',2025-08-03 04:42:14
13537,745705,2,45559085,48',William Boyle (Shrewsbury Town) Yellow Card at 48',2025-08-03 04:42:14
13537,745705,3,45559319,57',Tom Anderson (Shrewsbury Town) Yellow Card at 57',2025-08-03 04:42:14
13537,745705,4,45559498,65',Ben Krauhaus (Bromley) Substitution at 65',2025-08-03 04:42:14
13537,745705,5,45559614,67',Taylor Perry (Shrewsbury Town) Substitution at 67',2025-08-03 04:42:14
13537,745705,6,45559723,73',Idris Odutayo (Bromley) Substitution at 73',2025-08-03 04:42:14
13537,745705,7,45559724,73',Nicke Kabamba (Bromley) Substitution at 73',2025-08-03 04:42:14
13537,745705,8,45559731,74',George Lloyd (Shrewsbury Town) Substitution at 74',2025-08-03 04:42:14
13537,745705,9,45559916,83',Jude Arthurs (Bromley) Substitution at 83',2025-08-03 04:42:14
13537,745705,10,45559937,84',Thomas Sang (Shrewsbury Town) Substitution at 84',2025-08-03 04:42:14
13537,745706,0,45558541,45'+6',Shawn Mccoulsky (Harrogate Town) Substitution at 51',2025-08-04 04:47:36
13537,745706,1,45559053,54',Shawn Mccoulsky (Harrogate Town) Yellow Card at 54',2025-08-04 04:47:36
13537,745706,2,45559278,63',Stephen Duke-McKenna (Harrogate Town) Goal at 63',2025-08-04 04:47:36
13537,745706,3,45559367,68',Ollie Dewsbury (Bristol Rovers) Substitution at 68',2025-08-04 04:47:36
13537,745706,4,45559416,68',Ellis Harrison (Bristol Rovers) Substitution at 68',2025-08-04 04:47:36
13537,745706,5,45559417,69',Ryan Howley (Bristol Rovers) Substitution at 69',2025-08-04 04:47:36
13537,745706,6,45559418,69',Isaac Hutchinson (Bristol Rovers) Substitution at 69',2025-08-04 04:47:36
13537,745706,7,45559479,72',Thomas Hill (Harrogate Town) Substitution at 72',2025-08-04 04:47:36
13537,745706,8,45559630,77',Anthony O'Connor (Harrogate Town) Yellow Card at 77',2025-08-04 04:47:36
13537,745706,9,45559757,83',Bryant Bilongo (Bristol Rovers) Substitution at 83',2025-08-04 04:47:36
13537,745706,10,45559809,84',Thomas Hill (Harrogate Town) Yellow Card at 84',2025-08-04 04:47:36
13537,745706,11,45559920,90'+1',Bryant Bilongo (Bristol Rovers) Yellow Card at 91',2025-08-04 04:47:36
13537,745707,0,45558234,22',Will Davies (Fleetwood Town) Goal at 22',2025-08-03 04:42:14
13537,745707,1,45558747,50',Elliott Bonds (Fleetwood Town) Goal at 50',2025-08-03 04:42:14
13537,745707,2,45558782,51',Scott High (Barnet) Substitution at 51',2025-08-03 04:42:14
13537,745707,3,45558955,59',Callum Stead (Barnet) Substitution at 59',2025-08-03 04:42:14
13537,745707,4,45558956,59',Dennis Adeniran (Barnet) Substitution at 59',2025-08-03 04:42:14
13537,745707,5,45559253,71',James Norwood (Fleetwood Town) Substitution at 71',2025-08-03 04:42:14
13537,745707,6,45559394,76',Matthew Virtue-Thick (Fleetwood Town) Substitution at 76',2025-08-03 04:42:14
13537,745707,7,45559395,76',Ched Evans (Fleetwood Town) Substitution at 76',2025-08-03 04:42:14
13537,745707,8,45559396,77',Oliver Hawkins (Barnet) Substitution at 77',2025-08-03 04:42:14
13537,745707,9,45559430,77',Kane Smith (Barnet) Substitution at 77',2025-08-03 04:42:14
13537,745707,10,45559759,90'+1',George Morrison (Fleetwood Town) Substitution at 91',2025-08-03 04:42:14
13537,745708,0,45558225,14',Joseph Gbode (Gillingham) Yellow Card at 14',2025-08-03 04:42:14
