seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13705,758759,0,-1,,Lineups are announced and players are warming up.,2025-09-24 05:13:55
13705,758759,1,-1,,First Half begins.,2025-09-24 05:13:55
13705,758759,2,45975226,2',Fiston Mayele (Pyramids FC) wins a free kick in the attacking half.,2025-09-27 05:19:09
13705,758759,3,45975226,2',Foul by Valentin Atangana (Al-Ahli).,2025-09-27 05:19:09
13705,758759,4,45975229,5',Handball by Mohamed Hamdy (Pyramids FC).,2025-09-27 05:19:09
13705,758759,5,-1,6',Delay in match because of an injury Mohammed Abdulrahman (Al-Ahli).,2025-09-24 05:13:55
13705,758759,6,-1,7',Delay over. They are ready to continue.,2025-09-24 05:13:55
13705,758759,7,45975234,9',Foul by Ahmed Atef (Pyramids FC).,2025-09-27 05:19:09
13705,758759,8,45975234,9',Merih Demiral (Al-Ahli) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,9,45975237,10',Blati Touré (Pyramids FC) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,10,45975237,10',Foul by Enzo Millot (Al-Ahli).,2025-09-27 05:19:09
13705,758759,11,45975239,11',Ahmed Atef (Pyramids FC) wins a free kick in the attacking half.,2025-09-27 05:19:09
13705,758759,12,45975239,11',Foul by Enzo Millot (Al-Ahli).,2025-09-27 05:19:09
13705,758759,13,45975243,12',Attempt saved. Ahmed Atef (Pyramids FC) right footed shot from the centre of the box is saved in the centre of the goal by Édouard Mendy (Al-Ahli).,2025-09-27 05:19:09
13705,758759,14,45975245,12',Attempt saved. Fiston Mayele (Pyramids FC) right footed shot from the right side of the six yard box is saved in the centre of the goal by Édouard Mendy (Al-Ahli).,2025-09-27 05:19:09
13705,758759,15,45975248,13',Foul by Mahmoud Zalaka (Pyramids FC).,2025-09-27 05:19:09
13705,758759,16,45975248,13',Édouard Mendy (Al-Ahli) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,17,45957753,13',Mahmoud Zalaka (Pyramids FC) is shown the yellow card for a bad foul.,2025-09-25 05:17:44
13705,758759,18,-1,13',Delay in match because of an injury Édouard Mendy (Al-Ahli).,2025-09-24 05:13:55
13705,758759,19,-1,14',Delay over. They are ready to continue.,2025-09-24 05:13:55
13705,758759,20,45975252,16',Foul by Fiston Mayele (Pyramids FC).,2025-09-27 05:19:09
13705,758759,21,45975252,16',Valentin Atangana (Al-Ahli) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,22,45975255,18',Foul by Blati Touré (Pyramids FC).,2025-09-27 05:19:09
13705,758759,23,45975255,18',Valentin Atangana (Al-Ahli) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,24,-1,19',"Corner, Al-Ahli. Conceded by Ahmed Samy.",2025-09-24 05:13:55
13705,758759,25,45975259,19',Ahmed Samy (Pyramids FC) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,26,45975259,19',Foul by Ivan Toney (Al-Ahli).,2025-09-27 05:19:09
13705,758759,27,45957822,21',"Goal! Al-Ahli 0, Pyramids FC 1. Fiston Mayele (Pyramids FC) right footed shot from the centre of the box to the centre of the goal. Assisted by Blati Touré following a fast break.",2025-09-24 05:13:55
13705,758759,28,45975263,24',Enzo Millot (Al-Ahli) wins a free kick in the attacking half.,2025-09-27 05:19:09
13705,758759,29,45975263,24',Foul by Karim Hafez (Pyramids FC).,2025-09-27 05:19:09
13705,758759,30,-1,25',"Corner, Al-Ahli. Conceded by Mohamed Hamdy.",2025-09-24 05:13:55
13705,758759,31,45975267,26',Foul by Mohamed Chibi (Pyramids FC).,2025-09-27 05:19:09
13705,758759,32,45975267,26',Galeno (Al-Ahli) wins a free kick on the left wing.,2025-09-27 05:19:09
13705,758759,33,45975269,26',Ahmed Samy (Pyramids FC) wins a free kick in the defensive half.,2025-09-27 05:19:09
13705,758759,34,45975269,26',Foul by Merih Demiral (Al-Ahli).,2025-09-27 05:19:09
13705,758759,35,-1,28',Delay in match (Al-Ahli).,2025-09-24 05:13:55
13705,758759,36,-1,30',Delay over. They are ready to continue.,2025-09-24 05:13:55
13705,758759,37,45957944,30',"Substitution, Al-Ahli. Saleh Abu Al Shamat replaces Galeno because of an injury.",2025-09-24 05:13:55
13705,758759,38,45975273,31',Fiston Mayele (Pyramids FC) wins a free kick in the attacking half.,2025-09-27 05:19:09
13705,758759,39,45975273,31',Foul by Valentin Atangana (Al-Ahli).,2025-09-27 05:19:09
13705,758759,40,45975275,32',Mohamed Chibi (Pyramids FC) wins a free kick on the right wing.,2025-09-27 05:19:09
13705,758759,41,45975275,32',Saleh Abu Al Shamat (Al-Ahli).,2025-09-27 05:19:09
13705,758759,42,-1,32',"Offside, Pyramids FC. Ahmed Samy is caught offside.",2025-09-24 05:13:55
13705,758759,43,45975278,33',Attempt saved. Enzo Millot (Al-Ahli) left footed shot from the centre of the box is saved in the centre of the goal by Ahmed El Shenawy (Pyramids FC).,2025-09-27 05:19:09
13705,758759,44,45975279,33',"Corner, Al-Ahli. Conceded by Ahmed El Shenawy.",2025-09-27 05:19:09
13705,758759,45,45975283,36',Attempt saved. Fiston Mayele (Pyramids FC) header from the centre of the box is saved in the bottom right corner by Édouard Mendy (Al-Ahli). Assisted by Mohamed Chibi with a cross.,2025-09-27 05:19:09
13705,758759,46,45975285,37',Foul by Blati Touré (Pyramids FC).,2025-09-27 05:19:09
13705,758759,47,45975285,37',Riyad Mahrez (Al-Ahli) wins a free kick on the right wing.,2025-09-27 05:19:09
13705,758759,48,-1,38',"Corner, Al-Ahli. Conceded by Mohamed Chibi.",2025-09-24 05:13:55
13705,758759,49,45958026,42',Fiston Mayele (Pyramids FC) hits the right post with a right footed shot from the right side of the six yard box.,2025-09-24 05:13:55
13705,758759,50,45975291,43',Penalty Al-Ahli. Enzo Millot draws a foul in the penalty area.,2025-09-27 05:19:09
13705,758759,51,45975291,43',Penalty conceded by Osama Galal (Pyramids FC) after a foul in the penalty area.,2025-09-27 05:19:09
13705,758759,52,45958056,45',"Goal! Al-Ahli 1, Pyramids FC 1. Ivan Toney (Al-Ahli) converts the penalty with a right footed shot to the bottom right corner.",2025-09-24 05:13:55
13705,758759,53,-1,45'+1',Fourth official has announced 6 minutes of added time.,2025-09-24 05:13:55
13705,758759,54,45975292,45'+1',Fiston Mayele (Pyramids FC) wins a free kick on the left wing.,2025-09-27 05:19:09
13705,758759,55,45975292,45'+1',Foul by Merih Demiral (Al-Ahli).,2025-09-27 05:19:09
13705,758759,56,-1,45'+4',Delay in match because of an injury Enzo Millot (Al-Ahli).,2025-09-24 05:13:55
13705,758759,57,-1,45'+6',Delay over. They are ready to continue.,2025-09-24 05:13:55
13705,758759,58,45975294,45'+7',Foul by Ahmed Atef (Pyramids FC).,2025-09-27 05:19:09
