seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13381,761287,0,46415783,15',Rafael Quintas (Portugal U17) Penalty - Scored at 15',2025-11-19 06:07:03
13381,761287,1,46415786,35',José Navarro (Mexico U17) Red Card at 35',2025-11-19 06:07:03
13381,761287,2,46415800,45',Kenneth Martínez (Mexico U17) Substitution at 45',2025-11-19 06:07:03
13381,761287,3,46415803,46',Jhonnatan Grajales (Mexico U17) Yellow Card at 46',2025-11-19 06:07:03
13381,761287,4,46415807,48',Anísio Cabral (Portugal U17) Goal at 48',2025-11-19 06:07:03
13381,761287,5,46415808,49',Máximo Reyes (Mexico U17) Substitution at 49',2025-11-19 06:07:03
13381,761287,6,46415820,59',Lucca Vuoso (Mexico U17) Substitution at 59',2025-11-19 06:07:03
13381,761287,7,46415823,63',Miguel Figueiredo (Portugal U17) Substitution at 63',2025-11-19 06:07:03
13381,761287,8,46415824,63',Mateus Mide (Portugal U17) Substitution at 63',2025-11-19 06:07:03
13381,761287,9,46415825,63',Lucca Vuoso (Mexico U17) Yellow Card at 63',2025-11-19 06:07:03
13381,761287,10,46415827,65',Miguel Figueiredo (Portugal U17) Yellow Card at 65',2025-11-19 06:07:03
13381,761287,11,46415829,68',João Aragão (Portugal U17) Substitution at 68',2025-11-19 06:07:03
13381,761287,12,46415830,69',Yoan Pereira (Portugal U17) Substitution at 69',2025-11-19 06:07:03
13381,761287,13,46415836,76',Santi Verdi (Portugal U17) Substitution at 76',2025-11-19 06:07:03
13381,761287,14,46415837,79',Martim Chelmik (Portugal U17) Yellow Card at 79',2025-11-19 06:07:03
13381,761287,15,46415838,81',Zeega (Portugal U17) Goal at 81',2025-11-20 06:05:31
13381,761287,16,46415839,83',Miguel Figueiredo (Portugal U17) Goal at 83',2025-11-19 06:07:03
13381,761287,17,46415840,85',Yoan Pereira (Portugal U17) Goal at 85',2025-11-19 06:07:03
13381,761287,18,46415841,88',Santiago López (Mexico U17) Red Card at 88',2025-11-19 06:07:03
13381,761287,19,46415842,90',Abdon Turrubiates (Mexico U17) Substitution at 90',2025-11-19 06:07:03
13381,761288,0,46415891,45',Sandro Wyss (Switzerland U17) Substitution at 45',2025-11-19 06:07:03
13381,761288,1,46415894,57',Adrien Llukes (Switzerland U17) Goal at 57',2025-11-19 06:07:03
13381,761288,2,46415896,60',Kian Mcmahon-Brown (Republic of Ireland U17) Substitution at 60',2025-11-19 06:07:03
13381,761288,3,46415904,69',Sandro Wyss (Switzerland U17) Goal at 69',2025-11-20 06:05:31
13381,761288,4,46415906,71',Goodness Ogbonna (Republic of Ireland U17) Substitution at 71',2025-11-19 06:07:03
13381,761288,5,46415922,78',Victor Ozhianvuna (Republic of Ireland U17) Yellow Card at 78',2025-11-19 06:07:03
13381,761288,6,46415925,81',Brody Lee (Republic of Ireland U17) Substitution at 81',2025-11-19 06:07:03
13381,761288,7,46415926,82',Vincent Leonard (Republic of Ireland U17) Goal at 82',2025-11-19 06:07:03
13381,761288,8,46415930,86',Mladen Mijajlovic (Switzerland U17) Goal at 86',2025-11-19 06:07:03
13381,761288,9,46415933,88',Jérémie Barererwa (Switzerland U17) Substitution at 88',2025-11-19 06:07:03
13381,761288,10,46415934,89',Dario Kaufmann (Switzerland U17) Substitution at 89',2025-11-19 06:07:03
13381,761288,11,46416083,90'+5',Miran Sinani (Switzerland U17) Substitution at 95',2025-11-19 06:07:03
