seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13546,746412,0,-1,,Lineups are announced and players are warming up.,2025-08-17 21:41:16
13546,746412,1,-1,,First Half begins.,2025-08-17 21:41:16
13546,746412,2,45686652,3',Foul by Lohann Doucet (Paris FC).,2025-08-17 21:41:16
13546,746412,3,45686652,3',Jordan Lefort (Angers) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,4,45686735,4',Attempt saved. Jean-Philippe Krasso (Paris FC) left footed shot from outside the box is saved in the bottom left corner by Hervé Koffi (Angers).,2025-08-18 04:55:14
13546,746412,5,45686680,4',"Corner, Paris FC. Conceded by Hervé Koffi.",2025-08-27 05:02:53
13546,746412,6,45686736,5',Foul by Lohann Doucet (Paris FC).,2025-08-17 21:41:16
13546,746412,7,45686736,5',Haris Belkebla (Angers) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,8,45686803,7',Attempt missed. Estéban Lepaul (Angers) right footed shot from the centre of the box misses to the left. Assisted by Carlens Arcus.,2025-08-17 21:41:16
13546,746412,9,45686805,7',Attempt blocked. Sidiki Cherif (Angers) left footed shot from the left side of the six yard box is blocked. Assisted by Estéban Lepaul.,2025-08-17 21:41:16
13546,746412,10,45686807,7',"Corner, Angers. Conceded by Samir Chergui.",2025-08-27 05:02:53
13546,746412,11,45686835,9',"Goal! Angers 1, Paris FC 0. Estéban Lepaul (Angers) right footed shot from the centre of the box to the centre of the goal. Assisted by Jordan Lefort with a through ball.",2025-08-17 21:41:16
13546,746412,12,45686871,10',Foul by Lohann Doucet (Paris FC).,2025-08-17 21:41:16
13546,746412,13,45686871,10',Sidiki Cherif (Angers) wins a free kick in the attacking half.,2025-08-17 21:41:16
13546,746412,14,45686872,10',Lohann Doucet (Paris FC) is shown the yellow card for a bad foul.,2025-08-17 21:41:16
13546,746412,15,45686938,12',Attempt blocked. Lilian Raolisoa (Angers) right footed shot from outside the box is blocked.,2025-08-17 21:41:16
13546,746412,16,45686991,12',Foul by Louis Mouton (Angers).,2025-08-18 04:55:14
13546,746412,17,45686991,12',Ilan Kebbal (Paris FC) wins a free kick in the defensive half.,2025-08-18 04:55:14
13546,746412,18,45686993,13',Carlens Arcus (Angers) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,19,45686993,13',Foul by Pierre-Yves Hamel (Paris FC).,2025-08-17 21:41:16
13546,746412,20,45687009,14',Attempt saved. Sidiki Cherif (Angers) right footed shot from the left side of the box is saved in the centre of the goal by Obed Nkambadio (Paris FC). Assisted by Florent Hanin.,2025-08-18 04:55:14
13546,746412,21,45687011,14',"Corner, Angers. Conceded by Obed Nkambadio.",2025-08-27 05:02:53
13546,746412,22,45687096,19',Foul by Sidiki Cherif (Angers).,2025-08-17 21:41:16
13546,746412,23,45687096,19',Moustapha Mbow (Paris FC) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,24,-1,19',Delay in match because of an injury Sidiki Cherif (Angers).,2025-08-17 21:41:16
13546,746412,25,-1,20',Delay over. They are ready to continue.,2025-08-17 21:41:16
13546,746412,26,45687175,21',Foul by Lilian Raolisoa (Angers).,2025-08-17 21:41:16
13546,746412,27,45687175,21',Nhoa Sangui (Paris FC) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,28,45687215,22',Attempt saved. Ilan Kebbal (Paris FC) left footed shot from the right side of the box is saved in the top left corner by Hervé Koffi (Angers). Assisted by Lohann Doucet.,2025-08-17 21:41:16
13546,746412,29,45687217,22',"Corner, Paris FC. Conceded by Hervé Koffi.",2025-08-27 05:02:53
13546,746412,30,45687243,23',Attempt missed. Moses Simon (Paris FC) left footed shot from outside the box misses to the left. Assisted by Lohann Doucet.,2025-08-17 21:41:16
13546,746412,31,-1,25',Delay in match (Paris FC).,2025-08-17 21:41:16
13546,746412,32,-1,26',Delay over. They are ready to continue.,2025-08-17 21:41:16
13546,746412,33,45687483,28',"Corner, Angers. Conceded by Samir Chergui.",2025-08-27 05:02:53
13546,746412,34,45687547,29',Foul by Haris Belkebla (Angers).,2025-08-18 04:55:14
13546,746412,35,45687547,29',Maxime Lopez (Paris FC) wins a free kick in the attacking half.,2025-08-18 04:55:14
13546,746412,36,45687520,30',Attempt missed. Lohann Doucet (Paris FC) left footed shot from outside the box is high and wide to the left. Assisted by Ilan Kebbal following a set piece situation.,2025-08-18 04:55:14
13546,746412,37,45687583,33',Handball by Carlens Arcus (Angers).,2025-08-27 05:02:53
13546,746412,38,45687622,34',"Corner, Paris FC. Conceded by Florent Hanin.",2025-08-27 05:02:53
13546,746412,39,45687625,34',Attempt blocked. Moses Simon (Paris FC) right footed shot from outside the box is blocked.,2025-08-18 04:55:14
13546,746412,40,45687663,36',Foul by Pierre-Yves Hamel (Paris FC).,2025-08-17 21:41:16
13546,746412,41,45687663,36',Yassin Belkhdim (Angers) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,42,45687673,38',Attempt missed. Louis Mouton (Angers) left footed shot from outside the box is high and wide to the left.,2025-08-18 04:55:14
13546,746412,43,45687695,39',Foul by Haris Belkebla (Angers).,2025-08-17 21:41:16
13546,746412,44,45687695,39',Maxime Lopez (Paris FC) wins a free kick in the defensive half.,2025-08-17 21:41:16
13546,746412,45,45687716,40',Foul by Yassin Belkhdim (Angers).,2025-08-17 21:41:16
13546,746412,46,45687716,40',Nhoa Sangui (Paris FC) wins a free kick on the left wing.,2025-08-17 21:41:16
13546,746412,47,45687697,40',Yassin Belkhdim (Angers) is shown the yellow card for a bad foul.,2025-08-18 04:55:14
13546,746412,48,-1,45',Fourth official has announced 4 minutes of added time.,2025-08-17 21:41:16
