seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13623,752939,0,45836075,11',Chancelle Effa (Le Havre AC) Goal at 11',2025-09-07 05:23:37
13623,752939,1,45836092,13',Inès Konan (Strasbourg) Goal at 13',2025-09-07 05:23:37
13623,752939,2,45836104,14',Laëtitia Philippe (Le Havre AC) Yellow Card at 14',2025-09-07 05:23:37
13623,752939,3,45836130,16',Laurine Hannequin (Strasbourg) Penalty - Saved at 16',2025-09-07 05:23:37
13623,752939,4,45836165,20',Mama Diop (Strasbourg) Goal at 20',2025-09-07 05:23:37
13623,752939,5,45836246,24',Ikram Adjabi (Le Havre AC) Yellow Card at 24',2025-09-07 05:23:37
13623,752939,6,45836502,45',Zoe Stievenart (Le Havre AC) Goal at 45',2025-09-07 05:23:37
13623,752939,7,45836510,45'+2',Lou Tsé (Le Havre AC) Yellow Card at 47',2025-09-07 05:23:37
13623,752939,8,45836644,60',Mélinda Mendy (Le Havre AC) Substitution at 60',2025-09-07 05:23:37
13623,752939,9,45836645,60',Mégane Hoeltzel (Strasbourg) Substitution at 60',2025-09-07 05:23:37
13623,752939,10,45836699,75',Ananée Yeboah (Strasbourg) Substitution at 75',2025-09-07 05:23:37
13623,752939,11,45836707,79',Jade Nassi (Le Havre AC) Substitution at 79',2025-09-07 05:23:37
13623,752939,12,45836738,85',Marième Babou (Strasbourg) Substitution at 85',2025-09-07 05:23:37
13623,752939,13,45836742,86',Thaïs Gallais (Le Havre AC) Substitution at 86',2025-09-07 05:23:37
13623,752939,14,45836743,86',Sarah Kassi (Le Havre AC) Substitution at 86',2025-09-07 05:23:37
13623,752940,0,45836110,13',Kethna Louis (Montpellier) Yellow Card at 13',2025-09-07 05:23:37
13623,752940,1,45836111,14',Aïssata Traoré (FC Fleury 91) Penalty - Scored at 14',2025-09-07 05:23:37
13623,752940,2,45836226,23',Agathe Felden (Montpellier) Yellow Card at 23',2025-09-07 05:23:37
13623,752940,3,45836304,30',Cyrielle Blanc (Montpellier) Yellow Card at 30',2025-09-07 05:23:37
13623,752940,4,45836636,58',Soufiya Ngueleu (Montpellier) Goal at 58',2025-09-07 05:23:37
13623,752940,5,45836669,68',Ewelina Kamczyk (FC Fleury 91) Substitution at 68',2025-09-07 05:23:37
13623,752940,6,45836695,75',Elisa Rambaud (Montpellier) Substitution at 75',2025-09-07 05:23:37
13623,752940,7,45836719,82',Celia Chabod (Montpellier) Substitution at 82',2025-09-07 05:23:37
13623,752940,8,45836733,85',Cindy Caputo (FC Fleury 91) Substitution at 85',2025-09-07 05:23:37
13623,752940,9,45836734,85',Aurelie Claire (FC Fleury 91) Substitution at 85',2025-09-07 05:23:37
13623,752940,10,45836752,89',Monique Ngock (FC Fleury 91) Yellow Card at 89',2025-09-07 05:23:37
13623,752940,11,45836753,90'+1',Aïssata Traoré (FC Fleury 91) Goal at 91',2025-09-07 05:23:37
13623,752940,12,45836754,90'+1',Aïssata Traoré (FC Fleury 91) Yellow Card at 91',2025-09-07 05:23:37
13623,752941,0,45841697,32',Ada Hegerberg (OL Lyonnes) Goal at 32',2025-09-08 05:11:45
