seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13419,736457,0,45670510,18',Harry Kane (Bayern Munich) Goal at 18',2025-08-17 04:58:39
13419,736457,1,45670828,35',Dayot Upamecano (Bayern Munich) Yellow Card at 35',2025-08-17 04:58:39
13419,736457,2,45671041,44',Maximilian Mittelstädt (VfB Stuttgart) Yellow Card at 44',2025-08-17 04:58:39
13419,736457,3,45671042,45',Michael Olise (Bayern Munich) Yellow Card at 45',2025-08-17 04:58:39
13419,736457,4,45671906,57',Harry Kane (Bayern Munich) Yellow Card at 57',2025-08-17 04:58:39
13419,736457,5,45672271,71',Ermedin Demirovic (VfB Stuttgart) Substitution at 71',2025-08-17 04:58:39
13419,736457,6,45672291,71',Ramon Hendriks (VfB Stuttgart) Substitution at 71',2025-08-17 04:58:39
13419,736457,7,45672292,72',Sacha Boey (Bayern Munich) Substitution at 72',2025-08-17 04:58:39
13419,736457,8,45672398,77',Luis Díaz (Bayern Munich) Goal at 77',2025-08-17 04:58:39
13419,736457,9,45672511,80',Kim Min-Jae (Bayern Munich) Substitution at 80',2025-08-17 04:58:39
13419,736457,10,45672512,80',Raphaël Guerreiro (Bayern Munich) Substitution at 80',2025-08-17 04:58:39
13419,736457,11,45672513,81',Lorenz Assignon (VfB Stuttgart) Substitution at 81',2025-08-17 04:58:39
13419,736457,12,45672514,81',Nikolas Nartey (VfB Stuttgart) Substitution at 81',2025-08-17 04:58:39
13419,736457,13,45672663,87',Chema Andrés (VfB Stuttgart) Substitution at 87',2025-08-17 04:58:39
13419,736457,14,45672817,90'+3',Tom Bischof (Bayern Munich) Substitution at 93',2025-08-17 04:58:39
13419,736457,15,45672840,90'+3',Lennart Karl (Bayern Munich) Substitution at 93',2025-08-17 04:58:39
13419,736457,16,45672841,90'+3',Jamie Leweling (VfB Stuttgart) Goal at 93',2025-08-17 04:58:39
