seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13447,736784,0,-1,,Lineups are announced and players are warming up.,2025-08-24 04:58:03
13447,736784,1,45734195,,First Half begins.,2025-08-24 04:58:03
13447,736784,2,45734212,1',Attempt missed. Kevin De Bruyne (Napoli) right footed shot from the centre of the box is too high.,2025-08-24 04:58:03
13447,736784,3,45734225,1',Foul by Josh Doig (Sassuolo).,2025-08-24 04:58:03
13447,736784,4,45734225,1',Matteo Politano (Napoli) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,5,45734257,4',Andrea Pinamonti (Sassuolo) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,6,45734257,4',Foul by Amir Rrahmani (Napoli).,2025-08-24 04:58:03
13447,736784,7,45734403,12',"Corner, Napoli. Conceded by Tarik Muharemovic.",2025-08-24 04:58:03
13447,736784,8,45734405,12',Attempt missed. Amir Rrahmani (Napoli) left footed shot from the centre of the box misses to the right. Assisted by Kevin De Bruyne with a through ball following a corner.,2025-08-24 04:58:03
13447,736784,9,45734419,14',Foul by Lorenzo Lucca (Napoli).,2025-08-24 04:58:03
13447,736784,10,45734419,14',Tarik Muharemovic (Sassuolo) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,11,45734459,15',Attempt blocked. Matteo Politano (Napoli) left footed shot from the right side of the box is blocked. Assisted by Amir Rrahmani.,2025-08-24 04:58:03
13447,736784,12,45734506,15',Handball by Frank Anguissa (Napoli).,2025-08-24 04:58:03
13447,736784,13,45734461,16',Foul by Sebastian Walukiewicz (Sassuolo).,2025-08-24 04:58:03
13447,736784,14,45734461,16',Scott McTominay (Napoli) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,15,45734465,17',"Goal! Sassuolo 0, Napoli 1. Scott McTominay (Napoli) header from the centre of the box to the top right corner. Assisted by Matteo Politano with a cross.",2025-08-24 04:58:03
13447,736784,16,45734507,18',Foul by Lorenzo Lucca (Napoli).,2025-08-24 04:58:03
13447,736784,17,45734507,18',Tarik Muharemovic (Sassuolo) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,18,45734523,20',Foul by Sebastian Walukiewicz (Sassuolo).,2025-08-24 04:58:03
13447,736784,19,45734523,20',Scott McTominay (Napoli) wins a free kick in the defensive half.,2025-08-24 04:58:03
13447,736784,20,45734572,22',Attempt saved. Scott McTominay (Napoli) right footed shot from outside the box is saved in the centre of the goal by Stefano Turati (Sassuolo).,2025-08-24 04:58:03
