seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13515,744101,0,-1,,Lineups are announced and players are warming up.,2025-08-16 04:54:23
13515,744101,1,45652119,,First Half begins.,2025-08-16 04:54:23
13515,744101,2,-1,1',Bohdan Popov (Empoli) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,3,-1,1',Foul by Andrea Papetti (Reggiana).,2025-08-16 04:54:23
13515,744101,4,-1,2',Cedric Gondo (Reggiana) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,5,-1,2',Foul by Gabriele Guarino (Empoli).,2025-08-16 04:54:23
13515,744101,6,-1,3',Andrea Bozzolan (Reggiana) wins a free kick on the left wing.,2025-08-16 04:54:23
13515,744101,7,-1,3',Foul by Tyronne Ebuehi (Empoli).,2025-08-16 04:54:23
13515,744101,8,-1,6',Foul by Marco Curto (Empoli).,2025-08-16 04:54:23
13515,744101,9,-1,6',Manolo Portanova (Reggiana) wins a free kick in the attacking half.,2025-08-16 04:54:23
13515,744101,10,45652169,6',Marco Curto (Empoli) is shown the yellow card for a bad foul.,2025-08-16 04:54:23
13515,744101,11,-1,7',Foul by Matteo Rover (Reggiana).,2025-08-16 04:54:23
13515,744101,12,-1,7',Stiven Shpendi (Empoli) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,13,45652233,13',"Goal! Empoli 0, Reggiana 1. Cedric Gondo (Reggiana) right footed shot from the centre of the box to the bottom right corner.",2025-08-16 04:54:23
13515,744101,14,-1,15',Foul by Brando Moruzzi (Empoli).,2025-08-16 04:54:23
13515,744101,15,-1,15',Massimo Bertagnoli (Reggiana) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,16,-1,16',Foul by Stiven Shpendi (Empoli).,2025-08-16 04:54:23
13515,744101,17,-1,16',Lorenzo Libutti (Reggiana) wins a free kick on the right wing.,2025-08-16 04:54:23
13515,744101,18,-1,16',Foul by Marco Curto (Empoli).,2025-08-16 04:54:23
13515,744101,19,-1,16',Manolo Portanova (Reggiana) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,20,-1,18',"Offside, Reggiana. Manolo Portanova is caught offside.",2025-08-16 04:54:23
13515,744101,21,-1,19',Hand ball by Tyronne Ebuehi (Empoli).,2025-08-16 04:54:23
13515,744101,22,-1,21',Attempt blocked. Stiven Shpendi (Empoli) right footed shot from the centre of the box is blocked. Assisted by Bohdan Popov with a headed pass.,2025-08-16 04:54:23
13515,744101,23,-1,21',Penalty conceded by Andrea Bozzolan (Reggiana) with a hand ball in the penalty area.,2025-08-16 04:54:23
13515,744101,24,-1,22',Penalty saved. Rares Ilie (Empoli) right footed shot saved in the bottom left corner by Edoardo Motta (Reggiana).,2025-08-16 04:54:23
13515,744101,25,45652334,24',Attempt missed. Gabriele Guarino (Empoli) right footed shot from outside the box is too high. Assisted by Andrea Fulignati.,2025-08-16 04:54:23
13515,744101,26,-1,25',Andrea Papetti (Reggiana) wins a free kick in the attacking half.,2025-08-16 04:54:23
13515,744101,27,-1,25',Foul by Bohdan Popov (Empoli).,2025-08-16 04:54:23
13515,744101,28,-1,25',Delay in match (Empoli).,2025-08-16 04:54:23
13515,744101,29,-1,27',Delay over. They are ready to continue.,2025-08-16 04:54:23
13515,744101,30,-1,28',Hand ball by Cedric Gondo (Reggiana).,2025-08-16 04:54:23
13515,744101,31,-1,29',"Corner,Reggiana. Conceded by Brando Moruzzi.",2025-08-16 04:54:23
13515,744101,32,45652372,30',Attempt missed. Andrea Bozzolan (Reggiana) left footed shot from outside the box misses to the left following a corner.,2025-08-16 04:54:23
13515,744101,33,-1,30',Foul by Massimo Bertagnoli (Reggiana).,2025-08-16 04:54:23
13515,744101,34,-1,30',Marco Curto (Empoli) wins a free kick in the attacking half.,2025-08-16 04:54:23
13515,744101,35,45652388,31',"Attempt missed. Rares Ilie (Empoli) right footed shot from outside the box is close, but misses the top left corner from a direct free kick.",2025-08-16 04:54:23
13515,744101,36,45653703,35',"Corner,Empoli. Conceded by Elayis Tavsan.",2025-08-16 04:54:23
13515,744101,37,45652595,35',Attempt missed. Brando Moruzzi (Empoli) left footed shot from outside the box is high and wide to the right. Assisted by Bohdan Popov following a corner.,2025-08-16 04:54:23
13515,744101,38,-1,38',Elayis Tavsan (Reggiana) wins a free kick in the defensive half.,2025-08-16 04:54:23
13515,744101,39,-1,38',Foul by Franco Carboni (Empoli).,2025-08-16 04:54:23
13515,744101,40,45652468,38',Franco Carboni (Empoli) is shown the yellow card for a bad foul.,2025-08-16 04:54:23
13515,744101,41,-1,39',Hand ball by Elayis Tavsan (Reggiana).,2025-08-16 04:54:23
13515,744101,42,-1,40',"Offside, Empoli. Brando Moruzzi is caught offside.",2025-08-16 04:54:23
