seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13423,760319,0,46479614,11',Mateo Retegui (Al Qadsiah) Goal at 11',2025-11-29 06:15:26
13423,760319,1,46479636,30',Julián Quiñones (Al Qadsiah) Goal at 30',2025-11-29 06:15:26
13423,760319,2,46479667,36',Ivan Toney (Al Ahli) Penalty - Scored at 36',2025-11-29 06:15:26
13423,760319,3,46479752,45'+4',Mateo Retegui (Al Qadsiah) Penalty - Scored at 49',2025-11-29 06:15:26
13423,760319,4,46479777,45'+6',Koen Casteels (Al Qadsiah) Yellow Card at 51',2025-11-29 06:15:26
13423,760319,5,46479793,45'+7',Ibañez (Al Ahli) Yellow Card at 52',2025-11-30 06:17:06
13423,760319,6,46479906,48',Musab Al-Juwayr (Al Qadsiah) Substitution at 48',2025-11-29 06:15:26
13423,760319,7,46480000,58',Feras Al-Brikan (Al Ahli) Substitution at 58',2025-11-29 06:15:26
13423,760319,8,46480009,61',Valentin Atangana (Al Ahli) Goal at 61',2025-11-29 06:15:26
13423,760319,9,46480075,70',Jehad Thakri (Al Qadsiah) Substitution at 70',2025-11-29 06:15:26
13423,760319,10,46480107,73',Franck Kessié (Al Ahli) Goal at 73',2025-11-29 06:15:26
13423,760319,11,46480167,78',Valentin Atangana (Al Ahli) Yellow Card at 78',2025-11-29 06:15:26
13423,760319,12,46480209,82',Turki Al-Ammar (Al Qadsiah) Substitution at 82',2025-11-29 06:15:26
13423,760319,13,46480210,82',Ali Abdullah Hazzazi (Al Qadsiah) Substitution at 82',2025-11-29 06:15:26
13423,760319,14,46480296,90'+2',Édouard Mendy (Al Ahli) Yellow Card at 92',2025-11-29 06:15:26
13423,760319,15,46480510,99',Waheb Saleh (Al Ahli) Substitution at 99',2025-11-29 06:15:26
13423,760319,16,46480521,99',Mohammed Yousef (Al Ahli) Substitution at 99',2025-11-29 06:15:26
13423,760319,17,46480522,99',Abdullah Al-Salem (Al Qadsiah) Substitution at 99',2025-11-29 06:15:26
