seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13484,740976,0,-1,,Lineups are announced and players are warming up.,2025-08-09 04:50:10
13484,740976,1,45592240,,First Half begins.,2025-08-09 04:50:10
13484,740976,2,45596238,2',Calvin Twigt (Go Ahead Eagles) wins a free kick in the attacking half.,2025-08-10 04:46:51
13484,740976,3,45596238,2',Foul by Jasper Dahlhaus (Fortuna Sittard).,2025-08-10 04:46:51
13484,740976,4,45596242,6',Attempt blocked. Philip Brittijn (Fortuna Sittard) right footed shot from the centre of the box is blocked. Assisted by Dimitrios Limnios.,2025-08-10 04:46:51
13484,740976,5,45596244,6',Foul by Paul Gladon (Fortuna Sittard).,2025-08-10 04:46:51
13484,740976,6,45596244,6',Jari De Busser (Go Ahead Eagles) wins a free kick in the defensive half.,2025-08-10 04:46:51
13484,740976,7,45596246,7',Foul by Édouard Michut (Fortuna Sittard).,2025-08-10 04:46:51
13484,740976,8,45596246,7',Richonell Margaret (Go Ahead Eagles) wins a free kick in the defensive half.,2025-08-10 04:46:51
13484,740976,9,45596248,9',Foul by Richonell Margaret (Go Ahead Eagles).,2025-08-10 04:46:51
13484,740976,10,45596248,9',Kristoffer Peterson (Fortuna Sittard) wins a free kick on the left wing.,2025-08-10 04:46:51
13484,740976,11,45593425,12',"Corner, Go Ahead Eagles. Conceded by Ivo Pinto.",2025-08-27 05:02:53
13484,740976,12,45596254,13',"Offside, Go Ahead Eagles. Calvin Twigt is caught offside.",2025-08-10 04:46:51
13484,740976,13,45592327,15',Attempt missed. Ryan Fosso (Fortuna Sittard) right footed shot from outside the box misses to the right.,2025-08-09 04:50:10
13484,740976,14,45596258,17',Foul by Shawn Adewoye (Fortuna Sittard).,2025-08-10 04:46:51
13484,740976,15,45596258,17',Milan Smit (Go Ahead Eagles) wins a free kick on the left wing.,2025-08-10 04:46:51
13484,740976,16,45592347,17',Attempt missed. Justin Hubner (Fortuna Sittard) left footed shot from outside the box is too high. Assisted by Ryan Fosso.,2025-08-09 04:50:10
13484,740976,17,45596261,18',Foul by Milan Smit (Go Ahead Eagles).,2025-08-10 04:46:51
13484,740976,18,45596261,18',Shawn Adewoye (Fortuna Sittard) wins a free kick in the defensive half.,2025-08-10 04:46:51
13484,740976,19,-1,19',Delay in match (Fortuna Sittard).,2025-08-09 04:50:10
13484,740976,20,-1,19',Delay over. They are ready to continue.,2025-08-09 04:50:10
13484,740976,21,45596266,20',Foul by Shawn Adewoye (Fortuna Sittard).,2025-08-10 04:46:51
13484,740976,22,45596266,20',Milan Smit (Go Ahead Eagles) wins a free kick in the attacking half.,2025-08-10 04:46:51
13484,740976,23,45596269,21',Attempt saved. Evert Linthorst (Go Ahead Eagles) header from the centre of the box is saved in the top right corner by Mattijs Branderhorst (Fortuna Sittard). Assisted by Dean James.,2025-08-10 04:46:51
13484,740976,24,45596277,25',Foul by Mathis Suray (Go Ahead Eagles).,2025-08-10 04:46:51
13484,740976,25,45596277,25',Ryan Fosso (Fortuna Sittard) wins a free kick in the defensive half.,2025-08-10 04:46:51
13484,740976,26,45593426,26',"Corner, Go Ahead Eagles. Conceded by Shawn Adewoye.",2025-08-27 05:02:53
13484,740976,27,45592418,27',Attempt missed. Calvin Twigt (Go Ahead Eagles) right footed shot from the left side of the box is high and wide to the right following a corner.,2025-08-09 04:50:10
13484,740976,28,45592437,29',"Own Goal by Shawn Adewoye, Fortuna Sittard. Fortuna Sittard 0, Go Ahead Eagles 1.",2025-08-09 04:50:10
13484,740976,29,45596281,31',Dimitrios Limnios (Fortuna Sittard) wins a free kick in the defensive half.,2025-08-10 04:46:51
13484,740976,30,45596281,31',Foul by Dean James (Go Ahead Eagles).,2025-08-10 04:46:51
13484,740976,31,45592456,31',Attempt missed. Paul Gladon (Fortuna Sittard) right footed shot from the centre of the box misses to the right. Assisted by Jasper Dahlhaus with a cross.,2025-08-09 04:50:10
13484,740976,32,45592459,33',Attempt missed. Richonell Margaret (Go Ahead Eagles) right footed shot from the right side of the six yard box misses to the right. Assisted by Mathis Suray with a cross.,2025-08-09 04:50:10
13484,740976,33,45596288,35',Attempt blocked. Kristoffer Peterson (Fortuna Sittard) header from the left side of the box is blocked. Assisted by Dimitrios Limnios with a cross.,2025-08-10 04:46:51
