seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13485,741282,0,45567480,35',Mathis Suray (Go Ahead Eagles) Goal at 35',2025-08-04 04:47:36
13485,741282,1,45567596,56',Milan Smit (Go Ahead Eagles) Substitution at 56',2025-08-04 04:47:36
13485,741282,2,45567618,62',Ricardo Pepi (PSV Eindhoven) Substitution at 62',2025-08-04 04:47:36
13485,741282,3,45567621,62',Guus Til (PSV Eindhoven) Substitution at 62',2025-08-04 04:47:36
13485,741282,4,45567622,62',Ruben Van Bommel (PSV Eindhoven) Substitution at 62',2025-08-04 04:47:36
13485,741282,5,45567623,64',Joris Kramer (Go Ahead Eagles) Yellow Card at 64',2025-08-04 04:47:36
13485,741282,6,45567655,75',Aske Adelgaard (Go Ahead Eagles) Substitution at 75',2025-08-04 04:47:36
13485,741282,7,45567662,78',Gerrit Nauber (Go Ahead Eagles) Own Goal at 78',2025-08-04 04:47:36
13485,741282,8,45567676,82',Thibo Baeten (Go Ahead Eagles) Substitution at 82',2025-08-04 04:47:36
13485,741282,9,45567677,84',Sergiño Dest (PSV Eindhoven) Goal at 84',2025-08-04 04:47:36
13485,741282,10,45567680,86',Armando Obispo (PSV Eindhoven) Substitution at 86',2025-08-04 04:47:36
