seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13528,744360,0,45468096,7',Victor Robert Dican (FC Farul Constanta) Yellow Card at 7',2025-07-15 04:35:59
13528,744360,1,45468098,45',Zoran Mitrov (FC Botosani) Substitution at 45',2025-07-15 04:35:59
13528,744360,2,45468099,48',Jakub Vojtus (FC Farul Constanta) Yellow Card at 48',2025-07-15 04:35:59
13528,744360,3,45468101,61',Sebastian Mailat (FC Botosani) Goal at 61',2025-07-15 04:35:59
13528,744360,4,45468102,65',Alexandru Mihai Isfan (FC Farul Constanta) Substitution at 65',2025-07-15 04:35:59
13528,744360,5,45468103,66',Ionut Cojocaru (FC Farul Constanta) Substitution at 66',2025-07-15 04:35:59
13528,744360,6,45468104,68',Enriko Papa (FC Botosani) Substitution at 68',2025-07-15 04:35:59
13528,744360,7,45468105,68',Ioan Andrei Vasile Dumiter (FC Botosani) Substitution at 68',2025-07-15 04:35:59
13528,744360,8,45468106,72',Ionut Cojocaru (FC Farul Constanta) Goal at 72',2025-07-15 04:35:59
13528,744360,9,45468108,81',Narek Grigoryan (FC Farul Constanta) Yellow Card at 81',2025-07-15 04:35:59
13528,744360,10,45468109,84',David Maftei (FC Farul Constanta) Yellow Card at 84',2025-07-15 04:35:59
13528,744360,11,45468110,85',Eduard Radaslavescu (FC Farul Constanta) Substitution at 85',2025-07-15 04:35:59
13528,744360,12,45468111,86',Victor Robert Dican (FC Farul Constanta) Red Card at 86',2025-07-15 04:35:59
13528,744360,13,45468112,88',Stefan Panoiu (FC Botosani) Substitution at 88',2025-07-15 04:35:59
13528,744360,14,45468113,90'+5',Bogdan Ionut Tiru (FC Farul Constanta) Yellow Card at 95',2025-07-15 04:35:59
13528,744361,0,45463817,15',Virgiliu Postolachi (CFR Cluj-Napoca) Goal at 15',2025-07-14 04:29:10
13528,744361,1,45464028,45'+1',Christ Afalna (Unirea Slobozia) Goal at 46',2025-07-14 04:29:10
13528,744361,2,45464244,45',Cristian Barbut (Unirea Slobozia) Substitution at 45',2025-07-14 04:29:10
13528,744361,3,45464253,45',Beni N'Kololo (CFR Cluj-Napoca) Substitution at 45',2025-07-14 04:29:10
13528,744361,4,45464254,45',Eduard Florescu (Unirea Slobozia) Substitution at 45',2025-07-14 04:29:10
13528,744361,5,45464255,45',Marko Gjorgjievski (CFR Cluj-Napoca) Substitution at 45',2025-07-14 04:29:10
13528,744361,6,45464434,60',Florian Purece (Unirea Slobozia) Substitution at 60',2025-07-14 04:29:10
13528,744361,7,45464446,63',Mohammed Kamara (CFR Cluj-Napoca) Substitution at 63',2025-07-14 04:29:10
13528,744361,8,45464447,63',Viktor Kun (CFR Cluj-Napoca) Substitution at 63',2025-07-14 04:29:10
13528,744361,9,45464480,69',Andrei Dragu (Unirea Slobozia) Substitution at 69',2025-07-14 04:29:10
13528,744361,10,45464581,77',Ahmed Said (Unirea Slobozia) Substitution at 77',2025-07-14 04:29:10
13528,744361,11,45464631,81',Lindon Emërllahu (CFR Cluj-Napoca) Substitution at 81',2025-07-14 04:29:10
13528,744361,12,45464652,82',Eduard Florescu (Unirea Slobozia) Yellow Card at 82',2025-07-14 04:29:10
13528,744361,13,45464811,90'+4',Daniel Dumbravanu (CFR Cluj-Napoca) Goal at 94',2025-07-14 04:29:10
13528,744361,14,45464900,90'+12',Marko Gjorgjievski (CFR Cluj-Napoca) Yellow Card at 102',2025-07-14 04:29:10
13528,744362,0,45468121,2',Maxime Sivis (Dinamo Bucuresti) Own Goal at 2',2025-07-15 04:35:59
13528,744362,1,45468240,10',Alexandru Pop (Dinamo Bucuresti) Yellow Card at 10',2025-07-15 04:35:59
13528,744362,2,45468241,11',Efraim Bödo (Csíkszereda) Goal at 11',2025-07-15 04:35:59
13528,744362,3,45468243,16',Alexandru Musi (Dinamo Bucuresti) Goal at 16',2025-07-15 04:35:59
13528,744362,4,45468245,16',Jozef Dolny (Csíkszereda) Yellow Card at 16',2025-07-15 04:35:59
13528,744362,5,45468248,43',Eddy Gnahoré (Dinamo Bucuresti) Goal at 43',2025-07-15 04:35:59
13528,744362,6,45468296,59',Mamoudou Karamoko (Dinamo Bucuresti) Substitution at 59',2025-07-15 04:35:59
13528,744362,7,45468299,59',Benjamin Babati (Csíkszereda) Substitution at 59',2025-07-15 04:35:59
13528,744362,8,45468300,60',Szablcs Szalay (Csíkszereda) Substitution at 60',2025-07-15 04:35:59
13528,744362,9,45468301,60',Soufiane Jebari Jebari (Csíkszereda) Substitution at 60',2025-07-15 04:35:59
13528,744362,10,45468356,68',Hakim Abdallah (Dinamo Bucuresti) Substitution at 68',2025-07-15 04:35:59
13528,744362,11,45468360,68',Georgi Milanov (Dinamo Bucuresti) Substitution at 68',2025-07-15 04:35:59
13528,744362,12,45468361,68',Szilard Veres (Csíkszereda) Substitution at 68',2025-07-15 04:35:59
13528,744362,13,45468394,82',Adrian Caragea (Dinamo Bucuresti) Substitution at 82',2025-07-15 04:35:59
13528,744362,14,45468416,89',Erwin Bloj (Csíkszereda) Substitution at 89',2025-07-15 04:35:59
13528,744362,15,45468418,90',Adrian Caragea (Dinamo Bucuresti) Yellow Card at 90',2025-07-15 04:35:59
13528,744362,16,45468426,90'+4',Eddy Gnahoré (Dinamo Bucuresti) Yellow Card at 94',2025-07-15 04:35:59
13528,744363,0,45452248,3',Alexandru Dobre (Rapid Bucuresti) Goal at 3',2025-07-12 04:35:24
13528,744363,1,45452303,28',Robert Moldoveanu (FC Arges) Yellow Card at 28',2025-07-12 04:35:24
13528,744363,2,45452322,32',Ianis Pîrvu (FC Arges) Yellow Card at 32',2025-07-12 04:35:24
13528,744363,3,45452336,34',Alexandru Dobre (Rapid Bucuresti) Goal at 34',2025-07-12 04:35:24
13528,744363,4,45452382,41',Florin Gheorghe Borta (FC Arges) Yellow Card at 41',2025-07-12 04:35:24
13528,744363,5,45452387,43',Alexandru Pascanu (Rapid Bucuresti) Yellow Card at 43',2025-07-12 04:35:24
13528,744363,6,45452464,45',Franck Tchassem (FC Arges) Substitution at 45',2025-07-12 04:35:24
13528,744363,7,45452469,45',Dorinel Gabriel Oancea (FC Arges) Substitution at 45',2025-07-12 04:35:24
13528,744363,8,45452509,50',Tobias Christensen (Rapid Bucuresti) Yellow Card at 50',2025-07-12 04:35:24
13528,744363,9,45452517,52',Timotej Jambor (Rapid Bucuresti) Substitution at 52',2025-07-12 04:35:24
13528,744363,10,45452544,56',Nacho Heras (FC Arges) Yellow Card at 56',2025-07-12 04:35:24
13528,744363,11,45452586,67',Drilon Hazrollaj (Rapid Bucuresti) Substitution at 67',2025-07-12 04:35:24
13528,744363,12,45452596,71',Razvan Philippe Onea (Rapid Bucuresti) Yellow Card at 71',2025-07-12 04:35:24
13528,744363,13,45452597,72',Mihai Roman (FC Arges) Substitution at 72',2025-07-12 04:35:24
13528,744363,14,45452598,72',Ricardo Matos (FC Arges) Substitution at 72',2025-07-12 04:35:24
13528,744363,15,45452600,73',Dorinel Gabriel Oancea (FC Arges) Yellow Card at 73',2025-07-12 04:35:24
13528,744363,16,45452603,76',Omar El Sawy (Rapid Bucuresti) Substitution at 76',2025-07-12 04:35:24
13528,744363,17,45452618,76',Cristian Manea (Rapid Bucuresti) Substitution at 76',2025-07-12 04:35:24
13528,744363,18,45452619,77',Jakub Hromada (Rapid Bucuresti) Substitution at 77',2025-07-12 04:35:24
13528,744363,19,45452698,86',Ionut Laurentiu Radescu (FC Arges) Substitution at 86',2025-07-12 04:35:24
13528,744363,20,45452702,89',Timotej Jambor (Rapid Bucuresti) Yellow Card at 89',2025-07-12 04:35:24
13528,744364,0,45455176,24',Vahid Selimovic (Hermannstadt) Yellow Card at 24',2025-07-13 04:33:16
13528,744364,1,45455590,45',Juri Cisotti (FCSB) Substitution at 45',2025-07-13 04:33:16
13528,744364,2,45455617,45',Marius Stefanescu (FCSB) Substitution at 45',2025-07-13 04:33:16
13528,744364,3,45455618,45',Adrian Sut (FCSB) Substitution at 45',2025-07-13 04:33:16
13528,744364,4,45455875,66',Cristian Daniel Negut (Hermannstadt) Substitution at 66',2025-07-13 04:33:16
13528,744364,5,45455876,66',Kalifa Kujabi (Hermannstadt) Substitution at 66',2025-07-13 04:33:16
13528,744364,6,45455884,66',Florin Bejan (Hermannstadt) Substitution at 66',2025-07-13 04:33:16
13528,744364,7,45455903,68',Risto Radunovic (FCSB) Substitution at 68',2025-07-13 04:33:16
13528,744364,8,45456000,75',Kalifa Kujabi (Hermannstadt) Goal at 75',2025-07-13 04:33:16
13528,744364,9,45456101,80',Ianis Stoica (Hermannstadt) Substitution at 80',2025-07-13 04:33:16
13528,744364,10,45456102,81',Diogo Batista (Hermannstadt) Substitution at 81',2025-07-13 04:33:16
13528,744364,11,45456147,83',Alexandru Stoian (FCSB) Substitution at 83',2025-07-13 04:33:16
13528,744364,12,45456286,90'+3',Alexandru Stoian (FCSB) Goal at 93',2025-07-13 04:33:16
13528,744365,0,45452212,29',Issouf Macalou (Universitatea Cluj) Goal at 29',2025-07-12 04:35:24
13528,744365,1,45452215,45',Jovo Lukic (Universitatea Cluj) Substitution at 45',2025-07-12 04:35:24
13528,744365,2,45452216,45',Mouhamadou Drammeh (Universitatea Cluj) Substitution at 45',2025-07-12 04:35:24
13528,744365,3,45452217,53',Dorin Marian Codrea (Universitatea Cluj) Own Goal at 53',2025-07-12 04:35:24
13528,744365,4,45452219,55',Mamadou Thiam (Universitatea Cluj) Goal at 55',2025-07-12 04:35:24
13528,744365,5,45452220,56',Dragos Irimia (Metaloglobus) Substitution at 56',2025-07-12 04:35:24
13528,744365,6,45452224,65',Alessandro Murgia (Universitatea Cluj) Substitution at 65',2025-07-12 04:35:24
13528,744365,7,45452225,66',Damiá  (Metaloglobus) Substitution at 66',2025-07-12 04:35:24
13528,744365,8,45452226,66',Stefan Visic (Metaloglobus) Substitution at 66',2025-07-12 04:35:24
13528,744365,9,45452227,69',Mouhamadou Drammeh (Universitatea Cluj) Yellow Card at 69',2025-07-12 04:35:24
13528,744365,10,45452228,70',David Irimia (Metaloglobus) Yellow Card at 70',2025-07-12 04:35:24
13528,744365,11,45452230,76',Jovo Lukic (Universitatea Cluj) Goal at 76',2025-07-12 04:35:24
13528,744365,12,45452231,79',Miguel Silva (Universitatea Cluj) Substitution at 79',2025-07-12 04:35:24
13528,744365,13,45452234,81',Marian Lis (Metaloglobus) Substitution at 81',2025-07-12 04:35:24
13528,744365,14,45452235,81',Bruno Carvalho (Metaloglobus) Substitution at 81',2025-07-12 04:35:24
13528,744365,15,45452236,84',Christ Kouadio (Metaloglobus) Yellow Card at 84',2025-07-12 04:35:24
13528,744365,16,45452237,88',Dragos Irimia (Metaloglobus) Yellow Card at 88',2025-07-12 04:35:24
13528,744365,17,45452238,90'+1',Jovo Lukic (Universitatea Cluj) Goal at 91',2025-07-12 04:35:24
13528,744365,18,45452239,90'+3',Atanas Ioan Trica-Balaci (Universitatea Cluj) Substitution at 93',2025-07-12 04:35:24
13528,744366,0,45463351,24',Bogran Marian (Petrolul Ploiesti) Yellow Card at 24',2025-07-14 04:29:10
13528,744366,1,45463393,41',Eric Bicfalvi (Otelul Galati) Yellow Card at 41',2025-07-14 04:29:10
13528,744366,2,45463563,64',Andrei Ciobanu (Otelul Galati) Substitution at 64',2025-07-14 04:29:10
13528,744366,3,45463566,65',Adi Chica-Rosa (Petrolul Ploiesti) Substitution at 65',2025-07-14 04:29:10
13528,744366,4,45463567,65',Brahima Doukansy (Petrolul Ploiesti) Substitution at 65',2025-07-14 04:29:10
13528,744366,5,45463568,65',Valentin Gheorghe (Petrolul Ploiesti) Substitution at 65',2025-07-14 04:29:10
