seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13655,755221,0,45597125,3',Bheki Mabuza (Marumo Gallants) Goal at 3',2025-08-10 04:46:51
13655,755221,1,45597418,39',Diala Manaka (Marumo Gallants) Red Card at 39',2025-08-10 04:46:51
13655,755221,2,45618628,45'+1',Mfundo Thikazi (Richards Bay) Yellow Card at 46',2025-08-12 04:48:54
13655,755221,3,45597636,45',Lundi Mahala (Richards Bay) Substitution at 45',2025-08-12 04:48:54
13655,755221,4,45597721,55',Lundi Mahala (Richards Bay) Goal at 55',2025-08-12 04:48:54
13655,755221,5,45597895,65',Thabisa Ndelu (Richards Bay) Substitution at 65',2025-08-12 04:48:54
13655,755221,6,45597896,65',Simo Bright Mbhele (Marumo Gallants) Substitution at 65',2025-08-12 04:48:54
13655,755221,7,45598310,75',Monde Mpambaniso (Marumo Gallants) Substitution at 75',2025-08-12 04:48:54
13655,755221,8,45598311,75',Jaisen Jaren Clifford (Marumo Gallants) Substitution at 75',2025-08-12 04:48:54
13655,755221,9,45598372,79',Wandile Ngema (Richards Bay) Substitution at 79',2025-08-12 04:48:54
13655,755221,10,45598494,85',Lindokuhle Praise Mtshali (Richards Bay) Substitution at 85',2025-08-12 04:48:54
13655,755221,11,45598505,85',Katekani Mhlongo (Marumo Gallants) Substitution at 85',2025-08-12 04:48:54
13655,755221,12,45598630,90'+1',Simo Bright Mbhele (Marumo Gallants) Goal at 91',2025-08-12 04:48:54
13655,755222,0,45597565,45',Keagile Malepe (Polokwane City) Substitution at 45',2025-08-10 04:46:51
13655,755222,1,45597605,45',Thato Letshedi (Polokwane City) Substitution at 45',2025-08-10 04:46:51
13655,755222,2,45597683,53',Tlou Tholang Masegela (Magesi FC) Yellow Card at 53',2025-08-10 04:46:51
13655,755222,3,45597846,62',Mpho Mvundlela (Polokwane City) Yellow Card at 62',2025-08-10 04:46:51
13655,755222,4,45597937,67',Banele Gama (Magesi FC) Substitution at 67',2025-08-10 04:46:51
13655,755222,5,45597963,67',Wonderboy Makhubu (Magesi FC) Substitution at 67',2025-08-10 04:46:51
13655,755222,6,45598230,73',Surprise Manthosi (Polokwane City) Yellow Card at 73',2025-08-10 04:46:51
13655,755222,7,45598351,79',Keorapetse Sebone (Polokwane City) Substitution at 79',2025-08-10 04:46:51
13655,755222,8,45598396,79',Puleng Dennis Tlolane (Polokwane City) Substitution at 79',2025-08-10 04:46:51
13655,755222,9,45598549,86',Samuel Darpoh (Magesi FC) Substitution at 86',2025-08-10 04:46:51
13655,755222,10,45598550,86',Abbey Junior Seseane (Magesi FC) Substitution at 86',2025-08-10 04:46:51
13655,755222,11,45598594,89',Tshepo Kakora (Magesi FC) Substitution at 89',2025-08-10 04:46:51
13655,755223,0,45597392,32',Arthur  (Mamelodi Sundowns) Goal at 32',2025-08-14 04:50:22
13655,755223,1,45597487,45',Zuko Mdunyelwa (Mamelodi Sundowns) Substitution at 45',2025-08-14 04:50:22
13655,755223,2,45597711,57',Keabetswe Ramotsei (Chippa United) Substitution at 57',2025-08-14 04:50:22
13655,755223,3,45597712,57',Giovanni Philander (Chippa United) Substitution at 57',2025-08-14 04:50:22
13655,755223,4,45597794,61',Themba Zwane (Mamelodi Sundowns) Substitution at 61',2025-08-14 04:50:22
13655,755223,5,45597795,61',Keanu Cupido (Mamelodi Sundowns) Substitution at 61',2025-08-14 04:50:22
13655,755223,6,45597878,65',Khaya Mfecane (Chippa United) Goal at 65',2025-08-14 04:50:22
13655,755223,7,45598003,73',Kutlwano Letlhaku (Mamelodi Sundowns) Substitution at 73',2025-08-14 04:50:22
13655,755223,8,45598314,77',Siyabonga Mabena (Mamelodi Sundowns) Substitution at 77',2025-08-14 04:50:22
13655,755223,9,45598613,90'+1',Teboho Mokoena (Mamelodi Sundowns) Yellow Card at 91',2025-08-14 04:50:22
13655,755223,10,45598614,90'+2',Abram Mashele (Chippa United) Substitution at 92',2025-08-14 04:50:22
13655,755223,11,45598638,90'+2',Boy Madingwane (Chippa United) Substitution at 92',2025-08-14 04:50:22
13655,755223,12,45598652,90'+7',Seun Ndlovu (Chippa United) Yellow Card at 97',2025-08-14 04:50:22
13655,755224,0,45597343,23',Ndumiso Ngiba (Orbit College) Own Goal at 23',2025-08-12 04:48:54
13655,755224,1,45597393,31',Realeboga Potsana (Orbit College) Yellow Card at 31',2025-08-10 04:46:51
13655,755224,2,45597532,45',Given Thibedi (Orbit College) Substitution at 45',2025-08-10 04:46:51
13655,755224,3,45597880,64',Tshepo Brian Matsemela (Orbit College) Substitution at 64',2025-08-10 04:46:51
13655,755224,4,45597978,69',Andiswa Sithole (Amazulu) Substitution at 69',2025-08-10 04:46:51
13655,755224,5,45597979,69',Ben Motshwari (Amazulu) Substitution at 69',2025-08-10 04:46:51
13655,755224,6,45598366,80',Mondli Mbanjwa (Amazulu) Substitution at 80',2025-08-10 04:46:51
13655,755224,7,45598473,84',Lethabo Modimoeng (Orbit College) Substitution at 84',2025-08-10 04:46:51
13655,755224,8,45598490,84',Thuso Moleleki (Orbit College) Substitution at 84',2025-08-10 04:46:51
13655,755224,9,45598635,90'+2',Bayanda Thabede (Amazulu) Substitution at 92',2025-08-10 04:46:51
13655,755225,0,45600774,40',Bradley Grobler (Sekhukhune United) Yellow Card at 40',2025-08-10 04:46:51
13655,755225,1,45600935,48',Siphesihle Mkhize (Sekhukhune United) Goal at 48',2025-08-10 04:46:51
13655,755225,2,45600962,51',Patrick Maswanganyi (Orlando Pirates) Yellow Card at 51',2025-08-10 04:46:51
13655,755225,3,45600977,55',Medupi Thokolo (Sekhukhune United) Yellow Card at 55',2025-08-10 04:46:51
13655,755225,4,45601002,57',Nkosinathi Sibisi (Orlando Pirates) Yellow Card at 57',2025-08-10 04:46:51
13655,755225,5,45601010,58',Yamela Mbuthuma (Orlando Pirates) Substitution at 58',2025-08-10 04:46:51
13655,755225,6,45601011,58',Abdoulaye Fousseyni Mariko (Orlando Pirates) Substitution at 58',2025-08-10 04:46:51
13655,755225,7,45601060,64',Malekgene Mampuru (Sekhukhune United) Substitution at 64',2025-08-10 04:46:51
13655,755225,8,45601087,67',Kamogelo Sebelebele (Orlando Pirates) Substitution at 67',2025-08-10 04:46:51
13655,755225,9,45601094,69',Chibuike Ohizu (Sekhukhune United) Substitution at 69',2025-08-10 04:46:51
