seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13505,743498,0,45494765,5',Ilya Rozhkov (Rubin Kazan) Yellow Card at 5',2025-07-21 04:39:32
13505,743498,1,45494798,13',Veldin Hodza (Rubin Kazan) Yellow Card at 13',2025-07-21 04:39:32
13505,743498,2,45494825,21',Bogdan Jocic (Rubin Kazan) Yellow Card at 21',2025-07-21 04:39:32
13505,743498,3,45494835,24',Dardan Shabanhaxhaj (Rubin Kazan) Goal at 24',2025-07-21 04:39:32
13505,743498,4,45494883,34',Dmitri Kabutov (Rubin Kazan) Yellow Card at 34',2025-07-21 04:39:32
13505,743498,5,45495039,45',Milos Satara (Akhmat Grozny) Substitution at 45',2025-07-21 04:39:32
13505,743498,6,45495055,46',Egor Teslenko (Rubin Kazan) Yellow Card at 46',2025-07-21 04:39:32
13505,743498,7,45495082,49',Maksim Sidorov (Akhmat Grozny) Substitution at 49',2025-07-21 04:39:32
13505,743498,8,45495094,51',Veldin Hodza (Rubin Kazan) Goal at 51',2025-07-21 04:39:32
13505,743498,9,45495109,55',George Melkadze (Akhmat Grozny) Substitution at 55',2025-07-21 04:39:32
13505,743498,10,45495116,55',Maksim Samorodov (Akhmat Grozny) Substitution at 55',2025-07-21 04:39:32
13505,743498,11,45495147,58',Ruslan Bezrukov (Rubin Kazan) Substitution at 58',2025-07-21 04:39:32
13505,743498,12,45495215,69',Aleksandr Zotov (Rubin Kazan) Substitution at 69',2025-07-21 04:39:32
13505,743498,13,45495233,70',Aleksandar Jukic (Rubin Kazan) Substitution at 70',2025-07-21 04:39:32
13505,743498,14,45495300,75',Abakar Gadzhiev (Akhmat Grozny) Substitution at 75',2025-07-21 04:39:32
13505,743498,15,45495347,80',Oleg Ivanov (Rubin Kazan) Substitution at 80',2025-07-21 04:39:32
13505,743498,16,45495358,80',Konstantin Nizhegorodov (Rubin Kazan) Substitution at 80',2025-07-21 04:39:32
13505,743498,17,45495440,84',Aleksandr Zotov (Rubin Kazan) Yellow Card at 84',2025-07-21 04:39:32
13505,743498,18,45495492,88',Konstantin Nizhegorodov (Rubin Kazan) Yellow Card at 88',2025-07-21 04:39:32
13505,743498,19,45495517,89',Manuel Keliano (Akhmat Grozny) Yellow Card at 89',2025-07-21 04:39:32
13505,743499,0,45484829,45'+1',Ionut Nedelcearu (Akron Tolyatti) Goal at 46',2025-07-20 04:37:06
13505,743499,1,45484900,56',Vadim Rakov (Krylia Sovetov) Goal at 56',2025-07-20 04:37:06
13505,743499,2,45484912,63',Soltmurad Bakaev (Akron Tolyatti) Substitution at 63',2025-07-20 04:37:06
13505,743499,3,45484913,63',Khetag Khosonov (Akron Tolyatti) Substitution at 63',2025-07-20 04:37:06
13505,743499,4,45484928,69',Vladislav Shitov (Krylia Sovetov) Substitution at 69',2025-07-20 04:37:06
13505,743499,5,45484929,69',Jimmy Marín (Krylia Sovetov) Substitution at 69',2025-07-20 04:37:06
13505,743499,6,45484950,73',Benchimol (Akron Tolyatti) Substitution at 73',2025-07-23 04:39:20
13505,743499,7,45484960,77',Maksim Vityugov (Krylia Sovetov) Substitution at 77',2025-07-20 04:37:06
13505,743499,8,45485007,84',Maksim Kuzmin (Akron Tolyatti) Substitution at 84',2025-07-20 04:37:06
13505,743499,9,45485016,86',Aleksandr Soldatenkov (Krylia Sovetov) Substitution at 86',2025-07-20 04:37:06
13505,743499,10,45485047,90'+2',Alex Sutormin (Krylia Sovetov) Yellow Card at 92',2025-07-20 04:37:06
13505,743500,0,45482402,12',Brayan Gil (FC Baltika Kaliningrad) Goal at 12',2025-07-19 04:39:42
13505,743500,1,45482425,31',Daniil Fomin (Dinamo Moscow) Yellow Card at 31',2025-07-20 04:37:06
13505,743500,2,45482436,40',Andrey Mendel (FC Baltika Kaliningrad) Yellow Card at 40',2025-07-19 04:39:42
13505,743500,3,45482455,45'+5',Sergey Varatynov (FC Baltika Kaliningrad) Yellow Card at 50',2025-07-19 04:39:42
13505,743500,4,45482456,45',Nicolás Marichal (Dinamo Moscow) Substitution at 45',2025-07-19 04:39:42
13505,743500,5,45482462,48',Juan Cáceres (Dinamo Moscow) Goal at 48',2025-07-19 04:39:42
13505,743500,6,45482464,52',Eldar Civic (FC Baltika Kaliningrad) Substitution at 52',2025-07-19 04:39:42
13505,743500,7,45482466,52',Maksim Petrov (FC Baltika Kaliningrad) Substitution at 52',2025-07-19 04:39:42
13505,743500,8,45482468,58',Nathan Gassama (FC Baltika Kaliningrad) Yellow Card at 58',2025-07-19 04:39:42
13505,743500,9,45482469,61',Denis Makarov (Dinamo Moscow) Substitution at 61',2025-07-19 04:39:42
13505,743500,10,45482470,61',Ulvi Babaev (Dinamo Moscow) Substitution at 61',2025-07-19 04:39:42
13505,743500,11,45482487,67',Tenton Yenne (FC Baltika Kaliningrad) Substitution at 67',2025-07-19 04:39:42
13505,743500,12,45482488,67',Aymane Mourid (FC Baltika Kaliningrad) Substitution at 67',2025-07-19 04:39:42
13505,743500,13,45482515,82',Oleksandr Filin (FC Baltika Kaliningrad) Substitution at 82',2025-07-19 04:39:42
13505,743500,14,45482543,90'+1',Ulvi Babaev (Dinamo Moscow) Yellow Card at 91',2025-07-19 04:39:42
13505,743501,0,45485276,5',Marcelo Alves (Sochi) Yellow Card at 5',2025-07-23 04:39:20
13505,743501,1,45485597,45',Roman Ezhov (Sochi) Substitution at 45',2025-07-20 04:37:06
13505,743501,2,45485599,51',Artem Makarchuk (Sochi) Yellow Card at 51',2025-07-20 04:37:06
13505,743501,3,45485603,60',Zelimkhan Bakaev (Lokomotiv Moscow) Substitution at 60',2025-07-20 04:37:06
13505,743501,4,45485604,60',Dmitry Vorobyev (Lokomotiv Moscow) Substitution at 60',2025-07-20 04:37:06
13505,743501,5,45485605,64',Makar Chirkov (Sochi) Substitution at 64',2025-07-20 04:37:06
13505,743501,6,45485608,64',Aleksandr Osipov (Sochi) Substitution at 64',2025-07-20 04:37:06
13505,743501,7,45485613,74',Mikhail Ignatov (Sochi) Substitution at 74',2025-07-20 04:37:06
13505,743501,8,45485619,81',Aleksandr Rudenko (Lokomotiv Moscow) Goal at 81',2025-07-20 04:37:06
13505,743501,9,45485624,83',Dmitry Vorobyev (Lokomotiv Moscow) Goal at 83',2025-07-20 04:37:06
13505,743501,10,45485625,84',Dmitry Vorobyev (Lokomotiv Moscow) Yellow Card at 84',2025-07-20 04:37:06
13505,743501,11,45485627,87',Zelimkhan Bakaev (Lokomotiv Moscow) Goal at 87',2025-07-20 04:37:06
13505,743501,12,45485629,89',Artem Korneev (Sochi) Substitution at 89',2025-07-20 04:37:06
13505,743502,0,45493895,21',Kevin Pina (Krasnodar) Yellow Card at 21',2025-07-21 04:39:32
13505,743502,1,45493899,40',Diego Costa (Krasnodar) Goal at 40',2025-07-23 04:39:20
13505,743502,2,45493921,45',Nikita Krivtsov (Krasnodar) Substitution at 45',2025-07-21 04:39:32
13505,743502,3,45493944,55',Viktor Aleksandrov (Nizhny Novgorod) Yellow Card at 55',2025-07-21 04:39:32
13505,743502,4,45493953,64',Thiago Vecino (Nizhny Novgorod) Substitution at 64',2025-07-21 04:39:32
13505,743502,5,45493954,64',Andrey Ivlev (Nizhny Novgorod) Substitution at 64',2025-07-21 04:39:32
13505,743502,6,45493955,65',Viktor Aleksandrov (Nizhny Novgorod) Own Goal at 65',2025-07-21 04:39:32
13505,743502,7,45493958,66',Gustavo Furtado (Krasnodar) Substitution at 66',2025-07-21 04:39:32
13505,743502,8,45493960,66',Giovanni González (Krasnodar) Substitution at 66',2025-07-21 04:39:32
13505,743502,9,45493962,68',Eduard Spertsyan (Krasnodar) Goal at 68',2025-07-21 04:39:32
13505,743502,10,45493987,74',Boselli (Nizhny Novgorod) Yellow Card at 74',2025-07-23 04:39:20
13505,743502,11,45493988,75',Nikita Ermakov (Nizhny Novgorod) Substitution at 75',2025-07-21 04:39:32
13505,743502,12,45493990,76',Mamadou Maiga (Nizhny Novgorod) Yellow Card at 76',2025-07-21 04:39:32
13505,743502,13,45493994,78',Douglas (Krasnodar) Substitution at 78',2025-07-23 04:39:20
13505,743502,14,45493999,78',Danila Kozlov (Krasnodar) Substitution at 78',2025-07-21 04:39:32
13505,743502,15,45494036,84',Nikita Kakkoev (Nizhny Novgorod) Substitution at 84',2025-07-21 04:39:32
13505,743503,0,45498182,21',Mohamed Azzi (Dynamo Makhachkala) Yellow Card at 21',2025-07-22 04:40:14
13505,743503,1,45498183,35',Pablo Solari (Spartak Moscow) Yellow Card at 35',2025-07-22 04:40:14
13505,743503,2,45498184,37',Marquinhos (Spartak Moscow) Goal at 37',2025-07-23 04:39:20
