seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13496,742336,0,45558388,38',Djenario Daniels (Kilmarnock) Goal at 38',2025-08-03 04:42:14
13496,742336,1,45558389,42',David Watson (Kilmarnock) Goal at 42',2025-08-03 04:42:14
13496,742336,2,45558661,45',Zak Rudden (Livingston) Substitution at 45',2025-08-03 04:42:14
13496,742336,3,45558759,49',Adam Montgomery (Livingston) Yellow Card at 49',2025-08-03 04:42:14
13496,742336,4,45559005,61',Bruce Anderson (Kilmarnock) Substitution at 61',2025-08-03 04:42:14
13496,742336,5,45559119,65',George Stanger (Kilmarnock) Red Card at 65',2025-08-03 04:42:14
13496,742336,6,45559140,66',Robbie Muirhead (Livingston) Penalty - Scored at 66',2025-08-03 04:42:14
13496,742336,7,45559215,68',Rory McKenzie (Kilmarnock) Substitution at 68',2025-08-03 04:42:14
13496,742336,8,45559284,72',Lewis Smith (Livingston) Substitution at 72',2025-08-03 04:42:14
13496,742336,9,45559331,73',Brad Lyons (Kilmarnock) Yellow Card at 73',2025-08-03 04:42:14
13496,742336,10,45559432,77',Stevie May (Livingston) Substitution at 77',2025-08-03 04:42:14
13496,742336,11,45559573,81',Bruce Anderson (Kilmarnock) Yellow Card at 81',2025-08-03 04:42:14
13496,742336,12,45559574,82',Jeremy Bokila (Livingston) Substitution at 82',2025-08-03 04:42:14
13496,742336,13,45559626,85',Dominic Thompson (Kilmarnock) Substitution at 85',2025-08-03 04:42:14
13496,742336,14,45559675,86',Scott Pittman (Livingston) Goal at 86',2025-08-03 04:42:14
13496,742336,15,45559732,89',Daniel Finlayson (Livingston) Yellow Card at 89',2025-08-03 04:42:14
13496,742337,0,45560396,14',James Tavernier (Rangers) Goal at 14',2025-08-03 04:42:14
13496,742337,1,45560863,60',Elliot Watt (Motherwell) Yellow Card at 60',2025-08-03 04:42:14
13496,742337,2,45560875,63',Cyriel Dessers (Rangers) Substitution at 63',2025-08-03 04:42:14
13496,742337,3,45560876,63',Lyall Cameron (Rangers) Substitution at 63',2025-08-03 04:42:14
13496,742337,4,45560881,64',Lyall Cameron (Rangers) Yellow Card at 64',2025-08-03 04:42:14
13496,742337,5,45560910,71',Stephen O'Donnell (Motherwell) Substitution at 71',2025-08-03 04:42:14
13496,742337,6,45560913,73',Nedim Bajrami (Rangers) Substitution at 73',2025-08-03 04:42:14
13496,742337,7,45560914,73',Connor Barron (Rangers) Substitution at 73',2025-08-03 04:42:14
13496,742337,8,45560922,79',Ibrahim Sa'Id (Motherwell) Substitution at 79',2025-08-03 04:42:14
13496,742337,9,45560927,83',Oscar Cortés (Rangers) Substitution at 83',2025-08-03 04:42:14
13496,742337,10,45560932,84',Kieran Dowell (Rangers) Yellow Card at 84',2025-08-03 04:42:14
13496,742337,11,45560937,87',Emmanuel Longelo (Motherwell) Goal at 87',2025-08-03 04:42:14
13496,742337,12,45560950,90',Max Aarons (Rangers) Yellow Card at 90',2025-08-03 04:42:14
13496,742337,13,45560956,90'+1',Kofi Balmer (Motherwell) Substitution at 91',2025-08-03 04:42:14
13496,742337,14,45560957,90'+1',Tom Sparrow (Motherwell) Substitution at 91',2025-08-03 04:42:14
13496,742337,15,45560960,90'+2',James Tavernier (Rangers) Yellow Card at 92',2025-08-03 04:42:14
13496,742338,0,45566817,40',Max Watters (Dundee United) Goal at 40',2025-08-05 04:49:26
13496,742338,1,45566915,49',Zachary Sapsford (Dundee United) Yellow Card at 49',2025-08-05 04:49:26
13496,742338,2,45566917,50',Dylan Tait (Falkirk) Goal at 50',2025-08-05 04:49:26
13496,742338,3,45566925,56',Keelan Adams (Falkirk) Yellow Card at 56',2025-08-05 04:49:26
13496,742338,4,45566926,58',Ross Maciver (Falkirk) Substitution at 58',2025-08-05 04:49:26
13496,742338,5,45566927,58',Aidan Nesbitt (Falkirk) Substitution at 58',2025-08-05 04:49:26
13496,742338,6,45566932,62',Krisztián Keresztes (Dundee United) Yellow Card at 62',2025-08-05 04:49:26
13496,742338,7,45566937,65',Owen Stirton (Dundee United) Substitution at 65',2025-08-05 04:49:26
13496,742338,8,45566939,67',Iurie Iovu (Dundee United) Yellow Card at 67',2025-08-05 04:49:26
13496,742338,9,45566940,71',Ivan Dolcek (Dundee United) Goal at 71',2025-08-05 04:49:26
13496,742338,10,45566943,73',Ethan Ross (Falkirk) Goal at 73',2025-08-05 04:49:26
13496,742338,11,45566946,74',Isaac Pappoe (Dundee United) Yellow Card at 74',2025-08-05 04:49:26
13496,742338,12,45566947,75',Alfredo Agyeman (Falkirk) Substitution at 75',2025-08-05 04:49:26
13496,742338,13,45566952,79',Henry Cartwright (Falkirk) Substitution at 79',2025-08-05 04:49:26
13496,742338,14,45566956,83',Miller Thomson (Dundee United) Substitution at 83',2025-08-05 04:49:26
13496,742338,15,45566962,90'+2',Kai Fotheringham (Dundee United) Substitution at 92',2025-08-05 04:49:26
13496,742338,16,45566964,90'+7',Vicko Sevelj (Dundee United) Yellow Card at 97',2025-08-05 04:49:26
13496,742339,0,45566936,20',Finlay Robertson (Dundee) Yellow Card at 20',2025-08-04 04:47:36
13496,742339,1,45566941,28',Kieron Bowie (Hibernian) Goal at 28',2025-08-04 04:47:36
13496,742339,2,45566948,31',Kieron Bowie (Hibernian) Goal at 31',2025-08-04 04:47:36
13496,742339,3,45566953,36',Finlay Robertson (Dundee) Goal at 36',2025-08-04 04:47:36
13496,742339,4,45566976,57',Jamie McGrath (Hibernian) Substitution at 57',2025-08-04 04:47:36
13496,742339,5,45566977,57',Josh Campbell (Hibernian) Substitution at 57',2025-08-04 04:47:36
13496,742339,6,45566978,60',Clark Robertson (Dundee) Yellow Card at 60',2025-08-04 04:47:36
13496,742339,7,45566990,71',Ethan Ingram (Dundee) Yellow Card at 71',2025-08-04 04:47:36
13496,742339,8,45567004,80',Élie Youan (Hibernian) Substitution at 80',2025-08-04 04:47:36
13496,742339,9,45567005,80',Alasana Manneh (Hibernian) Substitution at 80',2025-08-04 04:47:36
13496,742339,10,45567006,80',Aaron Donnelly (Dundee) Substitution at 80',2025-08-04 04:47:36
13496,742339,11,45567007,80',Drey Wright (Dundee) Substitution at 80',2025-08-04 04:47:36
13496,742339,12,45567008,80',Tony Yogane (Dundee) Substitution at 80',2025-08-04 04:47:36
