seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13086,725828,0,45117377,28',William Milovanovic (GAIS) Yellow Card at 28',2025-05-22 01:24:39
13086,725828,1,45117379,36',Gustav Lundgren (GAIS) Yellow Card at 36',2025-05-22 01:24:39
13086,725828,2,45117381,45'+1',Albin Ekdal (Djurgården) Yellow Card at 46',2025-05-22 01:24:39
13086,725828,3,45117405,55',Daniel Stensson (Djurgården) Substitution at 55',2025-05-22 01:24:39
13086,725828,4,45117411,60',Axel Henriksson (GAIS) Substitution at 60',2025-05-22 01:24:39
13086,725828,5,45117413,63',Tobias Fjeld Gulliksen (Djurgården) Substitution at 63',2025-05-22 01:24:39
13086,725828,6,45117414,63',Adam Stahl (Djurgården) Substitution at 63',2025-05-22 01:24:39
13086,725828,7,45117424,73',Kevin Holmen (GAIS) Substitution at 73',2025-05-22 01:24:39
13086,725828,8,45117425,73',Rasmus Niklasson Petrovic (GAIS) Substitution at 73',2025-05-22 01:24:39
13086,725828,9,45117426,73',Lucas Hedlund (GAIS) Substitution at 73',2025-05-22 01:24:39
13086,725828,10,45117427,75',Axel Henriksson (GAIS) Yellow Card at 75',2025-05-22 01:24:39
13086,725828,11,45117428,75',August Priske (Djurgården) Yellow Card at 75',2025-05-22 01:24:39
13086,725828,12,45117437,79',Isak Alemayehu (Djurgården) Substitution at 79',2025-05-22 01:24:39
13086,725828,13,45117438,79',Keita Kosugi (Djurgården) Substitution at 79',2025-05-22 01:24:39
13086,725828,14,45117444,90',Robin Thomasson (GAIS) Substitution at 90',2025-05-22 01:24:39
13086,725834,0,45132349,24',Albin Morfelt (Östers IF) Yellow Card at 24',2025-05-22 01:24:39
13086,725834,1,45132600,66',Tokmac Nguen (Djurgården) Substitution at 66',2025-05-22 01:24:39
13086,725834,2,45132675,75',Niklas Soderberg (Östers IF) Substitution at 75',2025-05-22 01:24:39
13086,725834,3,45132733,81',Isak Alemayehu (Djurgården) Substitution at 81',2025-05-22 01:24:39
13086,725834,4,45132734,81',Theo Bergvall (Djurgården) Substitution at 81',2025-05-22 01:24:39
13086,725834,5,45132735,82',Vladimir Rodic (Östers IF) Substitution at 82',2025-05-22 01:24:39
13086,725834,6,45132736,82',Vincent Poppler (Östers IF) Substitution at 82',2025-05-22 01:24:39
13086,725834,7,45132769,87',Mattis Adolfsson (Östers IF) Own Goal at 87',2025-05-22 01:24:39
13086,725834,8,45132780,88',Raymond Adjei (Östers IF) Substitution at 88',2025-05-22 01:24:39
13086,725834,9,45132789,90'+2',Jacob Larsson (Djurgården) Substitution at 92',2025-05-22 01:24:39
13086,725835,0,45127467,11',Ari Sigurpálsson (IF Elfsborg) Goal at 11',2025-05-22 01:24:39
13086,725835,1,45127528,18',Jakob Voelkerling Persson (IK Sirius) Yellow Card at 18',2025-05-22 01:24:39
13086,725835,2,45127598,30',Leo Walta (IK Sirius) Penalty - Scored at 30',2025-05-22 01:24:39
13086,725835,3,45127634,36',Robbie Ure (IK Sirius) Yellow Card at 36',2025-05-22 01:24:39
13086,725835,4,45127645,37',Taylor Silverholt (IF Elfsborg) Goal at 37',2025-05-22 01:24:39
13086,725835,5,45127661,39',Simon Hedlund (IF Elfsborg) Yellow Card at 39',2025-05-22 01:24:39
13086,725835,6,45127994,53',Tobias Carlsson (IK Sirius) Yellow Card at 53',2025-05-22 01:24:39
13086,725835,7,45128017,55',Robbie Ure (IK Sirius) Goal at 55',2025-05-22 01:24:39
13086,725835,8,45128069,59',Simon Sandberg (IK Sirius) Substitution at 59',2025-05-22 01:24:39
13086,725835,9,45128070,59',August Ljungberg (IK Sirius) Substitution at 59',2025-05-22 01:24:39
13086,725835,10,45128139,64',Leo Walta (IK Sirius) Goal at 64',2025-05-22 01:24:39
13086,725835,11,45128161,66',Ludvig Richtnér (IF Elfsborg) Substitution at 66',2025-05-22 01:24:39
13086,725835,12,45128162,66',Frederik Ihler (IF Elfsborg) Substitution at 66',2025-05-22 01:24:39
13086,725835,13,45128189,68',Rasmus Wikstrom (IF Elfsborg) Goal at 68',2025-05-22 01:24:39
13086,725835,14,45128300,75',Marcus Lindberg (IK Sirius) Substitution at 75',2025-05-22 01:24:39
13086,725835,15,45128334,79',Rami Kaib (IF Elfsborg) Substitution at 79',2025-05-22 01:24:39
13086,725835,16,45128383,86',Simon Hedlund (IF Elfsborg) Goal at 86',2025-05-22 01:24:39
13086,725835,17,45128451,86',Bogdan Milovanov (IK Sirius) Substitution at 86',2025-05-22 01:24:39
13086,725836,0,45132357,26',Hlynur Freyr Karlsson (IF Brommapojkarna) Goal at 26',2025-05-22 01:24:39
13086,725836,1,45132485,45',Rasmus Niklasson Petrovic (GAIS) Substitution at 45',2025-05-22 01:24:39
13086,725836,2,45132490,45',Amin Boudri (GAIS) Substitution at 45',2025-05-22 01:24:39
13086,725836,3,45132547,58',Ibrahim Diabate (GAIS) Goal at 58',2025-05-22 01:24:39
13086,725836,4,45132581,63',Anton Kurochkin (IF Brommapojkarna) Substitution at 63',2025-05-22 01:24:39
13086,725836,5,45132666,74',Lucas Hedlund (GAIS) Substitution at 74',2025-05-22 01:24:39
13086,725836,6,45132667,74',William Milovanovic (GAIS) Substitution at 74',2025-05-22 01:24:39
13086,725836,7,45132676,74',Adam Jakobsen (IF Brommapojkarna) Substitution at 74',2025-05-22 01:24:39
13086,725836,8,45132691,77',August Wängberg (GAIS) Yellow Card at 77',2025-05-22 01:24:39
13086,725836,9,45132761,86',Jonas Lindberg (GAIS) Substitution at 86',2025-05-22 01:24:39
13086,725836,10,45132768,87',Robin Thomasson (GAIS) Red Card at 87',2025-05-22 01:24:39
13086,725836,11,45132795,90'+2',Nabil Bahoui (IF Brommapojkarna) Substitution at 92',2025-05-22 01:24:39
13086,725836,12,45132808,90'+3',Harun Ibrahim (GAIS) Yellow Card at 93',2025-05-22 01:24:39
13086,725837,0,45127445,8',Yannick Agnero (Halmstads BK) Yellow Card at 8',2025-05-22 01:24:39
13086,725837,1,45127580,24',Nicklas Rojkjaer (Mjällby AIF) Goal at 24',2025-05-22 01:24:39
13086,725837,2,45127581,25',Naeem Mohammed (Halmstads BK) Substitution at 25',2025-05-22 01:24:39
13086,725837,3,45127719,45',Yannick Agnero (Halmstads BK) Goal at 45',2025-05-22 01:24:39
13086,725837,4,45127918,45',Viktor Gustafson (Mjällby AIF) Substitution at 45',2025-05-22 01:24:39
13086,725837,5,45128050,54',Abdoulie Manneh (Mjällby AIF) Goal at 54',2025-05-22 01:24:39
13086,725837,6,45128101,58',Blair Turgott (Halmstads BK) Substitution at 58',2025-05-22 01:24:39
13086,725837,7,45128262,70',Bork Bang-Kittilsen (Mjällby AIF) Substitution at 70',2025-05-22 01:24:39
13086,725837,8,45128302,73',Herman Johansson (Mjällby AIF) Goal at 73',2025-05-22 01:24:39
13086,725837,9,45128360,78',Gabriel Wallentin (Halmstads BK) Yellow Card at 78',2025-05-22 01:24:39
13086,725837,10,45128361,79',Calvin Kabuye (Mjällby AIF) Substitution at 79',2025-05-22 01:24:39
13086,725837,11,45128362,79',Romeo Leandersson (Mjällby AIF) Substitution at 79',2025-05-22 01:24:39
13086,725837,12,45128419,87',Mans Andersson (Halmstads BK) Substitution at 87',2025-05-22 01:24:39
13086,725837,13,45128420,88',Erik Arvidsson (Halmstads BK) Substitution at 88',2025-05-22 01:24:39
13086,725837,14,45128421,88',Aleksander Nilsson (Halmstads BK) Substitution at 88',2025-05-22 01:24:39
13086,725837,15,45128440,90',Ludvig Tidstrand (Mjällby AIF) Substitution at 90',2025-05-22 01:24:39
13086,725837,16,45128469,90'+1',Elliot Stroud (Mjällby AIF) Yellow Card at 91',2025-05-22 01:24:39
13086,725838,0,45127452,9',Lasser Berg Johnsen (Malmö FF) Yellow Card at 9',2025-05-22 01:24:39
