seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13477,756214,0,-1,,Lineups are announced and players are warming up.,2025-08-21 04:57:20
13477,756214,1,45706752,,First Half begins.,2025-08-21 04:57:20
13477,756214,2,45711241,3',Attempt blocked. Danilo (Rangers) right footed shot from outside the box is blocked.,2025-08-21 04:57:20
13477,756214,3,45706781,3',"Goal! Rangers 0, Club Brugge 1. Romeo Vermant (Club Brugge) right footed shot from outside the box to the centre of the goal. Assisted by Christos Tzolis following a fast break.",2025-08-21 04:57:20
13477,756214,4,45711245,4',"Corner,Rangers. Conceded by Kyriani Sabbe.",2025-08-21 04:57:20
13477,756214,5,45711251,5',Christos Tzolis (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,6,45711251,5',Foul by Mohamed Diomande (Rangers).,2025-08-21 04:57:20
13477,756214,7,45711254,6',Christos Tzolis (Club Brugge) wins a free kick on the left wing.,2025-08-21 04:57:20
13477,756214,8,45711254,6',Foul by Max Aarons (Rangers).,2025-08-21 04:57:20
13477,756214,9,-1,6',"Corner,Club Brugge. Conceded by Jayden Meghoma.",2025-08-21 04:57:20
13477,756214,10,45706822,7',"Goal! Rangers 0, Club Brugge 2. Jorne Spileers (Club Brugge) right footed shot from the centre of the box to the bottom left corner. Assisted by Christos Tzolis with a cross following a corner.",2025-08-21 04:57:20
13477,756214,11,45711264,9',"Corner,Club Brugge. Conceded by John Souttar.",2025-08-21 04:57:20
13477,756214,12,45711266,9',"Offside, Club Brugge. Jorne Spileers is caught offside.",2025-08-21 04:57:20
13477,756214,13,45711275,13',Foul by Nicolas Raskin (Rangers).,2025-08-21 04:57:20
13477,756214,14,45711275,13',Raphael Onyedika (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,15,-1,14',Delay in match because of an injury Romeo Vermant (Club Brugge).,2025-08-21 04:57:20
13477,756214,16,-1,15',Delay over. They are ready to continue.,2025-08-21 04:57:20
13477,756214,17,45711280,17',"Corner,Club Brugge. Conceded by John Souttar.",2025-08-21 04:57:20
13477,756214,18,-1,18',"Corner,Club Brugge. Conceded by Nicolas Raskin.",2025-08-21 04:57:20
13477,756214,19,45706955,20',"Goal! Rangers 0, Club Brugge 3. Brandon Mechele (Club Brugge) right footed shot from outside the box to the bottom left corner.",2025-08-21 04:57:20
13477,756214,20,45706974,22',Attempt missed. Mohamed Diomande (Rangers) left footed shot from a difficult angle and long range on the right misses to the left. Assisted by Oliver Antman.,2025-08-21 04:57:20
13477,756214,21,45707001,24',"Attempt missed. Romeo Vermant (Club Brugge) left footed shot from the centre of the box is close, but misses to the right. Assisted by Joaquin Seys.",2025-08-21 04:57:20
13477,756214,22,45711299,25',Foul by Brandon Mechele (Club Brugge).,2025-08-21 04:57:20
13477,756214,23,45711299,25',Max Aarons (Rangers) wins a free kick in the attacking half.,2025-08-21 04:57:20
13477,756214,24,45707029,26',Joe Rothwell (Rangers) hits the right post with a right footed shot from outside the box from a direct free kick.,2025-08-21 04:57:20
13477,756214,25,45711301,27',"Offside, Club Brugge. Hans Vanaken is caught offside.",2025-08-21 04:57:20
13477,756214,26,45711309,29',Attempt blocked. Mohamed Diomande (Rangers) left footed shot from the centre of the box is blocked. Assisted by Danilo.,2025-08-21 04:57:20
13477,756214,27,-1,29',"Corner,Rangers. Conceded by Brandon Mechele.",2025-08-21 04:57:20
13477,756214,28,45711314,30',Danilo (Rangers) wins a free kick in the attacking half.,2025-08-21 04:57:20
13477,756214,29,45711314,30',Foul by Raphael Onyedika (Club Brugge).,2025-08-21 04:57:20
13477,756214,30,45707093,32',Attempt missed. Djeidi Gassama (Rangers) right footed shot from the left side of the box misses to the right. Assisted by Joe Rothwell.,2025-08-21 04:57:20
13477,756214,31,45711325,38',Attempt saved. Carlos Forbs (Club Brugge) left footed shot from outside the box is saved in the bottom left corner by Jack Butland (Rangers). Assisted by Joaquin Seys.,2025-08-21 04:57:20
13477,756214,32,-1,38',"Corner,Club Brugge. Conceded by Jack Butland.",2025-08-21 04:57:20
13477,756214,33,-1,39',Delay in match because of an injury Romeo Vermant (Club Brugge).,2025-08-21 04:57:20
13477,756214,34,-1,40',Delay over. They are ready to continue.,2025-08-21 04:57:20
13477,756214,35,45711327,40',Foul by Brandon Mechele (Club Brugge).,2025-08-21 04:57:20
13477,756214,36,45711327,40',Mohamed Diomande (Rangers) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,37,-1,41',"Corner,Rangers. Conceded by Jorne Spileers.",2025-08-21 04:57:20
13477,756214,38,-1,43',"Corner,Rangers. Conceded by Carlos Forbs.",2025-08-21 04:57:20
13477,756214,39,-1,44',Delay in match because of an injury Carlos Forbs (Club Brugge).,2025-08-21 04:57:20
13477,756214,40,-1,44',Delay over. They are ready to continue.,2025-08-21 04:57:20
13477,756214,41,-1,45',Fourth official has announced 4 minutes of added time.,2025-08-21 04:57:20
13477,756214,42,45707263,45'+3',Attempt missed. Christos Tzolis (Club Brugge) right footed shot from the right side of the box misses to the left.,2025-08-21 04:57:20
13477,756214,43,45711335,45'+3',Djeidi Gassama (Rangers) wins a free kick on the left wing.,2025-08-21 04:57:20
13477,756214,44,45711335,45'+3',Foul by Carlos Forbs (Club Brugge).,2025-08-21 04:57:20
13477,756214,45,45711337,45'+4',Foul by Mohamed Diomande (Rangers).,2025-08-21 04:57:20
13477,756214,46,45711337,45'+4',Raphael Onyedika (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,47,-1,45'+5',"First Half ends, Rangers 0, Club Brugge 3.",2025-08-21 04:57:20
13477,756214,48,45707406,45',"Second Half begins Rangers 0, Club Brugge 3.",2025-08-21 04:57:20
13477,756214,49,45707388,45',"Substitution, Club Brugge. Nicolò Tresoldi replaces Romeo Vermant.",2025-08-21 04:57:20
13477,756214,50,45711339,46',Foul by Nicolò Tresoldi (Club Brugge).,2025-08-21 04:57:20
13477,756214,51,45711339,46',Nasser Djiga (Rangers) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,52,45707473,50',"Goal! Rangers 1, Club Brugge 3. Danilo (Rangers) right footed shot from very close range to the centre of the goal. Assisted by Jayden Meghoma with a cross.",2025-08-21 04:57:20
13477,756214,53,45711344,52',Djeidi Gassama (Rangers) wins a free kick on the left wing.,2025-08-21 04:57:20
13477,756214,54,45711344,52',Foul by Kyriani Sabbe (Club Brugge).,2025-08-21 04:57:20
13477,756214,55,45707520,52',Kyriani Sabbe (Club Brugge) is shown the yellow card for a bad foul.,2025-08-21 04:57:20
13477,756214,56,45711346,54',Attempt blocked. Joe Rothwell (Rangers) left footed shot from the centre of the box is blocked.,2025-08-21 04:57:20
13477,756214,57,45711348,54',"Corner,Rangers. Conceded by Carlos Forbs.",2025-08-21 04:57:20
13477,756214,58,45707557,54',Attempt missed. Mohamed Diomande (Rangers) right footed shot from outside the box is high and wide to the right. Assisted by Joe Rothwell following a corner.,2025-08-21 04:57:20
13477,756214,59,45711350,55',"Corner,Club Brugge. Conceded by John Souttar.",2025-08-21 04:57:20
13477,756214,60,45711351,56',"Corner,Club Brugge. Conceded by John Souttar.",2025-08-21 04:57:20
13477,756214,61,-1,57',Attempt saved. Brandon Mechele (Club Brugge) right footed shot from the centre of the box is saved in the bottom right corner by Jack Butland (Rangers). Assisted by Christos Tzolis with a cross.,2025-08-21 04:57:20
13477,756214,62,45711353,57',"Corner,Club Brugge. Conceded by Jack Butland.",2025-08-21 04:57:20
13477,756214,63,45711356,59',"Corner,Club Brugge. Conceded by Nasser Djiga.",2025-08-21 04:57:20
13477,756214,64,45707653,61',Djeidi Gassama (Rangers) hits the right post with a right footed shot from outside the box. Assisted by Mohamed Diomande.,2025-08-21 04:57:20
13477,756214,65,45707670,61',"Substitution, Rangers. Thelo Aasgaard replaces Mohamed Diomande.",2025-08-21 04:57:20
13477,756214,66,45707669,61',"Substitution, Rangers. Hamza Igamane replaces Danilo.",2025-08-21 04:57:20
13477,756214,67,45711359,67',"Corner,Rangers. Conceded by Joaquin Seys.",2025-08-21 04:57:20
13477,756214,68,45708239,67',"Attempt missed. Nasser Djiga (Rangers) left footed shot from the centre of the box is close, but misses to the right. Assisted by Thelo Aasgaard with a headed pass following a corner.",2025-08-21 04:57:20
13477,756214,69,45711362,67',Attempt blocked. Nicolas Raskin (Rangers) right footed shot from the centre of the box is blocked. Assisted by Nasser Djiga.,2025-08-21 04:57:20
13477,756214,70,45711364,68',Attempt saved. Nicolò Tresoldi (Club Brugge) right footed shot from the centre of the box is saved in the centre of the goal by Jack Butland (Rangers). Assisted by Joaquin Seys with a cross.,2025-08-21 04:57:20
13477,756214,71,45711366,69',Foul by Jorne Spileers (Club Brugge).,2025-08-21 04:57:20
13477,756214,72,45711366,69',Hamza Igamane (Rangers) wins a free kick in the attacking half.,2025-08-21 04:57:20
13477,756214,73,45707814,70',"Substitution, Rangers. Mikey Moore replaces Oliver Antman.",2025-08-21 04:57:20
13477,756214,74,45707798,70',"Substitution, Rangers. James Tavernier replaces Jayden Meghoma.",2025-08-21 04:57:20
13477,756214,75,45707821,72',Attempt missed. Mikey Moore (Rangers) right footed shot from the right side of the box is too high. Assisted by Nasser Djiga.,2025-08-21 04:57:20
13477,756214,76,45711376,73',Foul by Raphael Onyedika (Club Brugge).,2025-08-21 04:57:20
13477,756214,77,45711376,73',Hamza Igamane (Rangers) wins a free kick in the attacking half.,2025-08-21 04:57:20
13477,756214,78,45707872,73',"Substitution, Club Brugge. Bjorn Meijer replaces Kyriani Sabbe.",2025-08-21 04:57:20
13477,756214,79,45707852,73',"Substitution, Club Brugge. Hugo Vetlesen replaces Carlos Forbs.",2025-08-21 04:57:20
13477,756214,80,45711382,74',Foul by John Souttar (Rangers).,2025-08-21 04:57:20
13477,756214,81,45711382,74',Nicolò Tresoldi (Club Brugge) wins a free kick in the attacking half.,2025-08-21 04:57:20
13477,756214,82,45707875,74',John Souttar (Rangers) is shown the yellow card for a bad foul.,2025-08-21 04:57:20
13477,756214,83,45711387,75',Christos Tzolis (Club Brugge) wins a free kick on the left wing.,2025-08-21 04:57:20
13477,756214,84,45711387,75',Foul by Max Aarons (Rangers).,2025-08-21 04:57:20
13477,756214,85,45707901,75',Max Aarons (Rangers) is shown the yellow card for a bad foul.,2025-08-21 04:57:20
13477,756214,86,45711396,79',Foul by Djeidi Gassama (Rangers).,2025-08-21 04:57:20
13477,756214,87,45707930,79',GOAL OVERTURNED BY VAR: Djeidi Gassama (Rangers) scores but the goal is ruled out after a VAR review.,2025-08-21 04:57:20
13477,756214,88,45711396,79',Simon Mignolet (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,89,45711399,80',VAR Decision: No Goal Rangers 1-3 Club Brugge.,2025-08-21 04:57:20
13477,756214,90,45711402,81',Aleksandar Stankovic (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,91,45711402,81',Foul by James Tavernier (Rangers).,2025-08-21 04:57:20
13477,756214,92,45707987,82',Attempt missed. Hugo Vetlesen (Club Brugge) right footed shot from the right side of the box is too high. Assisted by Joaquin Seys.,2025-08-21 04:57:20
13477,756214,93,45711417,84',Attempt blocked. Djeidi Gassama (Rangers) right footed shot from the left side of the box is blocked. Assisted by Nicolas Raskin.,2025-08-21 04:57:20
13477,756214,94,-1,84',"Corner,Rangers. Conceded by Hugo Vetlesen.",2025-08-21 04:57:20
13477,756214,95,45711419,85',Foul by Hamza Igamane (Rangers).,2025-08-21 04:57:20
13477,756214,96,45711419,85',Simon Mignolet (Club Brugge) wins a free kick in the defensive half.,2025-08-21 04:57:20
13477,756214,97,45708026,85',"Substitution, Club Brugge. Ludovit Reis replaces Aleksandar Stankovic.",2025-08-21 04:57:20
13477,756214,98,45708027,86',"Substitution, Rangers. Lyall Cameron replaces Joe Rothwell.",2025-08-21 04:57:20
13477,756214,99,-1,87',Delay in match because of an injury Raphael Onyedika (Club Brugge).,2025-08-21 04:57:20
13477,756214,100,-1,87',Delay over. They are ready to continue.,2025-08-21 04:57:20
13477,756214,101,45708063,89',"Substitution, Club Brugge. Mamadou Diakhon replaces Raphael Onyedika because of an injury.",2025-08-21 04:57:20
13477,756214,102,45711428,89',Foul by Christos Tzolis (Club Brugge).,2025-08-21 04:57:20
