seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13317,735391,0,45386008,13',Vuk Vlahovic (Montenegro U19) Goal at 13',2025-06-14 05:26:49
13317,735391,1,45386027,41',Bojan Damjanovic (Montenegro U19) Yellow Card at 41',2025-06-14 05:26:49
13317,735391,2,45386028,58',Danilo Cetkovic (Montenegro U19) Substitution at 58',2025-06-14 05:26:49
13317,735391,3,45386029,60',Vuk Vlahovic (Montenegro U19) Yellow Card at 60',2025-06-14 05:26:49
13317,735391,4,45386030,61',Luca Basceanu (Romania U19) Substitution at 61',2025-06-14 05:26:49
13317,735391,5,45386031,61',David Barbu (Romania U19) Substitution at 61',2025-06-14 05:26:49
13317,735391,6,45386032,61',Vlad Danciutiu (Romania U19) Substitution at 61',2025-06-14 05:26:49
13317,735391,7,45386033,63',Emanuel-Pavel Marincau (Romania U19) Goal at 63',2025-06-14 05:26:49
13317,735391,8,45386034,74',Filip Perovic (Montenegro U19) Substitution at 74',2025-06-14 05:26:49
13317,735391,9,45386035,75',Remus Gutea (Romania U19) Substitution at 75',2025-06-14 05:26:49
13317,735391,10,45386036,79',Mario Baraitaru (Romania U19) Substitution at 79',2025-06-14 05:26:49
13317,735391,11,45386037,83',Lazar Sekularac (Montenegro U19) Substitution at 83',2025-06-14 05:26:49
13317,735391,12,45386038,90',David Barbu (Romania U19) Goal at 90',2025-06-14 05:26:49
13317,735392,0,45385975,45',Oscar Gadeberg-Buur (Denmark U19) Own Goal at 45',2025-06-14 05:26:49
13317,735392,1,45385976,57',Villum Berthelsen (Denmark U19) Substitution at 57',2025-06-14 05:26:49
13317,735392,2,45385978,69',Alejandro Granados (Spain U19) Substitution at 69',2025-06-14 05:26:49
13317,735392,3,45385979,70',Peio Huestamendia (Spain U19) Substitution at 70',2025-06-14 05:26:49
13317,735392,4,45385980,70',Mathias Kaarsbo (Denmark U19) Substitution at 70',2025-06-14 05:26:49
13317,735392,5,45385981,70',Nikolaj Juul-Sandberg (Denmark U19) Substitution at 70',2025-06-14 05:26:49
13317,735392,6,45385982,71',Frederik Emmery (Denmark U19) Substitution at 71',2025-06-14 05:26:49
13317,735392,7,45385984,77',Alejandro Granados (Spain U19) Yellow Card at 77',2025-06-14 05:26:49
13317,735392,8,45385986,79',Mathias Kaarsbo (Denmark U19) Yellow Card at 79',2025-06-14 05:26:49
13317,735392,9,45385987,83',Quim Junyent (Spain U19) Substitution at 83',2025-06-14 05:26:49
13317,735392,10,45385988,83',Jan Virgili (Spain U19) Substitution at 83',2025-06-14 05:26:49
13317,735392,11,45385989,86',Jonathan Agyekum (Denmark U19) Substitution at 86',2025-06-14 05:26:49
13317,735392,12,45385990,90'+1',Gonzalo Pastor (Spain U19) Substitution at 91',2025-06-14 05:26:49
13317,735393,0,45387669,11',Tom Watson (England U19) Goal at 11',2025-06-15 05:11:35
13317,735393,1,45387670,18',Alexander Røssing-Lelesiit (Norway U19) Goal at 18',2025-06-15 05:11:35
13317,735393,2,45387671,24',Kadan Young (England U19) Yellow Card at 24',2025-06-15 05:11:35
13317,735393,3,45387672,45',Sondre Granaas (Norway U19) Goal at 45',2025-06-15 05:11:35
13317,735393,4,45387673,45',Caleb Kporha (England U19) Substitution at 45',2025-06-15 05:11:35
13317,735393,5,45387674,56',Troy Nyhammer (Norway U19) Substitution at 56',2025-06-15 05:11:35
13317,735393,6,45387675,60',Josh King (England U19) Yellow Card at 60',2025-06-15 05:11:35
13317,735393,7,45387676,65',Karsten Ekorness (Norway U19) Substitution at 65',2025-06-15 05:11:35
13317,735393,8,45387677,65',Sigurd Jacobsen Prestmo (Norway U19) Substitution at 65',2025-06-15 05:11:35
13317,735393,9,45387678,75',Jesse Derry (England U19) Substitution at 75',2025-06-15 05:11:35
13317,735393,10,45387679,76',Samuel Amo-Ameyaw (England U19) Substitution at 76',2025-06-15 05:11:35
13317,735393,11,45387680,78',Jonathan Norbye (Norway U19) Yellow Card at 78',2025-06-27 04:57:58
13317,735393,12,45387681,80',Mikey Moore (England U19) Penalty - Scored at 80',2025-06-15 05:11:35
13317,735393,13,45387682,81',Magnus Holte (Norway U19) Substitution at 81',2025-06-15 05:11:35
13317,735393,14,45387683,82',Fillip Botnen (Norway U19) Substitution at 82',2025-06-15 05:11:35
13317,735393,15,45387684,82',Ethan Wheatley (England U19) Substitution at 82',2025-06-15 05:11:35
13317,735393,16,45387685,87',Joseph Johnson (England U19) Substitution at 87',2025-06-15 05:11:35
13317,735394,0,45387723,43',Ayoub Oufkir (Netherlands U19) Goal at 43',2025-06-15 05:11:35
13317,735394,1,45387728,45'+4',Leopold Wurm (Germany U19) Substitution at 49',2025-06-15 05:11:35
13317,735394,2,45387751,45',Kasper Boogaard (Netherlands U19) Substitution at 45',2025-06-15 05:11:35
13317,735394,3,45387762,59',Assan Ouédraogo (Germany U19) Substitution at 59',2025-06-15 05:11:35
13317,735394,4,45387765,66',Owen Panneflek (Netherlands U19) Substitution at 66',2025-06-15 05:11:35
13317,735394,5,45387771,79',Charles Herrmann (Germany U19) Substitution at 79',2025-06-15 05:11:35
13317,735394,6,45387772,79',Jarzinho Malanga (Germany U19) Substitution at 79',2025-06-15 05:11:35
13317,735394,7,45387792,89',Sven Van Der Plas (Netherlands U19) Substitution at 89',2025-06-15 05:11:35
13317,735394,8,45387793,90'+1',Ayoub Oufkir (Netherlands U19) Goal at 91',2025-06-15 05:11:35
13317,735394,9,45392777,90'+2',Lucas Vennegoor Of Hesselink (Netherlands U19) Yellow Card at 92',2025-06-16 05:09:33
13317,735394,10,45387797,90'+3',Kees Smit (Netherlands U19) Goal at 93',2025-06-16 05:09:33
13317,735395,0,45397778,3',Antonio Cordero (Spain U19) Goal at 3',2025-06-17 05:08:26
13317,735395,1,45397779,7',Daniel Muñoz (Spain U19) Yellow Card at 7',2025-06-17 05:08:26
13317,735395,2,45397780,23',David Matei (Romania U19) Yellow Card at 23',2025-06-17 05:08:26
13317,735395,3,45397781,43',Ionut Cercel (Romania U19) Substitution at 43',2025-06-17 05:08:26
13317,735395,4,45397782,45'+3',Izan Merino (Spain U19) Yellow Card at 48',2025-06-17 05:08:26
13317,735395,5,45397784,45',Remus Gutea (Romania U19) Substitution at 45',2025-06-17 05:08:26
13317,735395,6,45397785,45',David Pacuraru (Romania U19) Substitution at 45',2025-06-17 05:08:26
