seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13694,757965,0,-1,,Lineups are announced and players are warming up.,2025-10-03 05:15:55
13694,757965,1,-1,,First Half begins.,2025-10-03 05:15:55
13694,757965,2,46044564,1',"Offside, Rapid Vienna. Claudy Mbuyi is caught offside.",2025-10-03 05:15:55
13694,757965,3,46044741,7',Handball by Lukas Grgic (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,4,46044883,11',Attempt missed. Mikael Ishak (Lech Poznan) left footed shot from the centre of the box is too high. Assisted by Kornel Lisman with a headed pass.,2025-10-03 05:15:55
13694,757965,5,46044956,13',"Goal! Lech Poznan 1, Rapid Vienna 0. Luis Palma (Lech Poznan) right footed shot from the centre of the box to the bottom right corner.",2025-10-03 05:15:55
13694,757965,6,46045014,16',Foul by Bendegúz Bolla (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,7,46045014,16',Luis Palma (Lech Poznan) wins a free kick on the left wing.,2025-10-03 05:15:55
13694,757965,8,46045103,17',Attempt blocked. Claudy Mbuyi (Rapid Vienna) left footed shot from outside the box is blocked. Assisted by Nikolaus Wurmbrand.,2025-10-03 05:15:55
13694,757965,9,46045180,20',Filip Jagiello (Lech Poznan) wins a free kick on the left wing.,2025-10-03 05:15:55
13694,757965,10,46045180,20',Foul by Andrija Radulovic (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,11,46045188,21',Attempt saved. Luis Palma (Lech Poznan) right footed shot from long range on the left is saved in the centre of the goal by Niklas Hedl (Rapid Vienna). Assisted by Michal Gurgul.,2025-10-03 05:15:55
13694,757965,12,46045184,21',"Goal! Lech Poznan 2, Rapid Vienna 0. Mikael Ishak (Lech Poznan) right footed shot from the centre of the box to the bottom right corner.",2025-10-03 05:15:55
13694,757965,13,46045266,23',Foul by Tobias Gulliksen (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,14,46045266,23',Joel Pereira (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,15,46045301,25',Attempt missed. Nikolaus Wurmbrand (Rapid Vienna) right footed shot from the left side of the box is too high. Assisted by Jannes Horn.,2025-10-04 05:15:19
13694,757965,16,-1,26',Delay in match because of an injury Mikael Ishak (Lech Poznan).,2025-10-03 05:15:55
13694,757965,17,-1,26',Delay over. They are ready to continue.,2025-10-03 05:15:55
13694,757965,18,46045518,30',Attempt blocked. Luis Palma (Lech Poznan) right footed shot from the right side of the box is blocked. Assisted by Michal Gurgul.,2025-10-03 05:15:55
13694,757965,19,-1,30',Penalty conceded by Ange Ahoussou (Rapid Vienna) with a handball in the penalty area.,2025-10-03 05:15:55
13694,757965,20,46045559,32',VAR Decision: Penalty Lech Poznan.,2025-10-04 05:15:19
13694,757965,21,46045642,34',Penalty saved. Mikael Ishak (Lech Poznan) right footed shot saved in the bottom left corner by Niklas Hedl (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,22,46045644,34',"Corner, Lech Poznan. Conceded by Niklas Hedl.",2025-10-04 05:15:19
13694,757965,23,46045663,35',Mikael Ishak (Lech Poznan) hits the left post with a right footed shot from outside the box. Assisted by Joel Pereira.,2025-10-03 05:15:55
13694,757965,24,46045723,37',Foul by Timothy Ouma (Lech Poznan).,2025-10-04 05:15:19
13694,757965,25,46045723,37',Tobias Gulliksen (Rapid Vienna) wins a free kick in the attacking half.,2025-10-04 05:15:19
13694,757965,26,46045810,39',Filip Jagiello (Lech Poznan) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,27,46045810,39',Foul by Romeo Amané (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,28,46045848,40',Attempt saved. Antonio Milic (Lech Poznan) header from the centre of the box is saved in the centre of the goal by Niklas Hedl (Rapid Vienna). Assisted by Luis Palma.,2025-10-03 05:15:55
13694,757965,29,46045851,41',Attempt missed. Taofeek Ismaheel (Lech Poznan) right footed shot from outside the box misses to the left. Assisted by Kornel Lisman.,2025-10-04 05:15:19
13694,757965,30,46045897,42',Foul by Bendegúz Bolla (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,31,46045897,42',Kornel Lisman (Lech Poznan) wins a free kick on the left wing.,2025-10-03 05:15:55
13694,757965,32,46045939,44',Bendegúz Bolla (Rapid Vienna) wins a free kick on the right wing.,2025-10-03 05:15:55
13694,757965,33,46045939,44',Foul by Taofeek Ismaheel (Lech Poznan).,2025-10-03 05:15:55
13694,757965,34,46046008,45',Foul by Bendegúz Bolla (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,35,46046008,45',Mikael Ishak (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,36,-1,45',Fourth official has announced 2 minutes of added time.,2025-10-04 05:15:19
13694,757965,37,46046077,45'+1',Attempt blocked. Claudy Mbuyi (Rapid Vienna) header from the centre of the box is blocked. Assisted by Jannes Horn with a cross.,2025-10-03 05:15:55
13694,757965,38,46046025,45'+1',Foul by Romeo Amané (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,39,46046025,45'+1',Taofeek Ismaheel (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,40,46046083,45'+2',"Goal! Lech Poznan 3, Rapid Vienna 0. Taofeek Ismaheel (Lech Poznan) right footed shot from the centre of the box to the bottom right corner. Assisted by Luis Palma.",2025-10-03 05:15:55
13694,757965,41,-1,45'+3',"First Half ends, Lech Poznan 3, Rapid Vienna 0.",2025-10-03 05:15:55
13694,757965,42,-1,45',"Second Half begins Lech Poznan 3, Rapid Vienna 0.",2025-10-03 05:15:55
13694,757965,43,46046197,45',"Substitution, Rapid Vienna. Marco Tilio replaces Nikolaus Wurmbrand.",2025-10-03 05:15:55
13694,757965,44,46046334,50',Attempt missed. Filip Jagiello (Lech Poznan) right footed shot from outside the box misses to the right. Assisted by Taofeek Ismaheel.,2025-10-04 05:15:19
13694,757965,45,46046390,52',"Corner, Rapid Vienna. Conceded by Joel Pereira.",2025-10-03 05:15:55
13694,757965,46,46046475,53',Foul by Tobias Gulliksen (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,47,46046475,53',Luis Palma (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,48,46046477,53',"Corner, Rapid Vienna. Conceded by Antonio Milic.",2025-10-03 05:15:55
13694,757965,49,46046556,54',Attempt blocked. Ange Ahoussou (Rapid Vienna) header from a difficult angle on the right is blocked. Assisted by Andrija Radulovic with a cross.,2025-10-03 05:15:55
13694,757965,50,46046479,54',"Corner, Rapid Vienna. Conceded by Michal Gurgul.",2025-10-03 05:15:55
13694,757965,51,46046613,54',Attempt blocked. Tobias Gulliksen (Rapid Vienna) right footed shot from outside the box is blocked. Assisted by Romeo Amané.,2025-10-03 05:15:55
13694,757965,52,46046560,55',Foul by Lukas Grgic (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,53,46046560,55',Timothy Ouma (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,54,46046688,58',"Offside, Rapid Vienna. Claudy Mbuyi is caught offside.",2025-10-03 05:15:55
13694,757965,55,46046714,59',Foul by Lukas Grgic (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,56,46046714,59',Luis Palma (Lech Poznan) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,57,46046841,62',Attempt saved. Filip Jagiello (Lech Poznan) right footed shot from outside the box is saved in the bottom left corner by Niklas Hedl (Rapid Vienna). Assisted by Joel Pereira.,2025-10-03 05:15:55
13694,757965,58,46046913,64',"Goal! Lech Poznan 3, Rapid Vienna 1. Andrija Radulovic (Rapid Vienna) right footed shot from the centre of the box to the high centre of the goal. Assisted by Jannes Horn with a cross.",2025-10-04 05:15:19
13694,757965,59,46046953,65',"Substitution, Rapid Vienna. Ercan Kara replaces Claudy Mbuyi.",2025-10-03 05:15:55
13694,757965,60,46046954,65',"Substitution, Rapid Vienna. Martin Ndzie replaces Lukas Grgic.",2025-10-03 05:15:55
13694,757965,61,46047019,66',Attempt blocked. Marco Tilio (Rapid Vienna) left footed shot from the centre of the box is blocked.,2025-10-03 05:15:55
13694,757965,62,46047021,67',"Corner, Rapid Vienna. Conceded by Filip Jagiello.",2025-10-03 05:15:55
13694,757965,63,46047023,67',Attempt missed. Bendegúz Bolla (Rapid Vienna) right footed shot from the right side of the box is too high. Assisted by Andrija Radulovic following a corner.,2025-10-03 05:15:55
13694,757965,64,46047024,68',"Substitution, Lech Poznan. Antoni Kozubal replaces Filip Jagiello.",2025-10-03 05:15:55
13694,757965,65,46047057,68',"Substitution, Lech Poznan. Mateusz Skrzypczak replaces Antonio Milic.",2025-10-03 05:15:55
13694,757965,66,46047058,68',"Substitution, Lech Poznan. Yannick Agnero replaces Mikael Ishak.",2025-10-03 05:15:55
13694,757965,67,46047059,69',Foul by Yannick Agnero (Lech Poznan).,2025-10-03 05:15:55
13694,757965,68,46047059,69',Marco Tilio (Rapid Vienna) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,69,-1,70',Delay in match because of an injury Jannes Horn (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,70,-1,71',Delay over. They are ready to continue.,2025-10-03 05:15:55
13694,757965,71,46047172,71',Attempt saved. Antoni Kozubal (Lech Poznan) left footed shot from outside the box is saved in the top left corner by Niklas Hedl (Rapid Vienna). Assisted by Taofeek Ismaheel.,2025-10-03 05:15:55
13694,757965,72,46047221,71',Ercan Kara (Rapid Vienna) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,73,46047221,71',Foul by Mateusz Skrzypczak (Lech Poznan).,2025-10-03 05:15:55
13694,757965,74,46047352,74',"Offside, Rapid Vienna. Ercan Kara is caught offside.",2025-10-03 05:15:55
13694,757965,75,46047373,76',"Substitution, Lech Poznan. Leo Bengtsson replaces Kornel Lisman.",2025-10-03 05:15:55
13694,757965,76,46047410,77',"Goal! Lech Poznan 4, Rapid Vienna 1. Leo Bengtsson (Lech Poznan) left footed shot from the centre of the box to the bottom right corner. Assisted by Taofeek Ismaheel following a fast break.",2025-10-03 05:15:55
13694,757965,77,-1,79',Delay in match because of an injury Taofeek Ismaheel (Lech Poznan).,2025-10-03 05:15:55
13694,757965,78,46047503,79',"Substitution, Rapid Vienna. Louis Schaub replaces Romeo Amané.",2025-10-03 05:15:55
13694,757965,79,46047504,79',"Substitution, Rapid Vienna. Furkan Demir replaces Jannes Horn.",2025-10-03 05:15:55
13694,757965,80,-1,80',Delay over. They are ready to continue.,2025-10-03 05:15:55
13694,757965,81,46047546,81',"Substitution, Lech Poznan. Bryan Fiabema replaces Taofeek Ismaheel because of an injury.",2025-10-03 05:15:55
13694,757965,82,46047585,82',"Corner, Lech Poznan. Conceded by Furkan Demir.",2025-10-03 05:15:55
13694,757965,83,46047638,84',Foul by Joel Pereira (Lech Poznan).,2025-10-03 05:15:55
13694,757965,84,46047638,84',Tobias Gulliksen (Rapid Vienna) wins a free kick on the left wing.,2025-10-03 05:15:55
13694,757965,85,46047693,84',Joel Pereira (Lech Poznan) is shown the yellow card for a bad foul.,2025-10-03 05:15:55
13694,757965,86,46047696,85',Attempt saved. Marco Tilio (Rapid Vienna) left footed shot from outside the box is saved in the centre of the goal by Bartosz Mrozek (Lech Poznan). Assisted by Bendegúz Bolla.,2025-10-03 05:15:55
13694,757965,87,46047734,85',Foul by Andrija Radulovic (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,88,46047734,85',Michal Gurgul (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,89,46047796,86',Foul by Martin Ndzie (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,90,46047796,86',Luis Palma (Lech Poznan) wins a free kick on the right wing.,2025-10-03 05:15:55
13694,757965,91,46047798,87',Antoni Kozubal (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,92,46047798,87',Foul by Martin Ndzie (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,93,46047799,87',Martin Ndzie (Rapid Vienna) is shown the yellow card for a bad foul.,2025-10-03 05:15:55
13694,757965,94,46047848,88',Foul by Timothy Ouma (Lech Poznan).,2025-10-03 05:15:55
13694,757965,95,46047848,88',Marco Tilio (Rapid Vienna) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,96,46047849,88',Timothy Ouma (Lech Poznan) is shown the yellow card for a bad foul.,2025-10-03 05:15:55
13694,757965,97,46047873,89',Foul by Timothy Ouma (Lech Poznan).,2025-10-03 05:15:55
13694,757965,98,46047873,89',Louis Schaub (Rapid Vienna) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,99,-1,90',Fourth official has announced 5 minutes of added time.,2025-10-04 05:15:19
13694,757965,100,46047936,90'+1',Ange Ahoussou (Rapid Vienna) wins a free kick on the left wing.,2025-10-03 05:15:55
13694,757965,101,46047936,90'+1',Foul by Luis Palma (Lech Poznan).,2025-10-03 05:15:55
13694,757965,102,46048017,90'+3',Attempt missed. Antoni Kozubal (Lech Poznan) right footed shot from outside the box is high and wide to the right. Assisted by Bryan Fiabema.,2025-10-04 05:15:19
13694,757965,103,46048089,90'+4',Antoni Kozubal (Lech Poznan) wins a free kick on the right wing.,2025-10-03 05:15:55
13694,757965,104,46048089,90'+4',Foul by Martin Ndzie (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,105,46048128,90'+4',Yannick Agnero (Lech Poznan) hits the bar with a header from the centre of the box. Assisted by Joel Pereira with a cross following a set piece situation.,2025-10-03 05:15:55
13694,757965,106,46048201,90'+4',Attempt blocked. Antoni Kozubal (Lech Poznan) header from very close range is blocked.,2025-10-03 05:15:55
13694,757965,107,46048202,90'+4',Attempt blocked. Antoni Kozubal (Lech Poznan) left footed shot from the right side of the six yard box is blocked.,2025-10-03 05:15:55
13694,757965,108,46048130,90'+5',Foul by Marco Tilio (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,109,46048130,90'+5',Luis Palma (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,110,46048132,90'+5',Foul by Bryan Fiabema (Lech Poznan).,2025-10-03 05:15:55
13694,757965,111,46048132,90'+5',Furkan Demir (Rapid Vienna) wins a free kick in the attacking half.,2025-10-03 05:15:55
13694,757965,112,46048133,90'+5',Bryan Fiabema (Lech Poznan) is shown the yellow card for a bad foul.,2025-10-03 05:15:55
13694,757965,113,46048160,90'+6',Foul by Marco Tilio (Rapid Vienna).,2025-10-03 05:15:55
13694,757965,114,46048160,90'+6',Michal Gurgul (Lech Poznan) wins a free kick in the defensive half.,2025-10-03 05:15:55
13694,757965,115,-1,90'+6',"Second Half ends, Lech Poznan 4, Rapid Vienna 1.",2025-10-03 05:15:55
