seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13688,757797,0,-1,,Lineups are announced and players are warming up.,2025-09-25 05:17:44
13688,757797,1,45965301,,First Half begins.,2025-09-25 05:17:44
13688,757797,2,45965328,2',Andrija Zivkovic (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,3,45965328,2',Foul by Kristijan Belic (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,4,45965343,4',Attempt blocked. Taison (PAOK Salonika) header from outside the box is blocked. Assisted by Giannis Konstantelias.,2025-09-25 05:17:44
13688,757797,5,45965341,4',Attempt blocked. Taison (PAOK Salonika) left footed shot from the left side of the box is blocked.,2025-09-25 05:17:44
13688,757797,6,45965336,4',"Corner, PAOK Salonika. Conceded by Tyrese Asante.",2025-09-25 05:17:44
13688,757797,7,45965345,5',Foul by Giannis Konstantelias (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,8,45965345,5',Kervin Andrade (Maccabi Tel Aviv) wins a free kick in the attacking half.,2025-09-25 05:17:44
13688,757797,9,45965359,6',"Attempt missed. Dor Peretz (Maccabi Tel Aviv) right footed shot from the centre of the box is close, but misses to the left. Assisted by Osher Davida with a cross following a set piece situation.",2025-09-25 05:17:44
13688,757797,10,45965361,7',Foul by Osher Davida (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,11,45965361,7',Giannis Konstantelias (PAOK Salonika) wins a free kick on the left wing.,2025-09-25 05:17:44
13688,757797,12,45965393,10',Foul by Kristijan Belic (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,13,45965393,10',Soualiho Meïté (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,14,45965400,11',Foul by Magomed Ozdoev (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,15,45965400,11',Sagiv Jehezkel (Maccabi Tel Aviv) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,16,45965404,12',Attempt saved. Andrija Zivkovic (PAOK Salonika) left footed shot from outside the box is saved in the centre of the goal by Roi Mishpati (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,17,45965420,13',Andrija Zivkovic (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,18,45965420,13',Foul by Sagiv Jehezkel (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,19,45965445,16',"Attempt missed. Taison (PAOK Salonika) right footed shot from the centre of the box is close, but misses to the right. Assisted by Magomed Ozdoev with a cross.",2025-09-25 05:17:44
13688,757797,20,45965476,18',Attempt saved. Sagiv Jehezkel (Maccabi Tel Aviv) right footed shot from outside the box is saved in the bottom right corner by Jirí Pavlenka (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,21,45965453,18',"Corner, Maccabi Tel Aviv. Conceded by Jirí Pavlenka.",2025-09-25 05:17:44
13688,757797,22,45965491,21',Attempt saved. Dor Peretz (Maccabi Tel Aviv) left footed shot from the centre of the box is saved in the bottom right corner by Jirí Pavlenka (PAOK Salonika). Assisted by Kervin Andrade.,2025-09-25 05:17:44
13688,757797,23,45965500,22',Attempt missed. Giorgos Giakoumakis (PAOK Salonika) right footed shot from outside the box is too high.,2025-09-25 05:17:44
13688,757797,24,45965517,23',Foul by Magomed Ozdoev (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,25,45965517,23',Kristijan Belic (Maccabi Tel Aviv) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,26,45965531,24',Foul by Jonjoe Kenny (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,27,45965531,24',Sagiv Jehezkel (Maccabi Tel Aviv) wins a free kick in the attacking half.,2025-09-25 05:17:44
13688,757797,28,45965532,24',Jonjoe Kenny (PAOK Salonika) is shown the yellow card for a bad foul.,2025-09-25 05:17:44
13688,757797,29,-1,24',Delay in match because of an injury Sagiv Jehezkel (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,30,-1,25',Delay over. They are ready to continue.,2025-09-25 05:17:44
13688,757797,31,45965541,26',Attempt missed. Roy Revivo (Maccabi Tel Aviv) right footed shot from the left side of the box is high and wide to the right. Assisted by Dor Peretz following a set piece situation.,2025-09-25 05:17:44
13688,757797,32,45965542,26',Attempt missed. Osher Davida (Maccabi Tel Aviv) left footed shot from outside the box is too high.,2025-09-25 05:17:44
13688,757797,33,45965552,27',Attempt missed. Andrija Zivkovic (PAOK Salonika) left footed shot from outside the box is high and wide to the left. Assisted by Magomed Ozdoev.,2025-09-25 05:17:44
13688,757797,34,45965576,29',Attempt blocked. Sagiv Jehezkel (Maccabi Tel Aviv) right footed shot from the left side of the box is blocked. Assisted by Raz Shlomo.,2025-09-25 05:17:44
13688,757797,35,45965578,29',Foul by Giorgos Giakoumakis (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,36,45965578,29',Mohamed Ali Camara (Maccabi Tel Aviv) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,37,45965620,30',Attempt blocked. Roy Revivo (Maccabi Tel Aviv) left footed shot from the left side of the box is blocked. Assisted by Sagiv Jehezkel.,2025-09-25 05:17:44
13688,757797,38,45965596,30',Foul by Andrija Zivkovic (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,39,45965596,30',Roy Revivo (Maccabi Tel Aviv) wins a free kick on the left wing.,2025-09-25 05:17:44
13688,757797,40,45965607,31',Foul by Dor Peretz (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,41,45965607,31',Soualiho Meïté (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,42,45965621,32',Attempt blocked. Andrija Zivkovic (PAOK Salonika) left footed shot from the right side of the box is blocked. Assisted by Taison.,2025-09-25 05:17:44
13688,757797,43,45965641,34',Foul by Roy Revivo (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,44,45965641,34',Jonjoe Kenny (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,45,45965670,35',Foul by Magomed Ozdoev (PAOK Salonika).,2025-09-25 05:17:44
13688,757797,46,45965670,35',Kristijan Belic (Maccabi Tel Aviv) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,47,45965684,35',"Offside, Maccabi Tel Aviv. Roy Revivo is caught offside.",2025-09-25 05:17:44
13688,757797,48,45965666,35',GOAL OVERTURNED BY VAR: Dor Peretz (Maccabi Tel Aviv) scores but the goal is ruled out after a VAR review.,2025-09-25 05:17:44
13688,757797,49,45965677,37',VAR Decision: No Goal PAOK Salonika 0-0 Maccabi Tel Aviv.,2025-09-25 05:17:44
13688,757797,50,45965686,37',Foul by Issouf Sissokho (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,51,45965686,37',Taison (PAOK Salonika) wins a free kick in the attacking half.,2025-09-25 05:17:44
13688,757797,52,45965687,37',Issouf Sissokho (Maccabi Tel Aviv) is shown the yellow card for a bad foul.,2025-09-25 05:17:44
13688,757797,53,45965689,39',Foul by Tyrese Asante (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,54,45965689,39',Taison (PAOK Salonika) wins a free kick on the left wing.,2025-09-25 05:17:44
13688,757797,55,45965695,40',"Corner, PAOK Salonika. Conceded by Sagiv Jehezkel.",2025-09-25 05:17:44
13688,757797,56,45965713,41',Attempt missed. Giorgos Giakoumakis (PAOK Salonika) header from the centre of the box misses to the left. Assisted by Jonjoe Kenny with a cross.,2025-09-25 05:17:44
13688,757797,57,45965714,41',"Corner, PAOK Salonika. Conceded by Osher Davida.",2025-09-25 05:17:44
13688,757797,58,45965731,43',Foul by Osher Davida (Maccabi Tel Aviv).,2025-09-25 05:17:44
13688,757797,59,45965731,43',Jirí Pavlenka (PAOK Salonika) wins a free kick in the defensive half.,2025-09-25 05:17:44
13688,757797,60,-1,45',Fourth official has announced 2 minutes of added time.,2025-09-25 05:17:44
13688,757797,61,45965761,45'+1',Attempt saved. Giannis Konstantelias (PAOK Salonika) left footed shot from a difficult angle on the left is saved in the centre of the goal by Roi Mishpati (Maccabi Tel Aviv). Assisted by Taison.,2025-09-25 05:17:44
