seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13027,724176,0,45417539,45'+1',Elliot Anderson (England U21) Yellow Card at 46',2025-06-27 04:57:58
13027,724176,1,45417540,45',Wouter Goes (Netherlands U21) Substitution at 45',2025-06-27 04:57:58
13027,724176,2,45417541,62',Harvey Elliott (England U21) Goal at 62',2025-06-27 04:57:58
13027,724176,3,45417542,69',Noah Ohio (Netherlands U21) Substitution at 69',2025-06-27 04:57:58
13027,724176,4,45417543,72',Noah Ohio (Netherlands U21) Goal at 72',2025-06-27 04:57:58
13027,724176,5,45417544,76',Bjorn Meijer (Netherlands U21) Substitution at 76',2025-06-27 04:57:58
13027,724176,6,45417545,77',Wouter Goes (Netherlands U21) Yellow Card at 77',2025-06-27 04:57:58
13027,724176,7,45417546,78',Jon Rowe (England U21) Substitution at 78',2025-06-27 04:57:58
13027,724176,8,45417547,78',Brooke Norton-Cuffy (England U21) Substitution at 78',2025-06-27 04:57:58
13027,724176,9,45417548,84',Hayden Hackney (England U21) Substitution at 84',2025-06-27 04:57:58
13027,724176,10,45417549,84',Ethan Nwaneri (England U21) Substitution at 84',2025-06-27 04:57:58
13027,724176,11,45417550,85',Harvey Elliott (England U21) Goal at 85',2025-06-27 04:57:58
13027,724176,12,45417551,87',Myron van Brederode (Netherlands U21) Substitution at 87',2025-06-27 04:57:58
13027,724176,13,45417552,87',Youri Regeer (Netherlands U21) Substitution at 87',2025-06-27 04:57:58
13027,724176,14,45417553,90'+1',Archie Gray (England U21) Substitution at 91',2025-06-27 04:57:58
13027,724177,0,45417577,8',Nelson Weiper (Germany U21) Goal at 8',2025-06-27 04:57:58
13027,724177,1,45417598,11',Tim Oermann (Germany U21) Substitution at 11',2025-06-27 04:57:58
13027,724177,2,45417610,14',Nick Woltemade (Germany U21) Goal at 14',2025-06-27 04:57:58
13027,724177,3,45417676,33',Ismael Doukoure (France U21) Yellow Card at 33',2025-06-27 04:57:58
13027,724177,4,45417736,45',Thierno Barry (France U21) Substitution at 45',2025-06-27 04:57:58
13027,724177,5,45417764,56',Johann Lepenant (France U21) Yellow Card at 56',2025-06-27 04:57:58
13027,724177,6,45417776,63',Soungoutou Magassa (France U21) Yellow Card at 63',2025-06-27 04:57:58
13027,724177,7,45417777,64',Loum Tchaouna (France U21) Substitution at 64',2025-06-27 04:57:58
13027,724177,8,45417795,64',Felix Lemarechal (France U21) Substitution at 64',2025-06-27 04:57:58
13027,724177,9,45417824,71',Merlin Rohl (Germany U21) Substitution at 71',2025-06-27 04:57:58
13027,724177,10,45417825,72',Brajan Gruda (Germany U21) Substitution at 72',2025-06-27 04:57:58
13027,724177,11,45417835,74',Andy Diouf (France U21) Substitution at 74',2025-06-27 04:57:58
13027,724177,12,45417841,76',Brajan Gruda (Germany U21) Yellow Card at 76',2025-06-27 04:57:58
13027,724177,13,45417844,78',Lucien Agoumé (France U21) Substitution at 78',2025-06-27 04:57:58
13027,724177,14,45417869,85',Castello Lukeba (France U21) Yellow Card at 85',2025-06-27 04:57:58
