seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13376,735899,0,45638322,39',Micky van de Ven (Tottenham Hotspur) Goal at 39',2025-08-14 04:50:22
13376,735899,1,45638525,48',Cristian Romero (Tottenham Hotspur) Goal at 48',2025-08-14 04:50:22
13376,735899,2,45638565,53',Richarlison  (Tottenham Hotspur) Yellow Card at 53',2025-08-14 04:50:22
13376,735899,3,45638584,55',Bradley Barcola (Paris Saint-Germain) Yellow Card at 55',2025-08-14 04:50:22
13376,735899,4,45638618,58',Willian Pacho (Paris Saint-Germain) Yellow Card at 58',2025-08-14 04:50:22
13376,735899,5,45638642,60',Fabián Ruiz (Paris Saint-Germain) Substitution at 60',2025-08-14 04:50:22
13376,735899,6,45638671,62',Kevin Danso (Tottenham Hotspur) Yellow Card at 62',2025-08-14 04:50:22
13376,735899,7,45638713,67',Ibrahim Mbaye (Paris Saint-Germain) Substitution at 67',2025-08-14 04:50:22
13376,735899,8,45638714,68',Lee Kang-in (Paris Saint-Germain) Substitution at 68',2025-08-14 04:50:22
13376,735899,9,45638762,72',Dominic Solanke (Tottenham Hotspur) Substitution at 72',2025-08-14 04:50:22
13376,735899,10,45638769,72',Archie Gray (Tottenham Hotspur) Substitution at 72',2025-08-14 04:50:22
13376,735899,11,45638824,77',Gonçalo Ramos (Paris Saint-Germain) Substitution at 77',2025-08-14 04:50:22
13376,735899,12,45638879,79',Mathys Tel (Tottenham Hotspur) Substitution at 79',2025-08-14 04:50:22
13376,735899,13,45638926,85',Lee Kang-in (Paris Saint-Germain) Goal at 85',2025-08-14 04:50:22
13376,735899,14,45639078,90',Ousmane Dembélé (Paris Saint-Germain) Yellow Card at 90',2025-08-14 04:50:22
13376,735899,15,45639091,90',Lucas Bergvall (Tottenham Hotspur) Substitution at 90',2025-08-14 04:50:22
13376,735899,16,45639117,90'+4',Gonçalo Ramos (Paris Saint-Germain) Goal at 94',2025-08-14 04:50:22
