seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13776,759372,0,46029352,22',Maddie Mercado (Carolina Ascent FC) Penalty - Missed at 22',2025-10-01 05:14:09
13776,759372,1,46029353,33',Mia Corbin (Carolina Ascent FC) Yellow Card at 33',2025-10-01 05:14:09
13776,759372,2,46029354,35',Tori Waldeck (Spokane Zephyr FC) Goal at 35',2025-10-01 05:14:09
13776,759372,3,46029355,45',Audrey Harding (Carolina Ascent FC) Substitution at 45',2025-10-01 05:14:09
13776,759372,4,46029356,53',Sydney Studer (Carolina Ascent FC) Yellow Card at 53',2025-10-01 05:14:09
13776,759372,5,46029357,61',Shea Collins (Spokane Zephyr FC) Substitution at 61',2025-10-01 05:14:09
13776,759372,6,46029358,61',Emma Jaskaniec (Spokane Zephyr FC) Substitution at 61',2025-10-01 05:14:09
13776,759372,7,46029359,66',Alyssa Walker (Carolina Ascent FC) Substitution at 66',2025-10-01 05:14:09
13776,759372,8,46029360,66',Stella Spitzer (Carolina Ascent FC) Substitution at 66',2025-10-01 05:14:09
13776,759372,9,46029361,69',Ally Cook (Spokane Zephyr FC) Substitution at 69',2025-10-01 05:14:09
13776,759372,10,46029362,72',Rylee Baisden (Carolina Ascent FC) Substitution at 72',2025-10-01 05:14:09
13776,759372,11,46029363,73',Luana Karoline Grabias (Carolina Ascent FC) Substitution at 73',2025-10-01 05:14:09
13776,759372,12,46029364,79',Meaghan Nally (Carolina Ascent FC) Yellow Card at 79',2025-10-01 05:14:09
13776,759372,13,46029365,85',Kelsey Oyler (Spokane Zephyr FC) Yellow Card at 85',2025-10-01 05:14:09
13776,759372,14,46029366,85',Charley Boone (Spokane Zephyr FC) Substitution at 85',2025-10-01 05:14:09
13776,759372,15,46029367,85',Madelyn Desiano (Spokane Zephyr FC) Substitution at 85',2025-10-01 05:14:09
13776,759372,16,46029368,90'+2',Jenna Butler (Carolina Ascent FC) Red Card at 92',2025-10-01 05:14:09
13776,759373,0,46029400,9',Catherine Barry (Lexington SC) Goal at 9',2025-10-01 05:14:09
13776,759373,1,46029401,21',Addie McCain (Lexington SC) Goal at 21',2025-10-01 05:14:09
13776,759373,2,46029402,24',Sealey Strawn (Dallas Trinity FC) Goal at 24',2025-10-01 05:14:09
13776,759373,3,46029403,27',Catherine Barry (Lexington SC) Goal at 27',2025-10-01 05:14:09
13776,759373,4,46029404,45'+1',Taylor Aylmer (Lexington SC) Yellow Card at 46',2025-10-01 05:14:09
13776,759373,5,46029405,45'+3',Hannah Johnson (Lexington SC) Yellow Card at 48',2025-10-01 05:14:09
13776,759373,6,46029406,48',Samar Guidry (Dallas Trinity FC) Yellow Card at 48',2025-10-01 05:14:09
13776,759373,7,46029407,56',Caroline Kelly (Dallas Trinity FC) Substitution at 56',2025-10-01 05:14:09
13776,759373,8,46029408,56',Camryn Lancaster (Dallas Trinity FC) Substitution at 56',2025-10-01 05:14:09
