seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12745,726044,1,44928917,70,1,121,3',1,0,Vahdat Hanonov (Tajikistan) Goal at 3',Vahdat Hanonov Goal,6723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283977.0,2025-03-26 04:47:56
12745,726044,2,44928918,94,1,1861,32',0,0,Zenivio (Timor-Leste) Yellow Card at 32',Zenivio Yellow Card,8664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2025-03-26 04:47:56
12745,726044,3,44928919,94,2,2821,48',0,0,Parvizdzhon Umarboev (Tajikistan) Yellow Card at 48',Parvizdzhon Umarboev Yellow Card,6723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165229.0,2025-03-26 04:47:56
12745,726044,4,44928920,76,2,3361,57',0,0,Nuriddin Hamroqulov (Tajikistan) Substitution at 57',Nuriddin Hamroqulov Substitution,6723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,342228.0,2025-03-26 04:47:56
12745,726044,4,44928920,76,2,3361,57',0,0,Nuriddin Hamroqulov (Tajikistan) Substitution at 57',Nuriddin Hamroqulov Substitution,6723,0.0,0.0,0.0,0.0,0.0,0.0,2.0,289099.0,2025-03-26 04:47:56
12745,726044,5,44928921,76,2,3362,57',0,0,Amadoni Kamolov (Tajikistan) Substitution at 57',Amadoni Kamolov Substitution,6723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,298099.0,2025-03-26 04:47:56
12745,726044,5,44928921,76,2,3362,57',0,0,Amadoni Kamolov (Tajikistan) Substitution at 57',Amadoni Kamolov Substitution,6723,0.0,0.0,0.0,0.0,0.0,0.0,2.0,283973.0,2025-03-26 04:47:56
12745,726044,6,44928922,94,2,3601,61',0,0,Tiago Costa (Timor-Leste) Yellow Card at 61',Tiago Costa Yellow Card,8664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2025-03-26 04:47:56
12745,726044,7,44928923,76,2,4081,69',0,0,Mouzinho Barreto De Lima (Timor-Leste) Substitution at 69',Mouzinho Barreto De Lima Substit,8664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,317203.0,2025-03-26 04:47:56
12745,726044,7,44928923,76,2,4081,69',0,0,Mouzinho Barreto De Lima (Timor-Leste) Substitution at 69',Mouzinho Barreto De Lima Substit,8664,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2025-03-26 04:47:56
