seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13358,735734,1,45288333,70,1,480,8',1,0,Lawrence Agyekum (Cercle Brugge KSV) Goal at 8',Lawrence Agyekum Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,334129,2025-05-19 04:56:11
13358,735734,2,45288667,70,1,1500,25',1,0,Paris Brunner (Cercle Brugge KSV) Goal at 25',Paris Brunner Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,365789,2025-05-19 04:56:11
13358,735734,3,45288939,76,1,2700,45'+5',0,0,Ibrahim Diakité (Cercle Brugge KSV) Substitution at 50',Ibrahim Diakité Substitution,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,311004,2025-05-19 04:56:11
13358,735734,4,45289321,76,2,2700,45',0,0,Bruno Gonçalves (Cercle Brugge KSV) Substitution at 45',Bruno Gonçalves Substitution,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,319950,2025-05-19 04:56:11
13358,735734,4,45289321,76,2,2700,45',0,0,Bruno Gonçalves (Cercle Brugge KSV) Substitution at 45',Bruno Gonçalves Substitution,3610,0.0,0.0,0.0,0.0,0.0,0.0,2,334129,2025-05-19 04:56:11
13358,735734,3,45288939,76,1,2700,45'+5',0,0,Ibrahim Diakité (Cercle Brugge KSV) Substitution at 50',Ibrahim Diakité Substitution,3610,0.0,0.0,0.0,0.0,0.0,0.0,2,310407,2025-05-19 04:56:11
13358,735734,5,45289410,70,2,3060,51',1,0,Paris Brunner (Cercle Brugge KSV) Goal at 51',Paris Brunner Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,365789,2025-05-19 04:56:11
13358,735734,6,45289533,94,2,3420,57',0,0,Tom Pietermaat (Patro Eisden Maasmechelen) Yellow Card at 57',Tom Pietermaat Yellow Card,130877,0.0,0.0,0.0,0.0,0.0,0.0,1,158012,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,75126,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,24978,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,379552,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,367136,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,319675,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,318137,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,315626,2025-05-19 04:56:11
13358,735734,7,45289539,70,2,3480,58',1,0,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,3610,0.0,0.0,0.0,0.0,0.0,0.0,1,307942,2025-05-19 04:56:11
