seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13524,747983,1,45520253,70,1,720,12',1,0,Ghizlane Chebbak (Morocco) Goal at 12',Ghizlane Chebbak Goal,18221,0.0,0.0,0.0,0.0,0.0,0.0,1,329941.0,2025-07-27 04:38:41
13524,747983,2,45520324,70,1,1440,24',1,0,Mssoudy Sanaa (Morocco) Goal at 24',Mssoudy Sanaa Goal,18221,0.0,0.0,0.0,0.0,0.0,0.0,1,329942.0,2025-07-27 04:38:41
13524,747983,3,45520598,76,2,3480,58',0,0,Rinsola Babajide (Nigeria) Substitution at 58',Rinsola Babajide Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,323522.0,2025-07-27 04:38:41
13524,747983,3,45520598,76,2,3480,58',0,0,Rinsola Babajide (Nigeria) Substitution at 58',Rinsola Babajide Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,2,220191.0,2025-07-27 04:38:41
13524,747983,4,45520603,76,2,3540,59',0,0,Jennifer Echegini (Nigeria) Substitution at 59',Jennifer Echegini Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,292902.0,2025-07-27 04:38:41
13524,747983,4,45520603,76,2,3540,59',0,0,Jennifer Echegini (Nigeria) Substitution at 59',Jennifer Echegini Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,2,219969.0,2025-07-27 04:38:41
13524,747983,5,45520622,98,2,3840,64',1,0,Esther Okoronkwo (Nigeria) Penalty - Scored at 64',Esther Okoronkwo Penalty - Score,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,279837.0,2025-07-27 04:38:41
13524,747983,6,45520648,70,2,4260,71',1,0,Folashade Ijamilusi (Nigeria) Goal at 71',Folashade Ijamilusi Goal,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,344265.0,2025-07-27 04:38:41
13524,747983,7,45520671,76,2,4440,74',0,0,Imane Saoud (Morocco) Substitution at 74',Imane Saoud Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,1,350964.0,2025-07-27 04:38:41
13524,747983,8,45520672,76,2,4440,74',0,0,Sarah Kassi (Morocco) Substitution at 74',Sarah Kassi Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,1,347208.0,2025-07-27 04:38:41
13524,747983,7,45520671,76,2,4440,74',0,0,Imane Saoud (Morocco) Substitution at 74',Imane Saoud Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,2,350967.0,2025-07-27 04:38:41
13524,747983,8,45520672,76,2,4440,74',0,0,Sarah Kassi (Morocco) Substitution at 74',Sarah Kassi Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,2,348933.0,2025-07-27 04:38:41
13524,747983,9,45520804,76,2,4680,78',0,0,Asisat Oshoala (Nigeria) Substitution at 78',Asisat Oshoala Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,219980.0,2025-07-27 04:38:41
13524,747983,9,45520804,76,2,4680,78',0,0,Asisat Oshoala (Nigeria) Substitution at 78',Asisat Oshoala Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,2,344265.0,2025-07-27 04:38:41
13524,747983,10,45520886,70,2,5280,88',1,0,Jennifer Echegini (Nigeria) Goal at 88',Jennifer Echegini Goal,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,292902.0,2025-07-27 04:38:41
13524,747983,11,45520956,76,2,5400,90'+1',0,0,Kenza Chapelle (Morocco) Substitution at 91',Kenza Chapelle Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,1,347122.0,2025-07-27 04:38:41
13524,747983,12,45520969,76,2,5400,90'+3',0,0,Shukurat Oladipo (Nigeria) Substitution at 93',Shukurat Oladipo Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,397149.0,2025-07-27 04:38:41
13524,747983,13,45520970,76,2,5400,90'+3',0,0,Sikiratu Isah (Nigeria) Substitution at 93',Sikiratu Isah Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,1,397153.0,2025-07-27 04:38:41
13524,747983,12,45520969,76,2,5400,90'+3',0,0,Shukurat Oladipo (Nigeria) Substitution at 93',Shukurat Oladipo Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,2,225731.0,2025-07-27 04:38:41
13524,747983,11,45520956,76,2,5400,90'+1',0,0,Kenza Chapelle (Morocco) Substitution at 91',Kenza Chapelle Substitution,18221,0.0,0.0,0.0,0.0,0.0,0.0,2,329936.0,2025-07-27 04:38:41
13524,747983,13,45520970,76,2,5400,90'+3',0,0,Sikiratu Isah (Nigeria) Substitution at 93',Sikiratu Isah Substitution,2761,0.0,0.0,0.0,0.0,0.0,0.0,2,279837.0,2025-07-27 04:38:41
13523,747982,1,45514826,70,1,2700,45',1,0,Nonhlanhla Mthandi (South Africa) Goal at 45',Nonhlanhla Mthandi Goal,13313,0.0,0.0,0.0,0.0,0.0,0.0,1,394679.0,2025-07-26 04:40:39
13523,747982,2,45514917,76,2,2700,45',0,0,Kgaelebane Mohlakoana (South Africa) Substitution at 45',Kgaelebane Mohlakoana Substituti,13313,0.0,0.0,0.0,0.0,0.0,0.0,1,270061.0,2025-07-26 04:40:39
13523,747982,4,45514921,76,2,2700,45',0,0,Evelyn Badu (Ghana) Substitution at 45',Evelyn Badu Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,1,381615.0,2025-07-26 04:40:39
13523,747982,5,45514922,76,2,2700,45',0,0,Princella Adobea (Ghana) Substitution at 45',Princella Adobea Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,1,259555.0,2025-07-26 04:40:39
13523,747982,3,45514920,76,2,2700,45',0,0,Refiloe Jane (South Africa) Substitution at 45',Refiloe Jane Substitution,13313,0.0,0.0,0.0,0.0,0.0,0.0,1,176029.0,2025-07-26 04:40:39
13523,747982,2,45514917,76,2,2700,45',0,0,Kgaelebane Mohlakoana (South Africa) Substitution at 45',Kgaelebane Mohlakoana Substituti,13313,0.0,0.0,0.0,0.0,0.0,0.0,2,394679.0,2025-07-26 04:40:39
13523,747982,3,45514920,76,2,2700,45',0,0,Refiloe Jane (South Africa) Substitution at 45',Refiloe Jane Substitution,13313,0.0,0.0,0.0,0.0,0.0,0.0,2,270064.0,2025-07-26 04:40:39
13523,747982,5,45514922,76,2,2700,45',0,0,Princella Adobea (Ghana) Substitution at 45',Princella Adobea Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,2,387269.0,2025-07-26 04:40:39
13523,747982,4,45514921,76,2,2700,45',0,0,Evelyn Badu (Ghana) Substitution at 45',Evelyn Badu Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,2,387274.0,2025-07-26 04:40:39
13523,747982,6,45514936,94,2,3600,60',0,0,Chantelle Boye-Hlorkah (Ghana) Yellow Card at 60',Chantelle Boye-Hlorkah Yellow Ca,2757,0.0,0.0,0.0,0.0,0.0,0.0,1,312483.0,2025-07-26 04:40:39
13523,747982,7,45514937,76,2,3600,60',0,0,Anasthesia Achiaa (Ghana) Substitution at 60',Anasthesia Achiaa Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,1,387270.0,2025-07-26 04:40:39
13523,747982,7,45514937,76,2,3600,60',0,0,Anasthesia Achiaa (Ghana) Substitution at 60',Anasthesia Achiaa Substitution,2757,0.0,0.0,0.0,0.0,0.0,0.0,2,406703.0,2025-07-26 04:40:39
13523,747982,8,45514941,94,2,3780,63',0,0,Kgaelebane Mohlakoana (South Africa) Yellow Card at 63',Kgaelebane Mohlakoana Yellow Car,13313,0.0,0.0,0.0,0.0,0.0,0.0,1,270061.0,2025-07-26 04:40:39
