seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12461,723737,1,45364340,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-09 05:19:06
12461,723737,2,45364365,94,1,679,12',0,0,Lucas Digne (France) is shown the yellow card for a bad foul.,Lucas Digne Yellow Card,478,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160115.0,2025-06-09 05:19:06
12461,723737,3,45364423,94,1,1733,29',0,0,David Raum (Germany) is shown the yellow card for a bad foul.,David Raum Yellow Card,481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249548.0,2025-06-09 05:19:06
12461,723737,4,45364427,94,1,2045,35',0,0,Karim Adeyemi (Germany) is shown the yellow card.,Karim Adeyemi Yellow Card,481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274913.0,2025-06-09 05:19:06
12461,723737,5,45364454,70,1,2699,45',1,0,"Goal! Germany 0, France 1. Kylian Mbappé (France) right footed shot from the left side of the box to the bottom right corner. Assisted by Aurélien Tchouaméni with a cross.",Kylian Mbappé Goal,478,0.0,0.0,0.146,0.348,0.0,0.539,1.0,231388.0,2025-06-09 05:19:06
12461,723737,5,45364454,70,1,2699,45',1,0,"Goal! Germany 0, France 1. Kylian Mbappé (France) right footed shot from the left side of the box to the bottom right corner. Assisted by Aurélien Tchouaméni with a cross.",Kylian Mbappé Goal,478,0.0,0.0,0.146,0.348,0.0,0.539,2.0,265919.0,2025-06-09 05:19:06
12461,723737,8,45364462,82,2,2700,45',0,0,"Second Half begins Germany 0, France 1.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-09 05:19:06
12461,723737,6,45364460,81,1,2700,45'+5',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-06-09 05:19:06
12461,723737,7,45364461,76,2,2700,45',0,0,"Substitution, Germany. Deniz Undav replaces Nick Woltemade.",Deniz Undav Substitution,481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,273300.0,2025-06-09 05:19:06
12461,723737,7,45364461,76,2,2700,45',0,0,"Substitution, Germany. Deniz Undav replaces Nick Woltemade.",Deniz Undav Substitution,481,0.0,0.0,0.0,0.0,0.0,0.0,2.0,298349.0,2025-06-09 05:19:06
