seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12249,690702,1,42361237,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-02-06 15:59:36
12249,690702,2,42361257,94,1,90,2',0,0,Luciano (São Paulo) is shown the yellow card for a bad foul.,Luciano Yellow Card,2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75294.0,2024-02-08 04:14:45
12249,690702,2,42361257,94,1,90,2',0,0,Luciano (São Paulo) is shown the yellow card for a bad foul.,Luciano Yellow Card,2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190483.0,2024-02-08 04:14:45
12249,690702,2,42361257,94,1,90,2',0,0,Luciano (São Paulo) is shown the yellow card for a bad foul.,Luciano Yellow Card,2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,218678.0,2024-02-08 04:14:45
12249,690702,2,42361257,94,1,90,2',0,0,Luciano (São Paulo) is shown the yellow card for a bad foul.,Luciano Yellow Card,2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,301624.0,2024-02-08 04:14:45
12249,690702,3,42361399,94,1,875,15',0,0,Raphael Veiga (Palmeiras) is shown the yellow card for a bad foul.,Raphael Veiga Yellow Card,2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,236321.0,2024-02-06 15:59:36
12249,690702,4,42361484,94,1,1339,23',0,0,Zé Rafael (Palmeiras) is shown the yellow card for a bad foul.,Zé Rafael Yellow Card,2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,398956.0,2024-02-08 04:14:45
12249,690702,4,42361484,94,1,1339,23',0,0,Zé Rafael (Palmeiras) is shown the yellow card for a bad foul.,Zé Rafael Yellow Card,2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201660.0,2024-02-08 04:14:45
12249,690702,5,42361571,94,1,1884,32',0,0,José López (Palmeiras) is shown the yellow card for a bad foul.,José López Yellow Card,2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,388808.0,2024-02-06 15:59:36
12249,690702,5,42361571,94,1,1884,32',0,0,José López (Palmeiras) is shown the yellow card for a bad foul.,José López Yellow Card,2029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352650.0,2024-02-06 15:59:36
