seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13006,734215,1,44861059,70,1,1620,27',1,0,Renato  (Madureira) Goal at 27',Renato  Goal,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,37377.0,2025-03-13 04:51:12
13006,734215,2,44861077,174,1,1620,27',0,0,Renato  (Madureira) Penalty - Saved at 27',Renato  Penalty - Saved,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,37377.0,2025-03-13 04:51:12
13006,734215,1,44861059,70,1,1620,27',1,0,Renato  (Madureira) Goal at 27',Renato  Goal,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,201744.0,2025-03-13 04:51:12
13006,734215,2,44861077,174,1,1620,27',0,0,Renato  (Madureira) Penalty - Saved at 27',Renato  Penalty - Saved,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,201744.0,2025-03-13 04:51:12
13006,734215,3,44861239,70,1,2160,36',1,0,Lucas Marreta (Sampaio Correa RJ) Goal at 36',Lucas Marreta Goal,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,379235.0,2025-03-13 04:51:12
13006,734215,4,44861257,94,1,2280,38',0,0,Luan Gama (Sampaio Correa RJ) Yellow Card at 38',Luan Gama Yellow Card,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,276662.0,2025-03-13 04:51:12
13006,734215,5,44861603,70,2,3420,57',1,0,Elias  (Sampaio Correa RJ) Goal at 57',Elias  Goal,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,198748.0,2025-03-13 04:51:12
13006,734215,6,44861623,94,2,3780,63',0,0,Rodrigo Lindoso (Madureira) Yellow Card at 63',Rodrigo Lindoso Yellow Card,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,143878.0,2025-03-13 04:51:12
13006,734215,7,44861632,76,2,3900,65',0,0,Geovane Maranhão (Madureira) Substitution at 65',Geovane Maranhão Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,143885.0,2025-03-13 04:51:12
13006,734215,8,44861633,76,2,3900,65',0,0,Hugo  (Madureira) Substitution at 65',Hugo  Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,270352.0,2025-03-13 04:51:12
13006,734215,8,44861633,76,2,3900,65',0,0,Hugo  (Madureira) Substitution at 65',Hugo  Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,144773.0,2025-03-13 04:51:12
13006,734215,8,44861633,76,2,3900,65',0,0,Hugo  (Madureira) Substitution at 65',Hugo  Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,2,256093.0,2025-03-13 04:51:12
13006,734215,7,44861632,76,2,3900,65',0,0,Geovane Maranhão (Madureira) Substitution at 65',Geovane Maranhão Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,2,222566.0,2025-03-13 04:51:12
13006,734215,7,44861632,76,2,3900,65',0,0,Geovane Maranhão (Madureira) Substitution at 65',Geovane Maranhão Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,2,218991.0,2025-03-13 04:51:12
13006,734215,10,44861654,94,2,4140,69',0,0,Pablo  (Sampaio Correa RJ) Yellow Card at 69',Pablo  Yellow Card,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,233431.0,2025-03-13 04:51:12
13006,734215,9,44861648,94,2,4140,69',0,0,Hugo  (Madureira) Yellow Card at 69',Hugo  Yellow Card,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,270352.0,2025-03-13 04:51:12
13006,734215,9,44861648,94,2,4140,69',0,0,Hugo  (Madureira) Yellow Card at 69',Hugo  Yellow Card,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,144773.0,2025-03-13 04:51:12
13006,734215,11,44861680,76,2,4320,72',0,0,Gabriel Agú (Sampaio Correa RJ) Substitution at 72',Gabriel Agú Substitution,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,379279.0,2025-03-13 04:51:12
13006,734215,11,44861680,76,2,4320,72',0,0,Gabriel Agú (Sampaio Correa RJ) Substitution at 72',Gabriel Agú Substitution,20855,0.0,0.0,0.0,0.0,0.0,0.0,2,233431.0,2025-03-13 04:51:12
13006,734215,12,44861701,76,2,4560,76',0,0,João da Silva (Madureira) Substitution at 76',João da Silva Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,398618.0,2025-03-13 04:51:12
13006,734215,12,44861701,76,2,4560,76',0,0,João da Silva (Madureira) Substitution at 76',João da Silva Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,2,143878.0,2025-03-13 04:51:12
13006,734215,13,44861709,76,2,4680,78',0,0,Matheus Iacovelli (Sampaio Correa RJ) Substitution at 78',Matheus Iacovelli Substitution,20855,0.0,0.0,0.0,0.0,0.0,0.0,1,250909.0,2025-03-13 04:51:12
13006,734215,13,44861709,76,2,4680,78',0,0,Matheus Iacovelli (Sampaio Correa RJ) Substitution at 78',Matheus Iacovelli Substitution,20855,0.0,0.0,0.0,0.0,0.0,0.0,2,198748.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,401336.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,398906.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,398877.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,398630.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,383983.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,340149.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,319680.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,314631.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,312715.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,301997.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,269634.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,231300.0,2025-03-13 04:51:12
13006,734215,14,44861732,76,2,4860,81',0,0,Wallace (Madureira) Substitution at 81',Wallace Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,186512.0,2025-03-13 04:51:12
13006,734215,15,44861733,76,2,4860,81',0,0,Cauã Coutinho (Madureira) Substitution at 81',Cauã Coutinho Substitution,4786,0.0,0.0,0.0,0.0,0.0,0.0,1,380618.0,2025-03-13 04:51:12
