seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13808,760659,1,46440550,97,1,300,5',1,0,Morice Chukwu (Singida Black Stars) Own Goal at 5',Morice Chukwu Own Goal,20853,0.0,0.0,0.0,0.0,0.0,0.0,1,359079,2025-11-25 03:07:07
13808,760659,2,46440661,70,1,840,14',1,0,Raouf Benguit (CR Belouizdad) Goal at 14',Raouf Benguit Goal,20853,0.0,0.0,0.0,0.0,0.0,0.0,1,240454,2025-11-23 06:10:36
13808,760659,3,46440758,94,1,1200,20',0,0,Morice Chukwu (Singida Black Stars) Yellow Card at 20',Morice Chukwu Yellow Card,131549,0.0,0.0,0.0,0.0,0.0,0.0,1,359079,2025-11-23 06:10:36
13808,760659,4,46441138,76,2,2700,45',0,0,Idriss Diomande (Singida Black Stars) Substitution at 45',Idriss Diomande Substitution,131549,0.0,0.0,0.0,0.0,0.0,0.0,1,414898,2025-11-23 06:10:36
13808,760659,4,46441138,76,2,2700,45',0,0,Idriss Diomande (Singida Black Stars) Substitution at 45',Idriss Diomande Substitution,131549,0.0,0.0,0.0,0.0,0.0,0.0,2,384458,2025-11-23 06:10:36
13808,760659,5,46441201,94,2,3000,50',0,0,Andé Cirille (Singida Black Stars) Yellow Card at 50',Andé Cirille Yellow Card,131549,0.0,0.0,0.0,0.0,0.0,0.0,1,377176,2025-11-23 06:10:36
13808,760659,6,46441236,94,2,3180,53',0,0,Mohamed Damaro (Singida Black Stars) Yellow Card at 53',Mohamed Damaro Yellow Card,131549,0.0,0.0,0.0,0.0,0.0,0.0,1,414892,2025-11-23 06:10:36
13808,760659,7,46441337,94,2,3660,61',0,0,Nickson Kibabage (Singida Black Stars) Yellow Card at 61',Nickson Kibabage Yellow Card,131549,0.0,0.0,0.0,0.0,0.0,0.0,1,308619,2025-11-23 06:10:36
13808,760659,9,46441435,76,2,3960,66',0,0,Ben Tahar Meziane (CR Belouizdad) Substitution at 66',Ben Tahar Meziane Substitution,20853,0.0,0.0,0.0,0.0,0.0,0.0,1,240447,2025-11-23 06:10:36
13808,760659,8,46441401,76,2,3960,66',0,0,Mohamed Ali Hamouda (CR Belouizdad) Substitution at 66',Mohamed Ali Hamouda Substitution,20853,0.0,0.0,0.0,0.0,0.0,0.0,1,302508,2025-11-23 06:10:36
