seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13112,760381,1,46441097,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-11-23 06:10:36
13112,760381,2,46441800,81,1,2700,45'+4',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-11-23 06:10:36
13112,760381,3,46441819,82,2,2700,45',0,0,"Second Half begins Lanús 0, Atlético Mineiro 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-11-23 06:10:36
13112,760381,4,46442168,94,2,4249,71',0,0,Carlos Izquierdoz (Lanús) is shown the yellow card for a bad foul.,Carlos Izquierdoz Yellow Card,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142720.0,2025-11-23 06:10:36
13112,760381,5,46442262,76,2,4662,78',0,0,"Substitution, Atlético Mineiro. Gustavo Scarpa replaces Bernard.",Gustavo Scarpa Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,205074.0,2025-11-23 06:10:36
13112,760381,5,46442262,76,2,4662,78',0,0,"Substitution, Atlético Mineiro. Gustavo Scarpa replaces Bernard.",Gustavo Scarpa Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,2.0,158272.0,2025-11-23 06:10:36
13112,760381,6,46442300,94,2,4789,80',0,0,Hulk (Atlético Mineiro) is shown the yellow card for a bad foul.,Hulk Yellow Card,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,274451.0,2025-11-25 03:07:07
13112,760381,6,46442300,94,2,4789,80',0,0,Hulk (Atlético Mineiro) is shown the yellow card for a bad foul.,Hulk Yellow Card,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124068.0,2025-11-25 03:07:07
13112,760381,7,46442304,76,2,4868,82',0,0,"Substitution, Lanús. Dylan Aquino replaces Ramiro Carrera.",Dylan Aquino Substitution,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363516.0,2025-11-23 06:10:36
13112,760381,7,46442304,76,2,4868,82',0,0,"Substitution, Lanús. Dylan Aquino replaces Ramiro Carrera.",Dylan Aquino Substitution,12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189810.0,2025-11-23 06:10:36
13112,760381,8,46442463,94,2,5095,85',0,0,Alan Franco (Atlético Mineiro) is shown the yellow card for a bad foul.,Alan Franco Yellow Card,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228493.0,2025-11-23 06:10:36
13112,760381,8,46442463,94,2,5095,85',0,0,Alan Franco (Atlético Mineiro) is shown the yellow card for a bad foul.,Alan Franco Yellow Card,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,262111.0,2025-11-23 06:10:36
13112,760381,9,46442471,76,2,5215,87',0,0,"Substitution, Atlético Mineiro. Caio Paulista replaces Guilherme Arana.",Caio Paulista Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95558.0,2025-11-25 03:07:07
13112,760381,9,46442471,76,2,5215,87',0,0,"Substitution, Atlético Mineiro. Caio Paulista replaces Guilherme Arana.",Caio Paulista Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,2.0,207269.0,2025-11-25 03:07:07
13112,760381,10,46442472,76,2,5219,87',0,0,"Substitution, Atlético Mineiro. Alexsander replaces Alan Franco because of an injury.",Alexsander Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,398869.0,2025-11-23 06:10:36
13112,760381,10,46442472,76,2,5219,87',0,0,"Substitution, Atlético Mineiro. Alexsander replaces Alan Franco because of an injury.",Alexsander Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336386.0,2025-11-23 06:10:36
13112,760381,10,46442472,76,2,5219,87',0,0,"Substitution, Atlético Mineiro. Alexsander replaces Alan Franco because of an injury.",Alexsander Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,2.0,262111.0,2025-11-23 06:10:36
13112,760381,10,46442472,76,2,5219,87',0,0,"Substitution, Atlético Mineiro. Alexsander replaces Alan Franco because of an injury.",Alexsander Substitution,7632,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228493.0,2025-11-23 06:10:36
13112,760381,12,46442640,84,3,5400,90',0,0,"First Half Extra Time begins Lanús 0, Atlético Mineiro 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-11-23 06:10:36
13112,760381,11,46442606,83,2,5400,90'+4',0,0,"Second Half ends, Lanús 0, Atlético Mineiro 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-11-23 06:10:36
