seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13213,759280,1,46070444,174,1,1260,21',0,0,Djorkaeff Reasco (El Nacional) Penalty - Saved at 21',Djorkaeff Reasco Penalty - Saved,882,0.0,0.0,0.0,0.0,0.0,0.0,1,252702.0,2025-10-05 05:22:38
13213,759280,2,46070564,70,1,1560,26',1,0,Djorkaeff Reasco (El Nacional) Goal at 26',Djorkaeff Reasco Goal,882,0.0,0.0,0.0,0.0,0.0,0.0,1,252702.0,2025-10-05 05:22:38
13213,759280,4,46070775,94,1,2220,37',0,0,Nahuel Gallardo (Delfín) Yellow Card at 37',Nahuel Gallardo Yellow Card,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,267577.0,2025-10-05 05:22:38
13213,759280,3,46070748,94,1,2220,37',0,0,Charles Vélez (El Nacional) Yellow Card at 37',Charles Vélez Yellow Card,882,0.0,0.0,0.0,0.0,0.0,0.0,1,145626.0,2025-10-05 05:22:38
13213,759280,5,46070795,94,1,2220,37',0,0,Jeremy Mejía (El Nacional) Yellow Card at 37',Jeremy Mejía Yellow Card,882,0.0,0.0,0.0,0.0,0.0,0.0,1,388381.0,2025-10-05 05:22:38
13213,759280,6,46070796,70,1,2340,39',1,0,Djorkaeff Reasco (El Nacional) Goal at 39',Djorkaeff Reasco Goal,882,0.0,0.0,0.0,0.0,0.0,0.0,1,252702.0,2025-10-05 05:22:38
13213,759280,9,46071476,76,2,2700,45',0,0,Hancel Batalla (Delfín) Substitution at 45',Hancel Batalla Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,202609.0,2025-10-05 05:22:38
13213,759280,8,46071475,76,2,2700,45',0,0,Osmar Fernández (Delfín) Substitution at 45',Osmar Fernández Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,284023.0,2025-10-05 05:22:38
13213,759280,7,46071441,76,2,2700,45',0,0,Luis Castro (Delfín) Substitution at 45',Luis Castro Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,378445.0,2025-10-05 05:22:38
13213,759280,7,46071441,76,2,2700,45',0,0,Luis Castro (Delfín) Substitution at 45',Luis Castro Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,359706.0,2025-10-05 05:22:38
13213,759280,7,46071441,76,2,2700,45',0,0,Luis Castro (Delfín) Substitution at 45',Luis Castro Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,176425.0,2025-10-05 05:22:38
13213,759280,7,46071441,76,2,2700,45',0,0,Luis Castro (Delfín) Substitution at 45',Luis Castro Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,199033.0,2025-10-05 05:22:38
13213,759280,7,46071441,76,2,2700,45',0,0,Luis Castro (Delfín) Substitution at 45',Luis Castro Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,103435.0,2025-10-05 05:22:38
13213,759280,9,46071476,76,2,2700,45',0,0,Hancel Batalla (Delfín) Substitution at 45',Hancel Batalla Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,335736.0,2025-10-05 05:22:38
13213,759280,8,46071475,76,2,2700,45',0,0,Osmar Fernández (Delfín) Substitution at 45',Osmar Fernández Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,267577.0,2025-10-05 05:22:38
13213,759280,10,46071851,93,2,3480,58',0,0,Joaquín León (Delfín) Red Card at 58',Joaquín León Red Card,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,335736.0,2025-10-05 05:22:38
13213,759280,11,46071921,93,2,3480,58',0,0,Nahuel Gallardo (Delfín) Red Card at 58',Nahuel Gallardo Red Card,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,267577.0,2025-10-05 05:22:38
13213,759280,12,46071953,76,2,3600,60',0,0,Anthony Álvarez (Delfín) Substitution at 60',Anthony Álvarez Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,99003.0,2025-10-05 05:22:38
13213,759280,12,46071953,76,2,3600,60',0,0,Anthony Álvarez (Delfín) Substitution at 60',Anthony Álvarez Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,228481.0,2025-10-05 05:22:38
13213,759280,13,46072218,70,2,4560,76',1,0,Luis Castro (Delfín) Goal at 76',Luis Castro Goal,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,378445.0,2025-10-05 05:22:38
13213,759280,13,46072218,70,2,4560,76',1,0,Luis Castro (Delfín) Goal at 76',Luis Castro Goal,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,359706.0,2025-10-05 05:22:38
13213,759280,13,46072218,70,2,4560,76',1,0,Luis Castro (Delfín) Goal at 76',Luis Castro Goal,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,176425.0,2025-10-05 05:22:38
13213,759280,14,46072236,76,2,4680,78',0,0,Fricson Borja (El Nacional) Substitution at 78',Fricson Borja Substitution,882,0.0,0.0,0.0,0.0,0.0,0.0,1,289876.0,2025-10-05 05:22:38
13213,759280,14,46072236,76,2,4680,78',0,0,Fricson Borja (El Nacional) Substitution at 78',Fricson Borja Substitution,882,0.0,0.0,0.0,0.0,0.0,0.0,2,34150.0,2025-10-05 05:22:38
13213,759280,15,46072284,70,2,4800,80',1,0,Jean Carlos Estacio (Delfín) Goal at 80',Jean Carlos Estacio Goal,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,269888.0,2025-10-05 05:22:38
13213,759280,16,46072322,76,2,4860,81',0,0,Leao Tenorio (Delfín) Substitution at 81',Leao Tenorio Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,1,400446.0,2025-10-09 05:26:20
13213,759280,16,46072322,76,2,4860,81',0,0,Leao Tenorio (Delfín) Substitution at 81',Leao Tenorio Substitution,1011,0.0,0.0,0.0,0.0,0.0,0.0,2,329950.0,2025-10-09 05:26:20
13213,759280,17,46072341,76,2,5040,84',0,0,Luis Benalcazar (El Nacional) Substitution at 84',Luis Benalcazar Substitution,882,0.0,0.0,0.0,0.0,0.0,0.0,1,381172.0,2025-10-05 05:22:38
13213,759280,17,46072341,76,2,5040,84',0,0,Luis Benalcazar (El Nacional) Substitution at 84',Luis Benalcazar Substitution,882,0.0,0.0,0.0,0.0,0.0,0.0,2,388381.0,2025-10-05 05:22:38
13213,759280,18,46072449,94,2,5160,86',0,0,Rommel Cabezas (El Nacional) Yellow Card at 86',Rommel Cabezas Yellow Card,882,0.0,0.0,0.0,0.0,0.0,0.0,1,314924.0,2025-10-05 05:22:38
13213,759280,19,46072556,94,2,5400,90'+4',0,0,Fernando Mora (El Nacional) Yellow Card at 94',Fernando Mora Yellow Card,882,0.0,0.0,0.0,0.0,0.0,0.0,1,24110.0,2025-10-05 05:22:38
13213,759281,1,46073236,70,1,720,12',1,0,Jose Cevallos (Emelec) Goal at 12',Jose Cevallos Goal,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,32687.0,2025-10-05 05:22:38
13213,759281,1,46073236,70,1,720,12',1,0,Jose Cevallos (Emelec) Goal at 12',Jose Cevallos Goal,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,203359.0,2025-10-05 05:22:38
13213,759281,2,46073349,70,1,1080,18',1,0,Maicon Solís (Emelec) Goal at 18',Maicon Solís Goal,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,269892.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,381016.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,356343.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,270632.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,240985.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,179516.0,2025-10-05 05:22:38
13213,759281,3,46073415,76,1,1320,22',0,0,Elkin Muñoz (Emelec) Substitution at 22',Elkin Muñoz Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,128862.0,2025-10-05 05:22:38
13213,759281,4,46073758,94,1,2280,38',0,0,Jose Cevallos (Emelec) Yellow Card at 38',Jose Cevallos Yellow Card,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,32687.0,2025-10-05 05:22:38
13213,759281,4,46073758,94,1,2280,38',0,0,Jose Cevallos (Emelec) Yellow Card at 38',Jose Cevallos Yellow Card,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,203359.0,2025-10-05 05:22:38
13213,759281,6,46074068,76,2,2700,45',0,0,Jorge Ordóñez (Deportivo Cuenca) Substitution at 45',Jorge Ordóñez Substitution,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,251973.0,2025-10-05 05:22:38
13213,759281,5,46074062,76,2,2700,45',0,0,Mateo Maccari (Deportivo Cuenca) Substitution at 45',Mateo Maccari Substitution,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,309460.0,2025-10-05 05:22:38
13213,759281,6,46074068,76,2,2700,45',0,0,Jorge Ordóñez (Deportivo Cuenca) Substitution at 45',Jorge Ordóñez Substitution,4812,0.0,0.0,0.0,0.0,0.0,0.0,2,381011.0,2025-10-05 05:22:38
13213,759281,5,46074062,76,2,2700,45',0,0,Mateo Maccari (Deportivo Cuenca) Substitution at 45',Mateo Maccari Substitution,4812,0.0,0.0,0.0,0.0,0.0,0.0,2,314395.0,2025-10-05 05:22:38
13213,759281,7,46074226,94,2,3420,57',0,0,Alexis Rodríguez (Deportivo Cuenca) Yellow Card at 57',Alexis Rodríguez Yellow Card,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,401151.0,2025-10-05 05:22:38
13213,759281,7,46074226,94,2,3420,57',0,0,Alexis Rodríguez (Deportivo Cuenca) Yellow Card at 57',Alexis Rodríguez Yellow Card,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,361397.0,2025-10-05 05:22:38
13213,759281,7,46074226,94,2,3420,57',0,0,Alexis Rodríguez (Deportivo Cuenca) Yellow Card at 57',Alexis Rodríguez Yellow Card,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,279056.0,2025-10-05 05:22:38
13213,759281,7,46074226,94,2,3420,57',0,0,Alexis Rodríguez (Deportivo Cuenca) Yellow Card at 57',Alexis Rodríguez Yellow Card,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,256874.0,2025-10-05 05:22:38
13213,759281,8,46074245,94,2,3480,58',0,0,Sergio Quintero (Emelec) Yellow Card at 58',Sergio Quintero Yellow Card,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,287402.0,2025-10-05 05:22:38
13213,759281,9,46074269,70,2,3660,61',1,0,Lucas Mancinelli (Deportivo Cuenca) Goal at 61',Lucas Mancinelli Goal,4812,0.0,0.0,0.0,0.0,0.0,0.0,1,154343.0,2025-10-05 05:22:38
13213,759281,10,46074285,76,2,3720,62',0,0,Washington Corozo (Emelec) Substitution at 62',Washington Corozo Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,228483.0,2025-10-05 05:22:38
13213,759281,11,46074286,76,2,3720,62',0,0,Alfonso Barco (Emelec) Substitution at 62',Alfonso Barco Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,1,289092.0,2025-10-05 05:22:38
13213,759281,10,46074285,76,2,3720,62',0,0,Washington Corozo (Emelec) Substitution at 62',Washington Corozo Substitution,2668,0.0,0.0,0.0,0.0,0.0,0.0,2,82650.0,2025-10-05 05:22:38
