seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13643,753886,1,45822268,70,1,540,9',1,0,Tom Edozie (Wolverhampton Wanderers U21) Goal at 9',Tom Edozie Goal,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,355915,2025-09-03 05:11:26
13643,753886,2,45822272,70,1,720,12',1,0,Mateus Mane (Wolverhampton Wanderers U21) Goal at 12',Mateus Mane Goal,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,380196,2025-09-03 05:11:26
13643,753886,3,45822277,70,1,1200,20',1,0,Nathan Lowe (Stockport County) Goal at 20',Nathan Lowe Goal,400,0.0,0.0,0.0,0.0,0.0,0.0,1,282449,2025-09-03 05:11:26
13643,753886,4,45822282,94,1,1380,23',0,0,Christy Grogan (Stockport County) Yellow Card at 23',Christy Grogan Yellow Card,400,0.0,0.0,0.0,0.0,0.0,0.0,1,409028,2025-09-03 05:11:26
13643,753886,5,45822283,70,1,1440,24',1,0,Nathan Lowe (Stockport County) Goal at 24',Nathan Lowe Goal,400,0.0,0.0,0.0,0.0,0.0,0.0,1,282449,2025-09-03 05:11:26
13643,753886,6,45822472,76,2,2700,45',0,0,Marcus Kouam (Stockport County) Substitution at 45',Marcus Kouam Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,1,402336,2025-09-03 05:11:26
13643,753886,7,45822477,76,2,2700,45',0,0,Corey Edwards (Stockport County) Substitution at 45',Corey Edwards Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,1,378557,2025-09-03 05:11:26
13643,753886,8,45822478,76,2,2700,45',0,0,Rhys Watson (Stockport County) Substitution at 45',Rhys Watson Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,1,388827,2025-09-03 05:11:26
13643,753886,7,45822477,76,2,2700,45',0,0,Corey Edwards (Stockport County) Substitution at 45',Corey Edwards Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,2,325364,2025-09-03 05:11:26
13643,753886,6,45822472,76,2,2700,45',0,0,Marcus Kouam (Stockport County) Substitution at 45',Marcus Kouam Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,2,282449,2025-09-03 05:11:26
13643,753886,8,45822478,76,2,2700,45',0,0,Rhys Watson (Stockport County) Substitution at 45',Rhys Watson Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,2,409028,2025-09-03 05:11:26
13643,753886,9,45822500,70,2,3120,52',1,0,Odin Bailey (Stockport County) Goal at 52',Odin Bailey Goal,400,0.0,0.0,0.0,0.0,0.0,0.0,1,272343,2025-09-03 05:11:26
13643,753886,10,45822510,94,2,3240,54',0,0,Fletcher Holman (Wolverhampton Wanderers U21) Yellow Card at 54',Fletcher Holman Yellow Card,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,377857,2025-09-03 05:11:26
13643,753886,11,45822521,70,2,3420,57',1,0,Wesley Okoduwa (Wolverhampton Wanderers U21) Goal at 57',Wesley Okoduwa Goal,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,374126,2025-09-03 05:11:26
13643,753886,12,45822568,76,2,3660,61',0,0,Ashton Mee (Stockport County) Substitution at 61',Ashton Mee Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,1,352815,2025-09-03 05:11:26
13643,753886,12,45822568,76,2,3660,61',0,0,Ashton Mee (Stockport County) Substitution at 61',Ashton Mee Substitution,400,0.0,0.0,0.0,0.0,0.0,0.0,2,332021,2025-09-03 05:11:26
13643,753886,13,45822572,76,2,3780,63',0,0,Ty Barnett (Wolverhampton Wanderers U21) Substitution at 63',Ty Barnett Substitution,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,356922,2025-09-03 05:11:26
13643,753886,13,45822572,76,2,3780,63',0,0,Ty Barnett (Wolverhampton Wanderers U21) Substitution at 63',Ty Barnett Substitution,19300,0.0,0.0,0.0,0.0,0.0,0.0,2,377857,2025-09-03 05:11:26
13643,753886,14,45822581,76,2,3840,64',0,0,Caden Voice (Wolverhampton Wanderers U21) Substitution at 64',Caden Voice Substitution,19300,0.0,0.0,0.0,0.0,0.0,0.0,1,355169,2025-09-03 05:11:26
13643,753886,14,45822581,76,2,3840,64',0,0,Caden Voice (Wolverhampton Wanderers U21) Substitution at 64',Caden Voice Substitution,19300,0.0,0.0,0.0,0.0,0.0,0.0,2,350668,2025-09-03 05:11:26
