seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13673,759819,1,46332321,94,1,120,2',0,0,Vega Montesinos (Alhama) Yellow Card at 2',Vega Montesinos Yellow Card,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,409774,2025-11-06 06:15:41
13673,759819,2,46332344,98,1,660,11',1,0,Estefanía Lima (Alhama) Penalty - Scored at 11',Estefanía Lima Penalty - Scored,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,333581,2025-11-06 06:15:41
13673,759819,3,46332369,70,1,1080,18',1,0,Javiera Toro (Alhama) Goal at 18',Javiera Toro Goal,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,264854,2025-11-07 06:14:04
13673,759819,4,46332518,76,2,2700,45',0,0,Aitana Zumarraga (Alhama) Substitution at 45',Aitana Zumarraga Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,354961,2025-11-06 06:15:41
13673,759819,4,46332518,76,2,2700,45',0,0,Aitana Zumarraga (Alhama) Substitution at 45',Aitana Zumarraga Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,2,409774,2025-11-06 06:15:41
13673,759819,5,46332738,76,2,3720,62',0,0,Leonie Bourret (Sport Extremadura) Substitution at 62',Leonie Bourret Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,1,414469,2025-11-06 06:15:41
13673,759819,5,46332738,76,2,3720,62',0,0,Leonie Bourret (Sport Extremadura) Substitution at 62',Leonie Bourret Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,2,414247,2025-11-06 06:15:41
13673,759819,6,46332638,94,2,3900,65',0,0,Mariana Diaz Leal (Alhama) Yellow Card at 65',Mariana Diaz Leal Yellow Card,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,328685,2025-11-06 06:15:41
13673,759819,7,46332648,94,2,3960,66',0,0,Ana Velázquez (Alhama) Yellow Card at 66',Ana Velázquez Yellow Card,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,329681,2025-11-06 06:15:41
13673,759819,8,46332658,70,2,4080,68',1,0,Anlly Taborda (Sport Extremadura) Goal at 68',Anlly Taborda Goal,131386,0.0,0.0,0.0,0.0,0.0,0.0,1,414154,2025-11-06 06:15:41
13673,759819,9,46332670,76,2,4200,70',0,0,Marta Gestera (Alhama) Substitution at 70',Marta Gestera Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,381372,2025-11-07 06:14:04
13673,759819,10,46341267,76,2,4200,70',0,0,Encarni (Alhama) Substitution at 70',Encarni Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,349931,2025-11-07 06:14:04
13673,759819,9,46332670,76,2,4200,70',0,0,Marta Gestera (Alhama) Substitution at 70',Marta Gestera Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,2,328685,2025-11-07 06:14:04
13673,759819,10,46341267,76,2,4200,70',0,0,Encarni (Alhama) Substitution at 70',Encarni Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,2,333581,2025-11-07 06:14:04
13673,759819,11,46332718,76,2,4800,80',0,0,Kuki (Alhama) Substitution at 80',Kuki Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,333492,2025-11-07 06:14:04
13673,759819,11,46332718,76,2,4800,80',0,0,Kuki (Alhama) Substitution at 80',Kuki Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,2,333568,2025-11-07 06:14:04
13673,759819,13,46332762,76,2,5160,86',0,0,Marta Revuelta (Sport Extremadura) Substitution at 86',Marta Revuelta Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,1,414251,2025-11-07 06:14:04
13673,759819,12,46332761,76,2,5160,86',0,0,Félicité Hamidouche (Sport Extremadura) Substitution at 86',Félicité Hamidouche Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,1,414242,2025-11-07 06:14:04
13673,759819,12,46332761,76,2,5160,86',0,0,Félicité Hamidouche (Sport Extremadura) Substitution at 86',Félicité Hamidouche Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,2,414244,2025-11-07 06:14:04
13673,759819,13,46332762,76,2,5160,86',0,0,Marta Revuelta (Sport Extremadura) Substitution at 86',Marta Revuelta Substitution,131386,0.0,0.0,0.0,0.0,0.0,0.0,2,414153,2025-11-07 06:14:04
13673,759819,14,46332775,76,2,5400,90'+5',0,0,Alba Santamaría (Alhama) Substitution at 95',Alba Santamaría Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,334539,2025-11-07 06:14:04
13673,759819,15,46332776,94,2,5400,90'+5',0,0,Carla Castiñeyras (Alhama) Yellow Card at 95',Carla Castiñeyras Yellow Card,21137,0.0,0.0,0.0,0.0,0.0,0.0,1,409772,2025-11-07 06:14:04
13673,759819,14,46332775,76,2,5400,90'+5',0,0,Alba Santamaría (Alhama) Substitution at 95',Alba Santamaría Substitution,21137,0.0,0.0,0.0,0.0,0.0,0.0,2,333571,2025-11-07 06:14:04
13673,759820,1,46332549,98,1,360,6',1,0,Marisa (Deportivo La Coruña) Penalty - Scored at 6',Marisa Penalty - Scored,21145,0.0,0.0,0.0,0.0,0.0,0.0,1,377249,2025-11-06 06:15:41
13673,759820,2,46332630,70,1,1200,20',1,0,Marisa (Deportivo La Coruña) Goal at 20',Marisa Goal,21145,0.0,0.0,0.0,0.0,0.0,0.0,1,377249,2025-11-06 06:15:41
13673,759820,4,46332901,76,2,2700,45',0,0,Natalia Herrera (Guiniguada Apolinario) Substitution at 45',Natalia Herrera Substitution,22346,0.0,0.0,0.0,0.0,0.0,0.0,1,414018,2025-11-06 06:15:41
13673,759820,3,46332733,70,1,2700,45'+1',1,0,Raquel Quintana (Guiniguada Apolinario) Goal at 46',Raquel Quintana Goal,22346,0.0,0.0,0.0,0.0,0.0,0.0,1,334550,2025-11-06 06:15:41
13673,759820,4,46332901,76,2,2700,45',0,0,Natalia Herrera (Guiniguada Apolinario) Substitution at 45',Natalia Herrera Substitution,22346,0.0,0.0,0.0,0.0,0.0,0.0,2,414010,2025-11-06 06:15:41
13673,759820,6,46333225,76,2,3420,57',0,0,Lucía Rivas (Deportivo La Coruña) Substitution at 57',Lucía Rivas Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,1,386757,2025-11-06 06:15:41
13673,759820,5,46333175,76,2,3420,57',0,0,Samara Ortíz (Deportivo La Coruña) Substitution at 57',Samara Ortíz Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,1,390865,2025-11-06 06:15:41
13673,759820,7,46333226,76,2,3420,57',0,0,Esperanza Pizarro (Deportivo La Coruña) Substitution at 57',Esperanza Pizarro Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,1,286612,2025-11-06 06:15:41
13673,759820,7,46333226,76,2,3420,57',0,0,Esperanza Pizarro (Deportivo La Coruña) Substitution at 57',Esperanza Pizarro Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,2,390870,2025-11-06 06:15:41
13673,759820,7,46333226,76,2,3420,57',0,0,Esperanza Pizarro (Deportivo La Coruña) Substitution at 57',Esperanza Pizarro Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,2,261110,2025-11-06 06:15:41
13673,759820,5,46333175,76,2,3420,57',0,0,Samara Ortíz (Deportivo La Coruña) Substitution at 57',Samara Ortíz Substitution,21145,0.0,0.0,0.0,0.0,0.0,0.0,2,328627,2025-11-06 06:15:41
