seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13566,749918,1,45601945,94,1,540,9',0,0,Guray Vural (Antalyaspor) Yellow Card at 9',Guray Vural Yellow Card,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,113459.0,2025-08-10 04:46:38
13566,749918,2,45602007,94,1,960,16',0,0,Kenneth Paal (Antalyaspor) Yellow Card at 16',Kenneth Paal Yellow Card,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,207543.0,2025-08-10 04:46:38
13566,749918,3,45602036,70,1,1140,19',1,0,Guray Vural (Antalyaspor) Goal at 19',Guray Vural Goal,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,113459.0,2025-08-10 04:46:38
13566,749918,4,45602100,70,1,1860,31',1,0,Habib Gueye (Kasimpasa) Goal at 31',Habib Gueye Goal,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,256674.0,2025-08-10 04:46:38
13566,749918,5,45602136,76,1,2280,38',0,0,Georgi Dzhikiya (Antalyaspor) Substitution at 38',Georgi Dzhikiya Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,222554.0,2025-08-10 04:46:38
13566,749918,5,45602136,76,1,2280,38',0,0,Georgi Dzhikiya (Antalyaspor) Substitution at 38',Georgi Dzhikiya Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,2,277469.0,2025-08-10 04:46:38
13566,749918,6,45602163,70,1,2400,40',1,0,Nikola Storm (Antalyaspor) Goal at 40',Nikola Storm Goal,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,212216.0,2025-08-10 04:46:38
13566,749918,7,45602843,76,2,3840,64',0,0,Yusuf Barasi (Kasimpasa) Substitution at 64',Yusuf Barasi Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,284718.0,2025-08-10 04:46:38
13566,749918,8,45602855,76,2,3840,64',0,0,Bunyamin Balci (Antalyaspor) Substitution at 64',Bunyamin Balci Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,284247.0,2025-08-10 04:46:38
13566,749918,8,45602855,76,2,3840,64',0,0,Bunyamin Balci (Antalyaspor) Substitution at 64',Bunyamin Balci Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,2,239750.0,2025-08-10 04:46:38
13566,749918,7,45602843,76,2,3840,64',0,0,Yusuf Barasi (Kasimpasa) Substitution at 64',Yusuf Barasi Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,258441.0,2025-08-10 04:46:38
13566,749918,9,45602873,94,2,3900,65',0,0,Yusuf Barasi (Kasimpasa) Yellow Card at 65',Yusuf Barasi Yellow Card,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,284718.0,2025-08-10 04:46:38
13566,749918,12,45603125,76,2,5040,84',0,0,Hasan Ilcin (Antalyaspor) Substitution at 84',Hasan Ilcin Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,401503.0,2025-08-10 04:46:38
13566,749918,10,45603112,76,2,5040,84',0,0,Poyraz Yildirim (Antalyaspor) Substitution at 84',Poyraz Yildirim Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,355370.0,2025-08-10 04:46:38
13566,749918,11,45603113,76,2,5040,84',0,0,Mert Yilmaz (Antalyaspor) Substitution at 84',Mert Yilmaz Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,276041.0,2025-08-10 04:46:38
13566,749918,12,45603125,76,2,5040,84',0,0,Hasan Ilcin (Antalyaspor) Substitution at 84',Hasan Ilcin Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,2,170645.0,2025-08-10 04:46:38
13566,749918,10,45603112,76,2,5040,84',0,0,Poyraz Yildirim (Antalyaspor) Substitution at 84',Poyraz Yildirim Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,2,307755.0,2025-08-10 04:46:38
13566,749918,11,45603113,76,2,5040,84',0,0,Mert Yilmaz (Antalyaspor) Substitution at 84',Mert Yilmaz Substitution,3794,0.0,0.0,0.0,0.0,0.0,0.0,2,260447.0,2025-08-10 04:46:38
13566,749918,14,45603127,76,2,5100,85',0,0,Kubilay Kanatsizkus (Kasimpasa) Substitution at 85',Kubilay Kanatsizkus Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,236378.0,2025-08-10 04:46:38
13566,749918,13,45603126,76,2,5100,85',0,0,Cem Üstündag (Kasimpasa) Substitution at 85',Cem Üstündag Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,345431.0,2025-08-10 04:46:38
13566,749918,15,45603146,94,2,5100,85',0,0,Poyraz Yildirim (Antalyaspor) Yellow Card at 85',Poyraz Yildirim Yellow Card,3794,0.0,0.0,0.0,0.0,0.0,0.0,1,355370.0,2025-08-10 04:46:38
13566,749918,13,45603126,76,2,5100,85',0,0,Cem Üstündag (Kasimpasa) Substitution at 85',Cem Üstündag Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,205455.0,2025-08-10 04:46:38
13566,749918,13,45603126,76,2,5100,85',0,0,Cem Üstündag (Kasimpasa) Substitution at 85',Cem Üstündag Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,193180.0,2025-08-10 04:46:38
13566,749918,14,45603127,76,2,5100,85',0,0,Kubilay Kanatsizkus (Kasimpasa) Substitution at 85',Kubilay Kanatsizkus Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,298404.0,2025-08-10 04:46:38
13566,749918,16,45603165,76,2,5220,87',0,0,Ali Yavuz Kol (Kasimpasa) Substitution at 87',Ali Yavuz Kol Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,1,276799.0,2025-08-10 04:46:38
13566,749918,16,45603165,76,2,5220,87',0,0,Ali Yavuz Kol (Kasimpasa) Substitution at 87',Ali Yavuz Kol Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,387925.0,2025-08-10 04:46:38
13566,749918,16,45603165,76,2,5220,87',0,0,Ali Yavuz Kol (Kasimpasa) Substitution at 87',Ali Yavuz Kol Substitution,6870,0.0,0.0,0.0,0.0,0.0,0.0,2,240553.0,2025-08-10 04:46:38
