seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13317,735391,1,45386008,70,1,780,13',1,0,Vuk Vlahovic (Montenegro U19) Goal at 13',Vuk Vlahovic Goal,130876,0.0,0.0,0.0,0.0,0.0,0.0,1,403060.0,2025-06-14 05:26:42
13317,735391,2,45386027,94,1,2460,41',0,0,Bojan Damjanovic (Montenegro U19) Yellow Card at 41',Bojan Damjanovic Yellow Card,130876,0.0,0.0,0.0,0.0,0.0,0.0,1,365469.0,2025-06-14 05:26:42
13317,735391,3,45386028,76,2,3480,58',0,0,Danilo Cetkovic (Montenegro U19) Substitution at 58',Danilo Cetkovic Substitution,130876,0.0,0.0,0.0,0.0,0.0,0.0,1,403055.0,2025-06-14 05:26:42
13317,735391,3,45386028,76,2,3480,58',0,0,Danilo Cetkovic (Montenegro U19) Substitution at 58',Danilo Cetkovic Substitution,130876,0.0,0.0,0.0,0.0,0.0,0.0,2,382569.0,2025-06-14 05:26:42
13317,735391,4,45386029,94,2,3600,60',0,0,Vuk Vlahovic (Montenegro U19) Yellow Card at 60',Vuk Vlahovic Yellow Card,130876,0.0,0.0,0.0,0.0,0.0,0.0,1,403060.0,2025-06-14 05:26:42
13317,735391,6,45386031,76,2,3660,61',0,0,David Barbu (Romania U19) Substitution at 61',David Barbu Substitution,11690,0.0,0.0,0.0,0.0,0.0,0.0,1,384330.0,2025-06-14 05:26:42
13317,735391,7,45386032,76,2,3660,61',0,0,Vlad Danciutiu (Romania U19) Substitution at 61',Vlad Danciutiu Substitution,11690,0.0,0.0,0.0,0.0,0.0,0.0,1,405525.0,2025-06-14 05:26:42
13317,735391,5,45386030,76,2,3660,61',0,0,Luca Basceanu (Romania U19) Substitution at 61',Luca Basceanu Substitution,11690,0.0,0.0,0.0,0.0,0.0,0.0,1,379326.0,2025-06-14 05:26:42
13317,735391,7,45386032,76,2,3660,61',0,0,Vlad Danciutiu (Romania U19) Substitution at 61',Vlad Danciutiu Substitution,11690,0.0,0.0,0.0,0.0,0.0,0.0,2,405529.0,2025-06-14 05:26:42
13317,735391,6,45386031,76,2,3660,61',0,0,David Barbu (Romania U19) Substitution at 61',David Barbu Substitution,11690,0.0,0.0,0.0,0.0,0.0,0.0,2,334364.0,2025-06-14 05:26:42
