seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13492,754173,1,45585371,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754173,2,45585390,70,1,806,14',1,0,"Goal! Fredrikstad 0, FC Midtjylland 1. Franculino Djú (FC Midtjylland) with an attempt from very close range to the bottom right corner.",Franculino Djú Goal,572,0.0,0.0,0.048,0.508,0.0,0.539,1.0,364585.0,2025-08-08 04:48:00
13492,754173,3,45585871,70,1,1900,32',1,0,"Goal! Fredrikstad 0, FC Midtjylland 2. Mikel Krüger-Johnsen (FC Midtjylland) right footed shot from the centre of the box to the bottom right corner. Assisted by Darío Osorio.",Mikel Gogorza Goal,572,0.0,0.0,0.314,0.413,0.0,0.54,1.0,383947.0,2025-08-08 04:48:00
13492,754173,3,45585871,70,1,1900,32',1,0,"Goal! Fredrikstad 0, FC Midtjylland 2. Mikel Krüger-Johnsen (FC Midtjylland) right footed shot from the centre of the box to the bottom right corner. Assisted by Darío Osorio.",Mikel Gogorza Goal,572,0.0,0.0,0.314,0.413,0.0,0.54,1.0,368628.0,2025-08-08 04:48:00
13492,754173,3,45585871,70,1,1900,32',1,0,"Goal! Fredrikstad 0, FC Midtjylland 2. Mikel Krüger-Johnsen (FC Midtjylland) right footed shot from the centre of the box to the bottom right corner. Assisted by Darío Osorio.",Mikel Gogorza Goal,572,0.0,0.0,0.314,0.413,0.0,0.54,2.0,315668.0,2025-08-08 04:48:00
13492,754173,4,45586046,81,1,2700,45'+3',0,0,"First Half ends, Fredrikstad 0, FC Midtjylland 2.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754173,5,45586107,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754173,6,45586187,76,2,3378,57',0,0,"Substitution, Fredrikstad. Solomon Owusu replaces Daniel Eid.",Solomon Owusu Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,312935.0,2025-08-08 04:48:00
13492,754173,6,45586187,76,2,3378,57',0,0,"Substitution, Fredrikstad. Solomon Owusu replaces Daniel Eid.",Solomon Owusu Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,312163.0,2025-08-08 04:48:00
13492,754173,7,45586188,76,2,3384,57',0,0,"Substitution, Fredrikstad. Jóannes Bjartalíd replaces Sondre Sørløkk.",Joannes Bjartalid Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,255089.0,2025-08-08 04:48:00
13492,754173,7,45586188,76,2,3384,57',0,0,"Substitution, Fredrikstad. Jóannes Bjartalíd replaces Sondre Sørløkk.",Joannes Bjartalid Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,268573.0,2025-08-08 04:48:00
13492,754173,8,45586221,76,2,3721,63',0,0,"Substitution, FC Midtjylland. Denil Castillo replaces Júnior Brumado.",Denil Castillo Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,328742.0,2025-08-08 04:48:00
13492,754173,8,45586221,76,2,3721,63',0,0,"Substitution, FC Midtjylland. Denil Castillo replaces Júnior Brumado.",Denil Castillo Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,259691.0,2025-08-08 04:48:00
13492,754173,9,45586228,76,2,3735,63',0,0,"Substitution, FC Midtjylland. Aral Simsir replaces Mikel Krüger-Johnsen.",Aral Simsir Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,303000.0,2025-08-08 04:48:00
13492,754173,9,45586228,76,2,3735,63',0,0,"Substitution, FC Midtjylland. Aral Simsir replaces Mikel Krüger-Johnsen.",Aral Simsir Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,383947.0,2025-08-08 04:48:00
13492,754173,9,45586228,76,2,3735,63',0,0,"Substitution, FC Midtjylland. Aral Simsir replaces Mikel Krüger-Johnsen.",Aral Simsir Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,368628.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320879.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,343496.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,334161.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,319731.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,301717.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252544.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252229.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,217663.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,143774.0,2025-08-08 04:48:00
13492,754173,10,45586229,76,2,3743,63',0,0,"Substitution, FC Midtjylland. Victor Bak Jensen replaces Paulinho.",Viktor Bak Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116745.0,2025-08-08 04:48:00
13492,754173,11,45586259,76,2,4215,71',0,0,"Substitution, Fredrikstad. Rocco Shein replaces Patrick Metcalfe.",Rocco Robert Shein Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,307595.0,2025-08-08 04:48:00
13492,754173,11,45586259,76,2,4215,71',0,0,"Substitution, Fredrikstad. Rocco Shein replaces Patrick Metcalfe.",Rocco Robert Shein Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,255624.0,2025-08-08 04:48:00
13492,754173,12,45586264,76,2,4224,71',0,0,"Substitution, Fredrikstad. Henrik Skogvold replaces Emil Holten.",Henrik Skogvold Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,319301.0,2025-08-08 04:48:00
13492,754173,12,45586264,76,2,4224,71',0,0,"Substitution, Fredrikstad. Henrik Skogvold replaces Emil Holten.",Henrik Skogvold Substitution,3039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,261873.0,2025-08-08 04:48:00
13492,754173,13,45586265,76,2,4256,71',0,0,"Substitution, FC Midtjylland. Valdemar Byskov replaces Darío Osorio.",Valdemar Byskov Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,344870.0,2025-08-08 04:48:00
13492,754173,13,45586265,76,2,4256,71',0,0,"Substitution, FC Midtjylland. Valdemar Byskov replaces Darío Osorio.",Valdemar Byskov Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,315668.0,2025-08-08 04:48:00
13492,754173,14,45586301,70,2,4606,77',1,0,"Goal! Fredrikstad 1, FC Midtjylland 2. Jóannes Bjartalíd (Fredrikstad) right footed shot from the centre of the box to the centre of the goal. Assisted by Oskar Øhlenschlæger with a cross.",Joannes Bjartalid Goal,3039,0.0,0.0,0.198,0.528,0.0,0.486,1.0,255089.0,2025-08-08 04:48:00
13492,754173,14,45586301,70,2,4606,77',1,0,"Goal! Fredrikstad 1, FC Midtjylland 2. Jóannes Bjartalíd (Fredrikstad) right footed shot from the centre of the box to the centre of the goal. Assisted by Oskar Øhlenschlæger with a cross.",Joannes Bjartalid Goal,3039,0.0,0.0,0.198,0.528,0.0,0.486,2.0,399469.0,2025-08-08 04:48:00
13492,754173,15,45586317,137,2,4727,79',1,0,"Goal! Fredrikstad 1, FC Midtjylland 3. Denil Castillo (FC Midtjylland) header from the centre of the box to the bottom right corner. Assisted by Valdemar Byskov with a cross following a corner.",Denil Castillo Goal - Header,572,0.0,0.0,0.158,0.472,0.0,0.533,1.0,328742.0,2025-08-08 04:48:00
13492,754173,15,45586317,137,2,4727,79',1,0,"Goal! Fredrikstad 1, FC Midtjylland 3. Denil Castillo (FC Midtjylland) header from the centre of the box to the bottom right corner. Assisted by Valdemar Byskov with a cross following a corner.",Denil Castillo Goal - Header,572,0.0,0.0,0.158,0.472,0.0,0.533,2.0,344870.0,2025-08-08 04:48:00
13492,754173,16,45586338,94,2,4892,82',0,0,Lee Han-Beom (FC Midtjylland) is shown the yellow card for a bad foul.,Han-Beom Lee Yellow Card,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,297788.0,2025-08-08 04:48:00
13492,754173,17,45586353,76,2,4948,83',0,0,"Substitution, FC Midtjylland. Friday Etim replaces Franculino Djú.",Friday Etim Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,333739.0,2025-08-08 04:48:00
13492,754173,17,45586353,76,2,4948,83',0,0,"Substitution, FC Midtjylland. Friday Etim replaces Franculino Djú.",Friday Etim Substitution,572,0.0,0.0,0.0,0.0,0.0,0.0,2.0,364585.0,2025-08-08 04:48:00
13492,754173,18,45586469,83,2,5400,90'+6',0,0,"Second Half ends, Fredrikstad 1, FC Midtjylland 3.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754174,1,45586269,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754174,2,45586286,94,1,144,3',0,0,Giannis Konstantelias (PAOK Salonika) is shown the yellow card for a bad foul.,Giannis Konstantelias Yellow Car,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311428.0,2025-08-08 04:48:00
13492,754174,3,45586593,94,1,2286,39',0,0,Dominik Baumgartner (RZ Pellets WAC) is shown the yellow card for a bad foul.,Dominik Baumgartner Yellow Card,13294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195079.0,2025-08-08 04:48:00
13492,754174,4,45586697,81,1,2700,45'+3',0,0,"First Half ends, PAOK Salonika 0, RZ Pellets WAC 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754174,5,45586824,82,2,2700,45',0,0,"Second Half begins PAOK Salonika 0, RZ Pellets WAC 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-08 04:48:00
13492,754174,6,45586845,94,2,2931,49',0,0,Soualiho Meïté (PAOK Salonika) is shown the yellow card for a bad foul.,Souahilo Meïté Yellow Card,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164167.0,2025-08-10 04:46:38
13492,754174,7,45587069,76,2,3970,67',0,0,"Substitution, RZ Pellets WAC. Angelo Gattermayer replaces Donis Avdijaj.",Angelo Gattermayer Substitution,13294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,319397.0,2025-08-08 04:48:00
13492,754174,7,45587069,76,2,3970,67',0,0,"Substitution, RZ Pellets WAC. Angelo Gattermayer replaces Donis Avdijaj.",Angelo Gattermayer Substitution,13294,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194046.0,2025-08-08 04:48:00
13492,754174,8,45587084,76,2,4180,70',0,0,"Substitution, PAOK Salonika. Anestis Mythou replaces Fedor Chalov.",Anestis Mythou Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,407474.0,2025-08-08 04:48:00
13492,754174,8,45587084,76,2,4180,70',0,0,"Substitution, PAOK Salonika. Anestis Mythou replaces Fedor Chalov.",Anestis Mythou Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228342.0,2025-08-08 04:48:00
13492,754174,9,45587086,76,2,4189,70',0,0,"Substitution, PAOK Salonika. Magomed Ozdoev replaces Mady Camara.",Magomed Ozdoev Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117239.0,2025-08-08 04:48:00
13492,754174,9,45587086,76,2,4189,70',0,0,"Substitution, PAOK Salonika. Magomed Ozdoev replaces Mady Camara.",Magomed Ozdoev Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107000.0,2025-08-08 04:48:00
13492,754174,10,45587103,76,2,4455,75',0,0,"Substitution, PAOK Salonika. Luka Ivanusec replaces Taison.",Luka Ivanusec Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228334.0,2025-08-08 04:48:00
13492,754174,10,45587103,76,2,4455,75',0,0,"Substitution, PAOK Salonika. Luka Ivanusec replaces Taison.",Luka Ivanusec Substitution,605,0.0,0.0,0.0,0.0,0.0,0.0,2.0,182682.0,2025-08-08 04:48:00
13492,754174,11,45587118,94,2,4544,76',0,0,Luka Ivanusec (PAOK Salonika) is shown the yellow card for a bad foul.,Luka Ivanusec Yellow Card,605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228334.0,2025-08-08 04:48:00
13492,754174,12,45587119,76,2,4584,77',0,0,"Substitution, RZ Pellets WAC. David Atanga replaces Thierno Ballo.",David Atanga Substitution,13294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,217326.0,2025-08-08 04:48:00
