seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13753,758978,1,46099789,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-10-08 05:25:51
13753,758978,2,46099801,70,1,311,6',1,0,"Goal! Juventus Femminile 0, Benfica Women 1. Lúcia Alves (Benfica Women) right footed shot from the centre of the box to the high centre of the goal. Assisted by Nycole Raysla.",Lúcia Alves Goal,20830,0.0,0.0,0.186,0.447,0.0,0.486,1.0,320144.0,2025-10-08 05:25:51
13753,758978,2,46099801,70,1,311,6',1,0,"Goal! Juventus Femminile 0, Benfica Women 1. Lúcia Alves (Benfica Women) right footed shot from the centre of the box to the high centre of the goal. Assisted by Nycole Raysla.",Lúcia Alves Goal,20830,0.0,0.0,0.186,0.447,0.0,0.486,2.0,310890.0,2025-10-08 05:25:51
13753,758978,3,46099838,137,1,1273,22',1,0,"Goal! Juventus Femminile 1, Benfica Women 1. Cecilia Salvai (Juventus Femminile) header from the centre of the box to the bottom left corner. Assisted by Barbara Bonansea following a set piece situation.",Cecilia Salvai Goal - Header,20092,0.0,0.0,0.164,0.468,0.0,0.458,1.0,255471.0,2025-10-09 05:26:20
13753,758978,3,46099838,137,1,1273,22',1,0,"Goal! Juventus Femminile 1, Benfica Women 1. Cecilia Salvai (Juventus Femminile) header from the centre of the box to the bottom left corner. Assisted by Barbara Bonansea following a set piece situation.",Cecilia Salvai Goal - Header,20092,0.0,0.0,0.164,0.468,0.0,0.458,2.0,255454.0,2025-10-09 05:26:20
13753,758978,4,46099902,81,1,2700,45'+3',0,0,"First Half ends, Juventus Femminile 1, Benfica Women 1.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-10-08 05:25:51
13753,758978,6,46099904,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-10-08 05:25:51
13753,758978,5,46099903,76,2,2700,45',0,0,"Substitution, Benfica Women. Christy Ucheibe replaces Chandra Davidson.",Christy Ucheibe Substitution,20830,0.0,0.0,0.0,0.0,0.0,0.0,1.0,328066.0,2025-10-08 05:25:51
13753,758978,5,46099903,76,2,2700,45',0,0,"Substitution, Benfica Women. Christy Ucheibe replaces Chandra Davidson.",Christy Ucheibe Substitution,20830,0.0,0.0,0.0,0.0,0.0,0.0,2.0,370132.0,2025-10-08 05:25:51
13753,758978,7,46099914,94,2,2921,49',0,0,Marit Lund (Benfica Women) is shown the yellow card for a bad foul.,Marit Bratberg Lund Yellow Card,20830,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280989.0,2025-10-08 05:25:51
13753,758978,8,46099927,94,2,3385,57',0,0,Lúcia Alves (Benfica Women) is shown the yellow card.,Lúcia Alves Yellow Card,20830,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320144.0,2025-10-08 05:25:51
13753,758978,9,46100101,76,2,3708,62',0,0,"Substitution, Juventus Femminile. Chiara Beccari replaces Amalie Vangsgaard.",Chiara Beccari Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,328103.0,2025-10-08 05:25:51
13753,758978,9,46100101,76,2,3708,62',0,0,"Substitution, Juventus Femminile. Chiara Beccari replaces Amalie Vangsgaard.",Chiara Beccari Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,2.0,295658.0,2025-10-08 05:25:51
13753,758978,10,46100102,76,2,3730,63',0,0,"Substitution, Benfica Women. Cristina Martín-Prieto replaces Nycole Raysla.",Cristina Martín-Prieto Substitut,20830,0.0,0.0,0.0,0.0,0.0,0.0,1.0,335777.0,2025-10-08 05:25:51
13753,758978,10,46100102,76,2,3730,63',0,0,"Substitution, Benfica Women. Cristina Martín-Prieto replaces Nycole Raysla.",Cristina Martín-Prieto Substitut,20830,0.0,0.0,0.0,0.0,0.0,0.0,2.0,310890.0,2025-10-08 05:25:51
13753,758978,11,46100105,76,2,3742,63',0,0,"Substitution, Benfica Women. Carissa Boeckmann replaces Beatriz Cameirão.",Carissa Boeckman Substitution,20830,0.0,0.0,0.0,0.0,0.0,0.0,1.0,401391.0,2025-10-08 05:25:51
13753,758978,11,46100105,76,2,3742,63',0,0,"Substitution, Benfica Women. Carissa Boeckmann replaces Beatriz Cameirão.",Carissa Boeckman Substitution,20830,0.0,0.0,0.0,0.0,0.0,0.0,2.0,320147.0,2025-10-08 05:25:51
13753,758978,12,46100123,76,2,4087,69',0,0,"Substitution, Juventus Femminile. Eva Schatzer replaces Lia Wälti.",Eva Schatzer Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355108.0,2025-10-08 05:25:51
13753,758978,12,46100123,76,2,4087,69',0,0,"Substitution, Juventus Femminile. Eva Schatzer replaces Lia Wälti.",Eva Schatzer Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,2.0,220015.0,2025-10-08 05:25:51
13753,758978,13,46100124,76,2,4092,69',0,0,"Substitution, Juventus Femminile. Abi Brighton replaces Emma Stølen Godø.",Abi Brighton Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308186.0,2025-10-08 05:25:51
13753,758978,13,46100124,76,2,4092,69',0,0,"Substitution, Juventus Femminile. Abi Brighton replaces Emma Stølen Godø.",Abi Brighton Substitution,20092,0.0,0.0,0.0,0.0,0.0,0.0,2.0,352017.0,2025-10-08 05:25:51
