seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13325,735764,8,home,0,4-3-3,1,1,28,108622,Fernando Muslera,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,20,276020,Eric Meza,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,13,301955,Gastón Benedetti,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,8,254141,Gabriel Neves,Center Midfielder,4,0,0,-1,,,,1,298592,11,298592.0,4680.0,78',2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,6,331043,Santiago Núñez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,2,118680,Facundo Rodríguez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,5,233734,Santiago Ascacibar,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,25,297056,Cristian Medina,Left Midfielder,8,0,0,-1,,,,1,234873,22,234873.0,4680.0,78',2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,9,154738,Guido Carrillo,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,10,302051,Tiago Palacios,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,1,19,334205,Alexis Castillo Manyoma,Left Forward,11,0,0,-1,,,,1,264844,18,264844.0,4260.0,71',2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,35,376472,Valente Pierani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,7,102240,José Sosa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,27,158918,Lucas Alario,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,23,335536,Luciano Giménez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,12,310768,Matias Mansilla,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,16,287026,Mauro Méndez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,26,151953,Ramiro Funes Mori,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-09 04:31:59
13325,735764,8,home,0,4-3-3,1,0,11,298592,Facundo Farías,Substitute,0,1,254141,8,254141.0,4680.0,78',0,0,-1,,,,2025-07-09 04:31:59
