seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13524,747983,18221,home,0,4-2-3-1,1,1,1,329940,Khadija Er-Rmichi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,17,329927,Hanane Aït El Haj,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,2,329935,Zineb Redouani,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,21,348933,Yasmin Mrabet,Left Midfielder,4,0,0,-1,,,,1,347208,5,347208.0,4440.0,74',2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,3,351884,Nouhaila Benzina,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,14,329936,Aziza Rabbah,Center Left Defender,6,0,0,-1,,,,1,347122,8,347122.0,5400.0,90'+1',2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,19,351883,Sakina Ouzraoui,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,10,329932,Najat Badri,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,9,350967,Ibtissam Jraïdi,Forward,9,0,0,-1,,,,1,350964,20,350964.0,4440.0,74',2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,7,329941,Ghizlane Chebbak,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,1,18,329942,Mssoudy Sanaa,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,4,329944,Siham Boukhami,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,6,328118,Élodie Nakkach,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,23,329933,Hind El Hasnaoui,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,13,329937,Sabah Seghir,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,16,295676,Anissa Lahmari,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,8,347122,Kenza Chapelle,Substitute,0,1,329936,14,329936.0,5400.0,90'+1',0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,5,347208,Sarah Kassi,Substitute,0,1,348933,21,348933.0,4440.0,74',0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,20,350964,Imane Saoud,Substitute,0,1,350967,9,350967.0,4440.0,74',0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,22,351887,Inès Arouaissa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,18221,home,0,4-2-3-1,1,0,24,406766,Imene El Ghazouani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,16,272495,Chiamaka Nnadozie,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,22,225731,Michelle Alozie,Right Back,2,0,0,-1,,,,1,397149,4,397149.0,5400.0,90'+3',2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,5,245161,Ashleigh Plumptre,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,13,349550,Deborah Abiodun,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,3,159612,Osinachi Ohale,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,14,320400,Blessing Demehin,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,20,344265,Folashade Ijamilusi,Attacking Midfielder Right,7,0,0,-1,,,,1,219980,8,219980.0,4680.0,78',2025-07-27 04:37:18
13524,747983,2761,away,1,4-2-3-1,1,1,18,219969,Halimatu Ayinde,Right Midfielder,8,0,0,-1,,,,1,292902,12,292902.0,3540.0,59',2025-07-27 04:37:18
