seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12460,698622,22198,home,0,4-3-3,1,1,1,341577,Ji Jiabao,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,6,234506,Ge Zhen,Right Back,2,0,0,-1,,,,1,234603,18,234603.0,4655.0,78',2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,3,239164,Zhao Hongli,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,23,203709,Eduardo Henrique,Center Midfielder,4,0,0,-1,,,,1,275975,24,275975.0,3396.0,57',2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,33,164638,Varazdat Haroyan,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,36,234569,Sun Jie,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,8,253887,Zhang Xiuwei,Right Midfielder,7,0,0,-1,,,,1,162231,11,162231.0,4844.0,81',2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,14,234514,Feng Gang,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,9,218888,Brayan Riascos,Forward,9,0,0,-1,,,,1,357447,22,357447.0,5320.0,89',2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,10,247046,Nélson Luz,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,1,39,253035,Lei Wenjie,Left Forward,11,0,0,-1,,,,1,165871,19,165871.0,5307.0,89',2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,17,234518,Po-Liang Chen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,19,165871,Jean-David Beauguel,Substitute,0,1,253035,39,253035.0,5307.0,89',0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,35,234543,Shi Xiaotian,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,25,234557,Pei Shuai,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,11,162231,Alan,Substitute,0,1,253887,8,253887.0,4844.0,81',0,0,-1,,,,2024-10-14 01:54:08
12460,698622,22198,home,0,4-3-3,1,0,18,234603,Piao Shihao,Substitute,0,1,234506,6,234506.0,4655.0,78',0,0,-1,,,,2024-10-14 01:54:08
