seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12522,702210,21897,home,0,4-4-2,1,1,1,335740,Esteban Kirkman,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,15,80744,Javier Guzmán,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,16,316710,Franco Cubillos,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,2,263168,Benjamín Rivera,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,31,173361,Cristián Díaz,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,23,116821,Cristian Vega,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,17,272820,Ricardo Fuenzalida,Right Midfielder,7,0,0,-1,,,,1,338451,8,338451.0,3750.0,63',2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,14,189844,Kevin Valenzuela,Center Left Midfielder,8,0,0,-1,,,,1,385319,11,385319.0,5042.0,85',2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,26,364117,Camilo Astroza,Center Left Forward,9,0,0,-1,,,,1,250598,7,250598.0,3751.0,63',2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,18,239677,Matías Leiva,Center Right Forward,10,0,0,-1,,,,1,338415,9,338415.0,5041.0,85',2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,1,10,151852,Jefferson Castillo,Left Midfielder,11,0,0,-1,,,,1,103780,32,103780.0,4645.0,78',2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,7,250598,Javier Retamales,Substitute,0,1,364117,26,364117.0,3751.0,63',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,32,103780,Ignacio Carrasco,Substitute,0,1,151852,10,151852.0,4645.0,78',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,5,330843,Emmanuel Arismendi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,12,266794,Brian Torres,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,25,310675,Byron Martínez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,20,330567,Dilan Vera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,9,338415,Camilo Leyton,Substitute,0,1,239677,18,239677.0,5041.0,85',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,8,338451,Joaquín Llanos,Substitute,0,1,272820,17,272820.0,3750.0,63',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,21897,home,0,4-4-2,1,0,11,385319,René Zúñiga,Substitute,0,1,189844,14,189844.0,5042.0,85',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,1,176382,Eduardo Miranda,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,3,231614,Kevin Vasquez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,23,148357,Jason León,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,11,199813,César Valenzuela,Center Midfielder,4,0,0,-1,,,,1,155996,7,155996.0,4110.0,69',2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,5,173789,Edward Barboza,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,6,155107,Danilo Ortiz,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,29,222011,Jorge Gática,Right Midfielder,7,0,0,-1,,,,1,385324,14,385324.0,4111.0,69',2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,20,272762,Brayan Garrido,Left Midfielder,8,0,0,-1,,,,1,149505,10,149505.0,3523.0,59',2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,9,204925,Andrés Vilches,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,21,179010,Juan Ignacio Duma,Right Forward,10,0,0,-1,,,,1,328758,8,328758.0,3529.0,59',2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,1,17,330622,Jhon Valladares,Left Forward,11,0,0,-1,,,,1,183687,26,183687.0,4109.0,69',2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,10,149505,Marcelo Cañete,Substitute,0,1,272762,20,272762.0,3523.0,59',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,14,385324,Cristóbal Ponce,Substitute,0,1,222011,29,222011.0,4111.0,69',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,8,328758,Joaquín Mauricio Pereyra Faggiano,Substitute,0,1,179010,21,179010.0,3529.0,59',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,26,183687,Carlos Muñoz,Substitute,0,1,330622,17,330622.0,4109.0,69',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,7,155996,Diego Arias,Substitute,0,1,199813,11,199813.0,4110.0,69',0,0,-1,,,,2024-10-14 01:54:08
12522,702210,3552,away,1,4-3-3,1,0,32,385755,Taizo Bahamondez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,1,205066,Felipe Araya,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,4,320532,Francisco Arenas,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,15,258604,Cristian Aguirre,Left Back,3,0,0,-1,,,,1,200868,13,200868.0,5071.0,85',2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,6,200578,Fernando Saavedra,Defensive Midfielder,4,0,0,-1,,,,1,259037,10,259037.0,4303.0,72',2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,16,170129,Gonzalo Abascal,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,7,385270,Eduardo Pizarro,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12522,702211,22261,home,0,4-1-4-1,1,1,17,385274,Giuseppe Malatesta,Right Midfielder,7,0,0,-1,,,,1,385268,3,385268.0,3681.0,62',2024-10-14 01:54:08
