seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13355,735804,177,home,0,4-4-2,1,1,61,370419,Pape Sy,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,39,257052,Koffi Kouao,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,3,233199,Matthieu Udol,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,21,144280,Benjamin Stambouli,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,38,362288,Sadibou Sané,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,4,370501,Urie-Michel Mboula,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,22,321999,Kevin Guiton,Right Midfielder,7,0,0,-1,,,,1,377170,18,377170.0,4500.0,75',2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,20,265200,Jessy Deminguet,Center Left Midfielder,8,0,0,-1,,,,1,259020,36,259020.0,4980.0,83',2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,14,276451,Cheick Tidiane Sabaly,Center Left Forward,9,0,0,-1,,,,1,376483,12,376483.0,4980.0,83',2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,7,239905,Gauthier Hein,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,1,19,382759,Morgan Bokele,Left Midfielder,11,0,0,-1,,,,1,362253,10,362253.0,4500.0,75',2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,0,8,98965,Ismaël Traoré,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,0,18,377170,Idrissa Gueye,Substitute,0,1,321999,22,321999.0,4500.0,75',0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,0,12,376483,Alpha Touré,Substitute,0,1,276451,14,276451.0,4980.0,83',0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,0,9,362281,Ibou Sané,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-22 01:18:28
13355,735804,177,home,0,4-4-2,1,0,10,362253,Pape Diallo,Substitute,0,1,382759,19,382759.0,4500.0,75',0,0,-1,,,,2025-05-22 01:18:28
