seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13372,735800,22064,home,1,4-2-3-1,1,1,93,202353,Simão Bertelli,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,2,240983,Fernando Fonseca,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,3,341415,Rafael Rodrigues,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,15,284914,Jaume Grau,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,5,140164,Jorge Teixeira,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,42,82720,Cristian Devenish,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,11,362144,Babatunde Akinsola,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,12,287575,Gustavo Assunção,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,29,148151,Zé Luís,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-05-26 04:52:38
13372,735800,22064,home,1,4-2-3-1,1,1,14,170646,Lucas Piazon,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,1,17,297141,John Mercado,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,19,302630,Tiago Galletto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,25,288899,Tomas Tavares,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,10,318629,Vasco Lopes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,20,332689,Rodrigo Ribeiro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,27,236764,Eric Veiga,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,33,184036,Aderlan Santos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,23,352200,Gustavo Mendonça,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,22064,home,1,4-2-3-1,1,0,18,124021,Nenê,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-06-05 04:53:09
13372,735800,22064,home,1,4-2-3-1,1,0,13,137038,Guillermo Ochoa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,20995,away,0,4-2-3-1,1,1,13,277615,Miguel Ángel Morro,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,20995,away,0,4-2-3-1,1,1,21,365816,Rodrigo Ramos,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,20995,away,0,4-2-3-1,1,1,17,269502,João Reis ,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
13372,735800,20995,away,0,4-2-3-1,1,1,90,365808,Diogo Nascimento,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-25 04:51:56
