seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13333,735675,17582,home,1,4-1-4-1,1,1,1,329395,Chris Truesdale,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,5,162825,Sean Fagan,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,19,277572,Reegan Mimnaugh,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,25,179662,Lewis Spence,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,23,232290,Jordan McGregor,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,4,192096,Jamie Hamilton,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,10,261415,John Robertson,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,6,190864,Jack Leitch,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,9,248903,Cameron Elliott,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,8,291490,Joao Balde,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,1,7,206524,Nathan Flanagan,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,0,17,350930,Zander Craik,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
13333,735675,17582,home,1,4-1-4-1,1,0,16,239264,Adam Livingstone,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-12 04:49:54
