seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13162,761368,19685,home,1,4-3-3,1,1,1,184782,Brian Olivera,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,4,259534,Matías Ruiz Díaz,Right Back,2,0,0,-1,,,,1,200271,13,200271.0,4260.0,71',2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,3,292133,Lucas Angelini,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,5,287690,Alejandro Cabrera,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,6,283928,Juan Antonini,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,2,292106,Gonzalo Maffini,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,8,288428,Martín Garnerone,Right Midfielder,7,0,0,-1,,,,1,206614,20,206614.0,5100.0,85',2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,10,379699,Tomás González,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,9,188914,Javier Ferreira,Forward,9,0,0,-1,,,,1,287685,16,287685.0,4260.0,71',2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,7,276229,Lucas González,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,1,11,280382,Mauro Valiente,Left Forward,11,0,0,-1,,,,1,292121,18,292121.0,3660.0,61',2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,12,292104,Joaquín Bigo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,16,287685,Álvaro Cuello,Substitute,0,1,188914,9,188914.0,4260.0,71',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,18,292121,Agustin Morales,Substitute,0,1,280382,11,280382.0,3660.0,61',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,17,277606,Brian Orosco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,14,233928,Facundo Cobos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,19,207175,Mauricio Tévez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,20,206614,Agustín Fontana,Substitute,0,1,288428,8,288428.0,5100.0,85',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,13,200271,Sergio Ojeda,Substitute,0,1,259534,4,259534.0,4260.0,71',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,19685,home,1,4-3-3,1,0,15,158303,Fabio Vázquez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,1,195658,Yair Bonnín,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,4,269820,Agustín Sosa,Right Back,2,0,0,-1,,,,1,364975,15,364975.0,5400.0,90'+1',2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,3,112845,Diego Martínez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,5,217433,Federico Recalde,Center Right Midfielder,4,0,0,-1,,,,1,301493,17,301493.0,3900.0,65',2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,6,377571,Santiago Postel,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,2,301759,Facundo Giacopuzzi,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,8,400145,Thiago Nicolás,Right Midfielder,7,0,0,-1,,,,1,318073,20,318073.0,4560.0,76',2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,10,200954,Nazareno Solis,Center Left Midfielder,8,0,0,-1,,,,1,152713,19,152713.0,5400.0,90'+1',2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,9,206636,Luis Silba,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,7,290741,Diego Crego,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,1,11,216152,Ezequiel Montagna,Left Midfielder,11,0,0,-1,,,,1,368338,18,368338.0,4560.0,76',2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,15,364975,Thiago Yossen,Substitute,0,1,269820,4,269820.0,5400.0,90'+1',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,13,99531,Mauricio Mansilla,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,19,152713,Juan Galeano,Substitute,0,1,200954,10,200954.0,5400.0,90'+1',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,14,240433,Alejandro Gutiérrez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,12,285472,Joaquin Hass,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,17,301493,Abel Bustos,Substitute,0,1,217433,5,217433.0,3900.0,65',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,20,318073,Elías Ayala,Substitute,0,1,400145,8,400145.0,4560.0,76',0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,16,330574,Pedro Velurtas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-23 06:08:08
13162,761368,18260,away,0,4-4-2,1,0,18,368338,Bruno Juncos,Substitute,0,1,216152,11,216152.0,4560.0,76',0,0,-1,,,,2025-11-23 06:08:08
13162,761369,18260,home,0,4-4-2,1,1,1,195658,Yair Bonnín,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,4,269820,Agustín Sosa,Right Back,2,0,0,-1,,,,1,318073,20,318073.0,4260.0,71',2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,3,112845,Diego Martínez,Left Back,3,0,0,-1,,,,1,152713,19,152713.0,2700.0,45',2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,5,217433,Federico Recalde,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,2,301759,Facundo Giacopuzzi,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,6,240433,Alejandro Gutiérrez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,8,368338,Bruno Juncos,Right Midfielder,7,0,0,-1,,,,1,216152,18,216152.0,3180.0,53',2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,10,200954,Nazareno Solis,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,9,206636,Luis Silba,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,11,241226,Germán Rivero,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,1,7,290741,Diego Crego,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,14,377571,Santiago Postel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,17,400145,Thiago Nicolás,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,15,364975,Thiago Yossen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,13,99531,Mauricio Mansilla,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,16,301493,Abel Bustos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,12,285472,Joaquin Hass,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,18,216152,Ezequiel Montagna,Substitute,0,1,368338,8,368338.0,3180.0,53',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,19,152713,Juan Galeano,Substitute,0,1,112845,3,112845.0,2700.0,45',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,18260,home,0,4-4-2,1,0,20,318073,Elías Ayala,Substitute,0,1,269820,4,269820.0,4260.0,71',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,1,184782,Brian Olivera,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,4,283928,Juan Antonini,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,3,292133,Lucas Angelini,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,10,379699,Tomás González,Center Right Midfielder,4,0,0,-1,,,,1,158303,15,158303.0,4500.0,75',2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,2,292106,Gonzalo Maffini,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,6,200271,Sergio Ojeda,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,8,288428,Martín Garnerone,Right Midfielder,7,0,0,-1,,,,1,233928,14,233928.0,4500.0,75',2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,5,287690,Alejandro Cabrera,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,9,188914,Javier Ferreira,Center Left Forward,9,0,0,-1,,,,1,287685,16,287685.0,3720.0,62',2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,7,276229,Lucas González,Center Right Forward,10,0,0,-1,,,,1,206614,20,206614.0,2340.0,39',2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,1,11,280382,Mauro Valiente,Left Midfielder,11,0,0,-1,,,,1,292121,18,292121.0,4500.0,75',2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,20,206614,Agustín Fontana,Substitute,0,1,276229,7,276229.0,2340.0,39',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,19,207175,Mauricio Tévez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,13,233724,Saúl Nelle,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,14,233928,Facundo Cobos,Substitute,0,1,288428,8,288428.0,4500.0,75',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,17,277606,Brian Orosco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,16,287685,Álvaro Cuello,Substitute,0,1,188914,9,188914.0,3720.0,62',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,12,292104,Joaquín Bigo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,18,292121,Agustin Morales,Substitute,0,1,280382,11,280382.0,4500.0,75',0,0,-1,,,,2025-12-01 06:12:29
13162,761369,19685,away,0,4-4-2,1,0,15,158303,Fabio Vázquez,Substitute,0,1,379699,10,379699.0,4500.0,75',0,0,-1,,,,2025-12-01 06:12:29
13163,760627,17352,home,1,4-4-2,1,1,1,316029,Matías Budiño,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13163,760627,17352,home,1,4-4-2,1,1,4,279970,Delfor Minervino,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13163,760627,17352,home,1,4-4-2,1,1,3,270392,Lautaro Lusnig,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13163,760627,17352,home,1,4-4-2,1,1,5,277209,Santiago Briñone,Center Right Midfielder,4,0,0,-1,,,,1,134247,16,134247.0,4680.0,78',2025-11-09 15:05:09
13163,760627,17352,home,1,4-4-2,1,1,6,235168,Nicolás Ortíz,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13163,760627,17352,home,1,4-4-2,1,1,2,205227,Jorge Benítez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
